index,qid,question,origanswer,generatedanswer,correctness
0,0,How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?,0,3,0
1,1,How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?,3,2,0
2,2,How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?,0,1,0
3,3,How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?,0,2,0
4,4,How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?,0,3,0
5,5,How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?,0,2,0
6,6,How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?,0,1,0
7,7,How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?,2,0,0
8,8,How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?,3,3,1
9,9,How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?,3,2,0
10,10,How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?,0,0,1
11,11,How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?,2,2,1
12,12,How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?,3,3,1
13,13,How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?,1,3,0
14,14,How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?,1,2,0
15,15,How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?,1,3,0
16,16,How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?,2,2,1
17,17,How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?,0,1,0
18,18,How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?,2,3,0
19,19,How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?,3,2,0
20,20,How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?,1,1,1
21,21,How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?,0,0,1
22,22,How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?,0,0,1
23,23,How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?,3,3,1
24,24,How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?,2,2,1
25,25,How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?,2,2,1
26,26,How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?,1,1,1
27,27,How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?,3,3,1
28,28,How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?,3,3,1
29,29,How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?,2,2,1
30,30,How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?,0,1,0
31,31,How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?,3,2,0
32,32,How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?,2,3,0
33,33,How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?,0,1,0
34,34,How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?,1,3,0
35,35,How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?,0,1,0
