qid,pred_ans,gt_ans,correctness
100,0,2,0
101,2,3,0
102,0,0,1
103,1,1,1
104,1,1,1
105,1,0,0
106,0,0,1
107,0,1,0
108,2,2,1
109,2,3,0
110,1,1,1
111,2,2,1
112,0,1,0
113,1,1,1
114,0,0,1
115,1,3,0
116,2,2,1
117,1,3,0
118,0,0,1
119,2,1,0
120,1,0,0
121,2,2,1
122,2,0,0
123,2,3,0
124,2,3,0
125,2,3,0
126,2,3,0
127,2,2,1
128,0,0,1
129,2,0,0
130,0,1,0
131,2,2,1
132,2,0,0
133,1,0,0
134,0,0,1
135,2,2,1
136,0,1,0
137,0,0,1
138,2,3,0
139,0,0,1
140,1,2,0
141,2,3,0
142,1,1,1
143,0,1,0
144,0,2,0
145,2,1,0
146,2,2,1
147,0,0,1
148,0,1,0
149,2,3,0
