index,qid,question,origanswer,generatedanswer,correctness
0,0,Specify the correct matching by choosing one of the 0 or 1,1,1,1
1,1,Specify the correct matching by choosing one of the 0 or 1,1,0,0
2,2,Specify the correct matching by choosing one of the 0 or 1,0,1,0
3,3,Specify the correct matching by choosing one of the 0 or 1,1,0,0
4,4,Specify the correct matching by choosing one of the 0 or 1,0,1,0
5,5,Specify the correct matching by choosing one of the 0 or 1,0,1,0
6,6,Specify the correct matching by choosing one of the 0 or 1,1,1,1
7,7,Specify the correct matching by choosing one of the 0 or 1,0,0,1
8,8,Specify the correct matching by choosing one of the 0 or 1,0,1,0
9,9,Specify the correct matching by choosing one of the 0 or 1,0,0,1
10,10,Specify the correct matching by choosing one of the 0 or 1,0,0,1
11,11,Specify the correct matching by choosing one of the 0 or 1,1,1,1
12,12,Specify the correct matching by choosing one of the 0 or 1,1,1,1
13,13,Specify the correct matching by choosing one of the 0 or 1,0,0,1
14,14,Specify the correct matching by choosing one of the 0 or 1,1,0,0
15,15,Specify the correct matching by choosing one of the 0 or 1,1,1,1
16,16,Specify the correct matching by choosing one of the 0 or 1,0,0,1
17,17,Specify the correct matching by choosing one of the 0 or 1,1,1,1
18,18,Specify the correct matching by choosing one of the 0 or 1,0,0,1
19,19,Specify the correct matching by choosing one of the 0 or 1,0,0,1
20,20,Specify the correct matching by choosing one of the 0 or 1,1,1,1
21,21,Specify the correct matching by choosing one of the 0 or 1,0,0,1
22,22,Specify the correct matching by choosing one of the 0 or 1,1,0,0
23,23,Specify the correct matching by choosing one of the 0 or 1,1,0,0
24,24,Specify the correct matching by choosing one of the 0 or 1,0,1,0
25,25,Specify the correct matching by choosing one of the 0 or 1,0,1,0
26,26,Specify the correct matching by choosing one of the 0 or 1,1,0,0
27,27,Specify the correct matching by choosing one of the 0 or 1,1,1,1
28,28,Specify the correct matching by choosing one of the 0 or 1,0,1,0
29,29,Specify the correct matching by choosing one of the 0 or 1,1,1,1
