index,qid,question,origanswer,generatedanswer,correctness
0,948,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
1,949,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
2,950,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
3,951,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
4,952,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
5,953,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
6,954,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
7,955,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
8,956,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
9,957,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
10,958,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
11,959,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
12,960,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
13,961,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
14,962,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
15,963,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
16,964,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
17,965,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
18,966,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
19,967,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
20,968,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
21,969,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
22,970,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
23,971,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
24,972,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
25,973,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
26,974,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
27,975,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
28,976,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
29,977,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
30,978,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
31,979,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
32,980,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
33,981,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
34,982,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
35,983,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
36,984,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
37,985,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
38,986,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
39,987,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
40,988,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
41,989,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
42,990,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
43,991,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
44,992,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
45,993,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
46,994,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
47,995,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
48,996,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
49,997,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
50,998,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
51,999,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
