index,sub_index,filenumber,qid,question,origanswer,generatedanswer,correctness
1,0,1,10000798,Choose the correct order of the events?,0,0,1
2,1,1,10000832,Choose the correct order of the events?,1,0,0
3,2,1,10002000,Choose the correct order of the events?,3,0,0
4,3,1,100021,Choose the correct order of the events?,3,0,0
5,4,1,1000266,Choose the correct order of the events?,2,0,0
6,5,1,10004257,Choose the correct order of the events?,1,0,0
7,6,1,1000430,Choose the correct order of the events?,0,0,1
8,7,1,10004451,Choose the correct order of the events?,3,0,0
9,8,1,10004709,Choose the correct order of the events?,1,0,0
10,9,1,10004867,Choose the correct order of the events?,0,0,1
11,10,1,100049,Choose the correct order of the events?,0,0,1
12,11,1,10005020,Choose the correct order of the events?,2,0,0
13,12,1,10005292,Choose the correct order of the events?,3,0,0
14,13,1,10006187,Choose the correct order of the events?,1,0,0
15,14,1,1000640,Choose the correct order of the events?,3,0,0
16,15,1,1000644,Choose the correct order of the events?,3,0,0
17,16,1,1000676,Choose the correct order of the events?,2,0,0
18,17,1,100069,Choose the correct order of the events?,2,0,0
19,18,1,10007812,Choose the correct order of the events?,3,0,0
20,19,1,10007877,Choose the correct order of the events?,0,0,1
21,20,1,10007926,Choose the correct order of the events?,2,0,0
22,21,1,10008370,Choose the correct order of the events?,3,0,0
23,22,1,10008470,Choose the correct order of the events?,3,0,0
24,23,1,10008621,Choose the correct order of the events?,3,0,0
25,24,1,1000914,Choose the correct order of the events?,0,0,1
26,25,1,10009240,Choose the correct order of the events?,0,0,1
27,26,1,10009557,Choose the correct order of the events?,1,0,0
28,27,1,10009789,Choose the correct order of the events?,2,0,0
29,28,1,10009910,Choose the correct order of the events?,3,0,0
30,29,1,10010791,Choose the correct order of the events?,2,0,0
31,30,1,10011164,Choose the correct order of the events?,1,0,0
32,31,1,100116,Choose the correct order of the events?,3,0,0
33,32,1,10011864,Choose the correct order of the events?,0,0,1
34,33,1,10012401,Choose the correct order of the events?,3,0,0
35,34,1,10012730,Choose the correct order of the events?,3,0,0
36,35,1,10012735,Choose the correct order of the events?,3,0,0
37,36,1,10012967,Choose the correct order of the events?,1,0,0
38,37,1,1001326,Choose the correct order of the events?,2,0,0
39,38,1,10013274,Choose the correct order of the events?,2,0,0
40,39,1,10015160,Choose the correct order of the events?,3,0,0
41,40,1,10015420,Choose the correct order of the events?,3,0,0
42,41,1,10015565,Choose the correct order of the events?,3,0,0
43,42,1,10015602,Choose the correct order of the events?,1,0,0
44,43,1,10015761,Choose the correct order of the events?,3,0,0
45,44,1,10016113,Choose the correct order of the events?,2,0,0
46,45,1,10016136,Choose the correct order of the events?,0,0,1
47,46,1,10016145,Choose the correct order of the events?,0,0,1
48,47,1,10016343,Choose the correct order of the events?,0,0,1
49,48,1,10016456,Choose the correct order of the events?,3,0,0
50,49,1,10017635,Choose the correct order of the events?,0,0,1
51,50,1,10017724,Choose the correct order of the events?,2,0,0
52,51,1,10019,Choose the correct order of the events?,2,0,0
53,52,1,10020358,Choose the correct order of the events?,3,0,0
