qid,gt_ans,pred_ans_blip,correctness_blip
0,1,5,0
1,1,4,0
2,1,7,0
3,1,7,0
4,1,7,0
5,1,7,0
6,1,7,0
7,1,4,0
8,1,4,0
9,1,6,0
10,2,4,0
11,2,4,0
12,2,6,0
13,2,6,0
14,2,4,0
15,2,6,0
16,2,4,0
17,2,4,0
18,2,4,0
19,2,6,0
20,3,7,0
21,3,7,0
22,3,3,1
23,3,5,0
24,3,6,0
25,3,4,0
26,3,4,0
27,3,6,0
28,3,6,0
29,3,4,0
30,4,4,1
31,4,4,1
32,4,4,1
33,4,4,1
34,4,4,1
35,4,4,1
36,4,4,1
37,4,4,1
38,4,4,1
39,4,4,1
40,1,3,0
41,1,3,0
42,1,3,0
43,1,3,0
44,1,3,0
45,1,3,0
46,1,3,0
47,1,3,0
48,1,3,0
49,1,3,0
50,1,3,0
51,1,3,0
52,1,3,0
53,1,3,0
54,1,3,0
55,1,3,0
56,1,3,0
57,1,3,0
58,1,3,0
59,1,3,0
60,1,3,0
61,1,3,0
62,1,3,0
63,1,3,0
64,1,3,0
65,2,3,0
66,1,3,0
67,1,3,0
68,1,3,0
69,1,3,0
70,1,3,0
71,2,3,0
72,1,3,0
73,1,3,0
74,1,3,0
75,1,3,0
76,1,3,0
77,1,3,0
78,1,3,0
79,1,3,0
80,5,4,0
81,5,5,1
82,5,4,0
83,5,3,0
84,5,3,0
85,1,3,0
86,1,3,0
87,1,3,0
88,2,3,0
89,1,3,0
90,5,6,0
91,5,6,0
92,5,6,0
93,5,3,0
94,5,6,0
95,1,3,0
96,1,3,0
97,1,3,0
98,1,3,0
99,1,3,0
100,II-III-I-IV,II-III-I-IV,1
101,II-I-IV-III,II-III-I-IV,0
102,I-II-IV-III,II-III-I-IV,0
103,I-IV-III-II,II-III-I-IV,0
104,I-IV-III-II,II-I-IV-III,0
105,I-II-IV-III,II-III-I-IV,0
106,I-II-IV-III,II-III-I-IV,0
107,I-IV-III-II,II-III-I-IV,0
108,II-III-I-IV,II-III-I-IV,1
109,II-I-IV-III,II-III-I-IV,0
110,I-IV-III-II,II-III-I-IV,0
111,II-III-I-IV,II-III-I-IV,1
112,I-IV-III-II,II-III-I-IV,0
113,I-IV-III-II,II-III-I-IV,0
114,I-II-IV-III,II-I-IV-III,0
115,II-I-IV-III,II-III-I-IV,0
116,II-III-I-IV,II-III-I-IV,1
117,II-I-IV-III,II-III-I-IV,0
118,I-II-IV-III,II-III-I-IV,0
119,I-IV-III-II,II-III-I-IV,0
120,I-II-IV-III,II-III-I-IV,0
