qid,pred_ans,gt_ans,correctness
250,0,0,1
251,0,1,0
252,0,0,1
253,0,1,0
254,0,0,1
255,0,1,0
256,0,0,1
257,0,1,0
258,0,0,1
259,0,1,0
260,0,0,1
261,0,0,1
262,0,0,1
263,0,1,0
264,0,0,1
265,0,1,0
266,0,0,1
267,0,1,0
268,0,0,1
269,0,1,0
270,0,0,1
271,0,1,0
272,0,0,1
273,0,1,0
274,0,0,1
275,0,1,0
276,0,0,1
277,0,1,0
278,0,0,1
279,0,1,0
280,0,0,1
281,0,1,0
282,0,0,1
283,0,1,0
284,0,0,1
285,0,1,0
286,0,0,1
287,0,1,0
288,0,0,1
289,0,1,0
290,0,0,1
291,0,1,0
292,0,0,1
293,0,1,0
294,0,0,1
295,0,1,0
296,0,0,1
297,0,1,0
298,0,0,1
299,0,1,0
300,0,0,1
301,0,1,0
302,0,0,1
303,0,1,0
304,0,0,1
305,0,1,0
306,0,0,1
307,0,1,0
308,0,0,1
309,0,1,0
310,0,0,1
311,0,1,0
312,0,0,1
313,0,1,0
314,0,0,1
315,0,1,0
316,0,0,1
317,0,1,0
318,0,0,1
319,0,1,0
320,0,0,1
321,0,1,0
322,0,0,1
323,0,1,0
324,0,0,1
325,0,1,0
326,0,0,1
327,0,1,0
328,0,0,1
329,0,1,0
330,0,0,1
331,0,1,0
332,0,0,1
333,0,1,0
334,0,0,1
335,0,1,0
336,0,0,1
337,0,1,0
338,0,0,1
339,0,1,0
340,0,0,1
341,0,1,0
342,0,0,1
343,0,1,0
344,0,0,1
345,0,1,0
346,0,0,1
347,0,1,0
348,0,0,1
349,0,1,0
350,0,0,1
351,0,0,1
352,0,0,1
353,0,1,0
354,0,0,1
355,0,1,0
356,0,0,1
357,0,1,0
358,0,0,1
359,0,1,0
360,0,0,1
361,0,1,0
362,0,0,1
363,0,1,0
364,0,0,1
365,0,1,0
366,0,0,1
367,0,1,0
368,0,0,1
369,0,1,0
370,0,0,1
371,0,1,0
372,0,0,1
373,0,1,0
374,0,0,1
375,0,1,0
376,0,0,1
377,0,1,0
378,0,0,1
379,0,1,0
380,0,0,1
381,0,1,0
382,0,0,1
383,0,0,1
384,0,0,1
385,0,1,0
386,0,0,1
387,0,1,0
388,0,0,1
389,0,1,0
390,0,0,1
391,0,1,0
392,0,0,1
393,0,1,0
394,0,0,1
395,0,1,0
396,0,0,1
397,0,1,0
398,0,0,1
399,0,1,0
400,0,0,1
401,0,1,0
402,0,0,1
403,0,1,0
404,0,0,1
405,0,1,0
406,0,0,1
407,0,1,0
408,0,0,1
409,0,1,0
410,0,0,1
411,0,1,0
412,0,0,1
413,0,0,1
414,0,0,1
415,0,1,0
416,0,0,1
417,0,1,0
418,0,0,1
419,0,0,1
420,0,0,1
421,0,1,0
422,0,0,1
423,0,1,0
424,0,0,1
425,0,1,0
426,0,0,1
427,0,1,0
428,0,0,1
429,0,1,0
430,0,0,1
431,0,1,0
432,0,0,1
433,0,1,0
434,0,0,1
435,0,1,0
436,0,0,1
437,0,0,1
438,0,0,1
439,0,0,1
440,0,0,1
441,0,1,0
442,0,0,1
443,0,1,0
444,0,0,1
445,0,1,0
446,0,0,1
447,0,0,1
448,0,0,1
449,0,1,0
450,0,0,1
451,0,1,0
452,0,0,1
453,0,1,0
454,0,0,1
455,0,1,0
456,0,0,1
457,0,1,0
458,0,0,1
459,0,1,0
460,0,0,1
461,0,1,0
462,0,0,1
463,0,1,0
464,0,0,1
465,0,1,0
466,0,0,1
467,0,1,0
468,0,0,1
469,0,1,0
470,0,0,1
471,0,1,0
472,0,0,1
473,0,1,0
474,0,0,1
475,0,1,0
476,0,0,1
477,0,1,0
478,0,0,1
479,0,1,0
480,0,0,1
481,0,1,0
482,0,0,1
483,0,0,1
484,0,0,1
485,0,1,0
486,0,0,1
487,0,1,0
488,0,0,1
489,0,0,1
490,0,0,1
491,0,0,1
492,0,1,0
493,0,1,0
494,0,0,1
495,0,1,0
496,0,0,1
497,0,1,0
498,0,0,1
499,0,1,0
500,0,0,1
501,0,0,1
502,0,0,1
503,0,1,0
504,0,0,1
505,0,0,1
506,0,0,1
507,0,1,0
508,0,0,1
509,0,1,0
510,0,0,1
511,0,0,1
512,0,0,1
513,0,1,0
514,0,0,1
515,0,1,0
516,0,0,1
517,0,1,0
518,0,0,1
519,0,1,0
520,0,0,1
521,0,1,0
522,0,0,1
523,0,0,1
524,0,0,1
525,0,1,0
526,0,0,1
527,0,1,0
528,0,0,1
529,0,1,0
530,0,0,1
531,0,1,0
532,0,0,1
533,0,1,0
534,0,0,1
535,0,1,0
536,0,0,1
537,0,0,1
538,0,0,1
539,0,0,1
540,0,0,1
541,0,1,0
542,0,0,1
543,0,0,1
544,0,0,1
545,0,1,0
546,0,0,1
547,0,1,0
548,0,0,1
549,0,1,0
550,0,0,1
551,0,1,0
552,0,0,1
553,0,0,1
554,0,0,1
555,0,1,0
556,0,0,1
557,0,1,0
558,0,0,1
559,0,1,0
560,0,0,1
561,0,1,0
562,0,0,1
563,0,0,1
564,0,0,1
565,0,0,1
566,0,0,1
567,0,0,1
568,0,0,1
569,0,1,0
570,0,0,1
571,0,1,0
572,0,0,1
573,0,0,1
574,0,0,1
575,0,1,0
576,0,0,1
577,0,1,0
578,0,0,1
579,0,1,0
580,0,0,1
581,0,0,1
582,0,0,1
583,0,1,0
584,0,0,1
585,0,1,0
586,0,0,1
587,0,1,0
588,0,0,1
589,0,1,0
590,0,0,1
591,0,1,0
592,0,0,1
593,0,0,1
594,0,0,1
595,0,1,0
596,0,0,1
597,0,1,0
598,0,0,1
599,0,1,0
600,0,0,1
601,0,1,0
602,0,0,1
603,0,1,0
604,0,0,1
605,0,1,0
606,0,0,1
607,0,1,0
608,0,0,1
609,0,1,0
610,0,0,1
611,0,0,1
612,0,0,1
613,0,1,0
614,0,0,1
615,0,1,0
616,0,0,1
617,0,1,0
618,0,0,1
619,0,1,0
620,0,0,1
621,0,1,0
622,0,0,1
623,0,1,0
624,0,0,1
625,0,1,0
626,0,0,1
627,0,1,0
628,0,0,1
629,0,1,0
630,0,0,1
631,0,1,0
632,0,0,1
633,0,1,0
634,0,0,1
635,0,1,0
636,0,0,1
637,0,1,0
638,0,0,1
639,0,1,0
640,0,0,1
641,0,1,0
642,0,0,1
643,0,1,0
644,0,0,1
645,0,1,0
646,0,0,1
647,0,1,0
648,0,0,1
649,0,1,0
650,0,0,1
651,0,1,0
652,0,0,1
653,0,1,0
654,0,0,1
655,0,1,0
656,0,0,1
657,0,1,0
658,0,0,1
659,0,1,0
660,0,0,1
661,0,1,0
662,0,0,1
663,0,1,0
664,0,0,1
665,0,1,0
666,0,0,1
667,0,1,0
668,0,0,1
669,0,1,0
670,0,0,1
671,0,1,0
672,0,0,1
673,0,1,0
674,0,0,1
675,0,1,0
676,0,0,1
677,0,1,0
678,0,0,1
679,0,1,0
680,0,0,1
681,0,1,0
682,0,0,1
683,0,1,0
684,0,0,1
685,0,1,0
686,0,0,1
687,0,1,0
688,0,0,1
689,0,1,0
690,0,0,1
691,0,0,1
692,0,0,1
693,0,1,0
694,0,0,1
695,0,1,0
696,0,0,1
697,0,1,0
698,0,0,1
699,0,1,0
700,0,0,1
701,0,1,0
702,0,0,1
703,0,1,0
704,0,0,1
705,0,1,0
706,0,0,1
707,0,1,0
708,0,0,1
709,0,1,0
710,0,0,1
711,0,1,0
712,0,0,1
713,0,1,0
714,0,0,1
715,0,1,0
716,0,0,1
717,0,1,0
718,0,0,1
719,0,1,0
720,0,0,1
721,0,1,0
722,0,0,1
723,0,1,0
724,0,0,1
725,0,1,0
726,0,0,1
727,0,1,0
728,0,0,1
729,0,1,0
730,0,0,1
731,0,1,0
732,0,0,1
733,0,1,0
734,0,0,1
735,0,1,0
736,0,0,1
737,0,1,0
738,0,0,1
739,0,1,0
740,0,0,1
741,0,1,0
742,0,0,1
743,0,1,0
744,0,0,1
745,0,1,0
746,0,0,1
747,0,1,0
748,0,0,1
749,0,1,0
750,0,0,1
751,0,1,0
752,0,0,1
753,0,1,0
754,0,0,1
755,0,1,0
756,0,0,1
757,0,1,0
758,0,0,1
759,0,1,0
760,0,0,1
761,0,1,0
762,0,0,1
763,0,1,0
764,0,0,1
765,0,1,0
766,0,0,1
767,0,1,0
768,0,0,1
769,0,1,0
770,0,0,1
771,0,1,0
772,0,0,1
773,0,1,0
774,0,0,1
775,0,1,0
776,0,0,1
777,0,1,0
778,0,0,1
779,0,1,0
780,0,0,1
781,0,1,0
782,0,0,1
783,0,1,0
784,0,0,1
785,0,1,0
786,0,0,1
787,0,1,0
788,0,0,1
789,0,1,0
790,0,0,1
791,0,1,0
792,0,0,1
793,0,1,0
794,0,0,1
795,0,1,0
796,0,0,1
797,0,1,0
798,0,0,1
799,0,1,0
800,0,0,1
801,0,1,0
802,0,0,1
803,0,1,0
804,0,0,1
805,0,1,0
806,0,0,1
807,0,1,0
808,0,0,1
809,0,1,0
810,0,0,1
811,0,1,0
812,0,0,1
813,0,1,0
814,0,0,1
815,0,1,0
816,0,0,1
817,0,0,1
818,0,0,1
819,0,1,0
820,0,0,1
821,0,1,0
822,0,0,1
823,0,1,0
824,0,0,1
825,0,1,0
826,0,0,1
827,0,1,0
828,0,0,1
829,0,1,0
830,0,0,1
831,0,1,0
832,0,0,1
833,0,1,0
834,0,0,1
835,0,1,0
836,0,0,1
837,0,1,0
838,0,0,1
839,0,1,0
840,0,0,1
841,0,1,0
842,0,0,1
843,0,1,0
844,0,0,1
845,0,1,0
846,0,0,1
847,0,1,0
848,0,0,1
849,0,1,0
850,0,0,1
851,0,1,0
852,0,0,1
853,0,1,0
854,0,0,1
855,0,1,0
856,0,0,1
857,0,1,0
858,0,0,1
859,0,1,0
860,0,0,1
861,0,1,0
862,0,0,1
863,0,1,0
864,0,0,1
865,0,1,0
866,0,0,1
867,0,1,0
868,0,0,1
869,0,1,0
870,0,0,1
871,0,1,0
872,0,0,1
873,0,1,0
874,0,0,1
875,0,1,0
876,0,0,1
877,0,1,0
878,0,0,1
879,0,1,0
880,0,0,1
881,0,1,0
882,0,0,1
883,0,1,0
884,0,0,1
885,0,1,0
886,0,0,1
887,0,1,0
888,0,0,1
889,0,1,0
890,0,0,1
891,0,1,0
892,0,0,1
893,0,1,0
894,0,0,1
895,0,1,0
896,0,0,1
897,0,1,0
898,0,0,1
899,0,1,0
900,0,0,1
901,0,1,0
902,0,0,1
903,0,1,0
904,0,0,1
905,0,1,0
906,0,0,1
907,0,1,0
908,0,0,1
909,0,1,0
910,0,0,1
911,0,1,0
912,0,0,1
913,0,1,0
914,0,0,1
915,0,1,0
916,0,0,1
917,0,1,0
918,0,0,1
919,0,1,0
920,0,0,1
921,0,1,0
922,0,0,1
923,0,1,0
924,0,0,1
925,0,1,0
926,0,0,1
927,0,0,1
928,0,0,1
929,0,1,0
930,0,0,1
931,0,1,0
932,0,0,1
933,0,1,0
934,0,0,1
935,0,1,0
936,0,0,1
937,0,1,0
938,0,0,1
939,0,1,0
940,0,0,1
941,0,1,0
942,0,0,1
943,0,1,0
944,0,0,1
945,0,0,1
946,0,0,1
947,0,1,0
