qid,gt_ans,pred_ans_blip,correctness_blip
0,Image0 matches Caption1 and the image1 matches Caption0,Image0 matches Caption1 and the image1 matches Caption0,1
1,Image0 matches Caption1 and the image1 matches Caption0,Image0 matches Caption0 and the image1 matches Caption1,0
2,Image0 matches Caption0 and the image1 matches Caption1,Image0 matches Caption0 and the image1 matches Caption1,1
3,Image0 matches Caption1 and the image1 matches Caption0,Image0 matches Caption1 and the image1 matches Caption0,1
4,Image0 matches Caption0 and the image1 matches Caption1,Image0 matches Caption0 and the image1 matches Caption1,1
5,Image0 matches Caption0 and the image1 matches Caption1,Image0 matches Caption1 and the image1 matches Caption0,0
6,Image0 matches Caption1 and the image1 matches Caption0,Image0 matches Caption0 and the image1 matches Caption1,0
7,Image0 matches Caption0 and the image1 matches Caption1,Image0 matches Caption1 and the image1 matches Caption0,0
8,Image0 matches Caption0 and the image1 matches Caption1,Image0 matches Caption1 and the image1 matches Caption0,0
9,Image0 matches Caption0 and the image1 matches Caption1,Image0 matches Caption0 and the image1 matches Caption1,1
10,Image0 matches Caption0 and the image1 matches Caption1,Image0 matches Caption1 and the image1 matches Caption0,0
11,Image0 matches Caption1 and the image1 matches Caption0,Image0 matches Caption0 and the image1 matches Caption1,0
12,Image0 matches Caption1 and the image1 matches Caption0,Image0 matches Caption0 and the image1 matches Caption1,0
13,Image0 matches Caption0 and the image1 matches Caption1,Image0 matches Caption0 and the image1 matches Caption1,1
14,Image0 matches Caption1 and the image1 matches Caption0,Image0 matches Caption1 and the image1 matches Caption0,1
15,Image0 matches Caption1 and the image1 matches Caption0,Image0 matches Caption0 and the image1 matches Caption1,0
16,Image0 matches Caption0 and the image1 matches Caption1,Image0 matches Caption0 and the image1 matches Caption1,1
17,Image0 matches Caption1 and the image1 matches Caption0,Image0 matches Caption0 and the image1 matches Caption1,0
18,Image0 matches Caption0 and the image1 matches Caption1,Image0 matches Caption0 and the image1 matches Caption1,1
19,Image0 matches Caption0 and the image1 matches Caption1,Image0 matches Caption0 and the image1 matches Caption1,1
20,Image0 matches Caption1 and the image1 matches Caption0,Image0 matches Caption0 and the image1 matches Caption1,0
21,Image0 matches Caption0 and the image1 matches Caption1,Image0 matches Caption1 and the image1 matches Caption0,0
22,Image0 matches Caption1 and the image1 matches Caption0,Image0 matches Caption1 and the image1 matches Caption0,1
23,Image0 matches Caption1 and the image1 matches Caption0,Image0 matches Caption1 and the image1 matches Caption0,1
24,Image0 matches Caption0 and the image1 matches Caption1,Image0 matches Caption1 and the image1 matches Caption0,0
25,Image0 matches Caption0 and the image1 matches Caption1,Image0 matches Caption1 and the image1 matches Caption0,0
26,Image0 matches Caption1 and the image1 matches Caption0,Image0 matches Caption0 and the image1 matches Caption1,0
27,Image0 matches Caption1 and the image1 matches Caption0,Image0 matches Caption0 and the image1 matches Caption1,0
28,Image0 matches Caption0 and the image1 matches Caption1,Image0 matches Caption0 and the image1 matches Caption1,1
29,Image0 matches Caption1 and the image1 matches Caption0,Image0 matches Caption1 and the image1 matches Caption0,1
30,Image0 matches Caption1 and the image1 matches Caption0,Image0 matches Caption0 and the image1 matches Caption1,0
31,Image0 matches Caption0 and the image1 matches Caption1,Image0 matches Caption0 and the image1 matches Caption1,1
32,Image0 matches Caption0 and the image1 matches Caption1,Image0 matches Caption0 and the image1 matches Caption1,1
33,Image0 matches Caption1 and the image1 matches Caption0,Image0 matches Caption0 and the image1 matches Caption1,0
34,Image0 matches Caption1 and the image1 matches Caption0,Image0 matches Caption0 and the image1 matches Caption1,0
35,Image0 matches Caption1 and the image1 matches Caption0,Image0 matches Caption0 and the image1 matches Caption1,0
36,Image0 matches Caption0 and the image1 matches Caption1,Image0 matches Caption0 and the image1 matches Caption1,1
37,Image0 matches Caption1 and the image1 matches Caption0,Image0 matches Caption1 and the image1 matches Caption0,1
38,Image0 matches Caption1 and the image1 matches Caption0,Image0 matches Caption1 and the image1 matches Caption0,1
39,Image0 matches Caption1 and the image1 matches Caption0,Image0 matches Caption0 and the image1 matches Caption1,0
40,Image0 matches Caption0 and the image1 matches Caption1,Image0 matches Caption0 and the image1 matches Caption1,1
41,Image0 matches Caption1 and the image1 matches Caption0,Image0 matches Caption0 and the image1 matches Caption1,0
42,Image0 matches Caption1 and the image1 matches Caption0,Image0 matches Caption0 and the image1 matches Caption1,0
43,Image0 matches Caption1 and the image1 matches Caption0,Image0 matches Caption1 and the image1 matches Caption0,1
44,Image0 matches Caption0 and the image1 matches Caption1,Image0 matches Caption0 and the image1 matches Caption1,1
45,Image0 matches Caption1 and the image1 matches Caption0,Image0 matches Caption0 and the image1 matches Caption1,0
46,Image0 matches Caption1 and the image1 matches Caption0,Image0 matches Caption1 and the image1 matches Caption0,1
47,Image0 matches Caption0 and the image1 matches Caption1,Image0 matches Caption1 and the image1 matches Caption0,0
48,Image0 matches Caption1 and the image1 matches Caption0,Image0 matches Caption1 and the image1 matches Caption0,1
49,Image0 matches Caption1 and the image1 matches Caption0,Image0 matches Caption0 and the image1 matches Caption1,0
50,Image0 matches Caption1 and the image1 matches Caption0,Image0 matches Caption0 and the image1 matches Caption1,0
51,Image0 matches Caption0 and the image1 matches Caption1,Image0 matches Caption0 and the image1 matches Caption1,1
