index,qid,question,origanswer,generatedanswer,correctness
0,2218,"Question: 
Answer Choices are: 
a. United States
b. United Kingdom
c. India
d. Iraq
From the above graph infer comparatively which country is most likely to have highest per capita income?
Specify the correct answer by choosing one of a,b,c, or d: 
",a,The United States is most likely to have the highest per capita income.,1
1,2219,"Question: 
Answer Choices are: 
a. 2
b. 3
c. 4
d. 1
How many countries are most likely to have better per capita income level than Iraq?
Specify the correct answer by choosing one of a,b,c, or d: 
",a,d. 1,0
2,2220,"Question: 
Answer Choices are: 
a. Iraq
b. India
c. South Sudan
d. United States
Sorted in descending order by it’s per capita income, which country will stand third?
Specify the correct answer by choosing one of a,b,c, or d: 
",a,c. South Sudan,0
3,2221,"Question: 
Answer Choices are: 
a. Iraq
b. Indonesia
c. Pakistan
d. Maldives
As per the data, Which country is most likely to have the least tax revenue?
Specify the correct answer by choosing one of a,b,c, or d: 
",c,d. Maldives,0
4,2222,"Question: 
Answer Choices are: 
a. Iraq
b. Maldives
c. Pakistan
d. United Kingdom
Based on the relationship, which country stands third if sorted in ascending order by it’s tax revenue?
Specify the correct answer by choosing one of a,b,c, or d: 
",a,c. Pakistan,0
5,2223,"Question: 
Answer Choices are: 
a. 4
b. 3
c. 5
d. 2
How many countries are most likely to have better tax revenues in comparison with costa rica?
Specify the correct answer by choosing one of a,b,c, or d: 
",b,d. 2,0
6,2224,"Question: 
Answer Choices are: 
a. Maldives
b. United States
c. United Kingdom
d. Pakistan
Which country is expected to have the least child mortality rate?
Specify the correct answer by choosing one of a,b,c, or d: 
",b,a. Maldives,0
7,2225,"Question: 
Answer Choices are: 
a. Costa Rica
b. Indonesia
c. Pakistan
d. United States
Based on the association, which country is likely to have the second highest child mortality rate?
Specify the correct answer by choosing one of a,b,c, or d: 
",b,c. Pakistan,0
8,2226,"Question: 
Answer Choices are: 
a. 2
b. 1
c. 3
d. 5
Based on the association, how many countries is expected to have lesser mortality rate than Maldives?
Specify the correct answer by choosing one of a,b,c, or d: 
",a,c. 3,0
9,2227,"Question: 
Answer Choices are: 
a. Kenya
b. India
c. Sweden
d. Australia
Which country students are most likely to score best in PISA reading?
Specify the correct answer by choosing one of a,b,c, or d: 
",c,d. Australia,0
10,2228,"Question: 
Answer Choices are: 
a. 2
b. 3
c. 1
d. 4
Compared to Australia, how many countries are not likely to score better in PISA reading?
Specify the correct answer by choosing one of a,b,c, or d: 
",a,c. 1,0
11,2229,"Question: 
Answer Choices are: 
a. India
b. Australia
c. Sweden
d. Denmark
Which country’s students are likely to score in PISA reading better than United States but lesser than Kenya?
Specify the correct answer by choosing one of a,b,c, or d: 
",b,d. Denmark,0
12,2230,"Question: 
Answer Choices are: 
a. Sri Lanka
b. Pakistan
c. New Zealand
d. European Union
Based on the data, which country has the lowest after-tax inequality?
Specify the correct answer by choosing one of a,b,c, or d: 
",d,c. New Zealand,0
13,2231,"Question: 
Answer Choices are: 
a. 2
b. 3
c. 4
d. 1
How many countries achieve good after tax equality in comparison with United States?
Specify the correct answer by choosing one of a,b,c, or d: 
",a,d. 1,0
14,2232,"Question: 
Answer Choices are: 
a. European Union
b. India
c. Pakistan
d. New Zealand
Which country has the highest after after-tax inequality?
Specify the correct answer by choosing one of a,b,c, or d: 
",b,d. New Zealand,0
15,2233,"Question: 
Answer Choices are: 
a. United Kingdom
b. United States 
c. India
d. European Union
Based on the stated correlation, which country is the richest?
Specify the correct answer by choosing one of a,b,c, or d: 
",d,d. European Union,1
16,2234,"Question: 
Answer Choices are: 
a. European Union
b. India
c. Sri Lanka
d. United States
Which country has immediately has better GDP per capita compared to Pakistan?
Specify the correct answer by choosing one of a,b,c, or d: 
",d,d. The United States,1
17,2235,"Question: 
Answer Choices are: 
a. 2
b. 3
c. 4
d. 1
How many countries are richer than United states based on the given data?
Specify the correct answer by choosing one of a,b,c, or d: 
",b,d. 1,0
18,2236,"Question: 
Answer Choices are: 
a. United Kingdom
b. United States 
c. India 
d. European Union 
Based on the stated correlation, which country has the strong political institutions?
Specify the correct answer by choosing one of a,b,c, or d: 
",d,d. World Bank Group,1
19,2237,"Question: 
Answer Choices are: 
a. European Union 
b. India
c. Sri Lanka
d. United States
Which country has relatively strongly political institutions than pakistan but weaker than New Zealand?
Specify the correct answer by choosing one of a,b,c, or d: 
",d,d. United States,1
20,2238,"Question: 
Answer Choices are: 
a. 2
b. 3
c. 4
d. 1
How many countries have stronger political institutions than United states based on the given data?
Specify the correct answer by choosing one of a,b,c, or d: 
",b,d. 1,0
21,2239,"Question: 
Answer Choices are: 
a. Pakistan
b. New Zealand
c. India
d. Sri Lanka
Which country is shifting fast away from agriculture?
Specify the correct answer by choosing one of a,b,c, or d: 
",a,d. Sri Lanka,0
22,2240,"Question: 
Answer Choices are: 
a. 1
b. 2
c. 3
d. 4
How many countries have greater shift from agriculture towards industry in comparison with India ?
Specify the correct answer by choosing one of a,b,c, or d: 
",a,d. 4,0
23,2241,"Question: 
Answer Choices are: 
a. Pakistan
b. New Zealand
c. India
d. Sri Lanka
Which country falls fourth in the rate of shift from agriculture to industry?
Specify the correct answer by choosing one of a,b,c, or d: 
",b,d. Sri Lanka,0
24,2242,"Question: 
Answer Choices are: 
a. 0
b. 1
c. 2
d. 3
In how many age groups is the number of male users greater than number of female users?
Specify the correct answer by choosing one of a,b,c, or d: 
",a,d. 3,0
25,2243,"Question: 
Answer Choices are: 
a. 2
b. 3
c. 4
d. 5
The number of male users in the age-group 18-25 is greater than the number of female users in how many age groups?
Specify the correct answer by choosing one of a,b,c, or d: 
",d,d. 5,1
26,2244,"Question: 
Answer Choices are: 
a. India
b. Pakistan
c. Bangladesh
d. Sri Lanka
Which country has the highest chance of climate being affected by generating electricity from fossil fuels ?
Specify the correct answer by choosing one of a,b,c, or d: 
",c,d. Sri Lanka,0
27,2245,"Question: 
Answer Choices are: 
a. True
b. False
Is Sri Lanka less dependant on electricity form fossil fuels than China?
Specify the correct answer by choosing one of a or b: 
",a,a. True,1
28,2246,"Question: 
Answer Choices are: 
a. 10%
b. 55%
c. 70%
d. 95%
How much approximate percentage of electricity form fossil fuels by China?
Specify the correct answer by choosing one of a,b,c, or d: 
",c,d. 95%,0
29,2247,"Question: 
Answer Choices are: 
a. Brazil
b. Uruguay
c. Argentina
d. Peru
Which country has the highest percentage area used for irrigation?
Specify the correct answer by choosing one of a,b,c, or d: 
",d,d. Peru,1
30,2248,"Question: 
Answer Choices are: 
a. Brazil
b. Uruguay
c. Argentina
d. Peru
Which country has highest exports?
Specify the correct answer by choosing one of a,b,c, or d: 
",a,b. Uruguay,0
31,2249,"Question: 
Answer Choices are: 
a. 10000 sq km
b. 13000 sq km
c. 20000 sq km
d. 0 sq km
Area of irrigated land in Ecuador?
Specify the correct answer by choosing one of a,b,c, or d: 
",b,c. 20000 sq km,0
32,2250,"Question: 
Answer Choices are: 
a. China
b. South Africa
c. France
d. Finland
Which country have higest count of immigrants going out?
Specify the correct answer by choosing one of a,b,c, or d: 
",a,d. Finland,0
33,2251,"Question: 
Answer Choices are: 
a. 1
b. 2
c. 3
d. 4
How many of the given countries have better net migration rate than Russia?
Specify the correct answer by choosing one of a,b,c, or d: 
",b,d. 4,0
34,2252,"Question: 
Answer Choices are: 
a. Russia
b. South Africa
c. France
d. Finland
Which country can be seen as undeveloped, having political problems, and lacking resources its citizens need?
Specify the correct answer by choosing one of a,b,c, or d: 
",b,d. Finland,0
35,2253,"Question: 
Answer Choices are: 
a. 10%
b. 4%
c. 42%
d. 17%
What nearest percentage of total population at the age of 27 is earning more than $27/hour?
Specify the correct answer by choosing one of a,b,c, or d: 
",c,c. 42%,1
36,2254,"Question: 
Answer Choices are: 
a. 200000
b. 300000
c. 960000
d. 750000
Given the data how many people at age of 27 earn less than $20/hour?
Specify the correct answer by choosing one of a,b,c, or d: 
",c,b. 300000,0
37,2255,"Question: 
Answer Choices are: 
a. Chocolate Bar
b. Peanut Butter
c. Ice Cream
d. Soda
Which food is worse for intake for a person suffering from diabetes?
Specify the correct answer by choosing one of a,b,c, or d: 
",a,d. Soda,0
38,2256,"Question: 
Answer Choices are: 
a. 3
b. 2
c. 1
d. 0
How many food have more sugar content than Ice cream?
Specify the correct answer by choosing one of a,b,c, or d: 
",a,c. 1,0
39,2257,"Question: 
Answer Choices are: 
a. 1
b. 2
c. 3
d. 4
How many countries have agricultural production less than Philippines?
Specify the correct answer by choosing one of a,b,c, or d: 
",d,d. 4,1
40,2258,"Question: 
Answer Choices are: 
a. Mauritius
b. Philippines
c. Korea, South
d. Samoa
Which country is having population more than Israel?
Specify the correct answer by choosing one of a,b,c, or d: 
",c,"c. Korea, South",1
41,2259,"Question: 
Answer Choices are: 
a. Philippines
b. Moldova
c. Korea, South
d. Samoa
Which country is having more demand-pull inflation than Greenland?
Specify the correct answer by choosing one of a,b,c, or d: 
",b,"c. Korea, South",0
42,2260,"Question: 
Answer Choices are: 
a. Canada
b. Saudi Arabia
c. India
d. Kuwait
Which country has the total manufacturing output less than Afghanistan?
Specify the correct answer by choosing one of a,b,c, or d: 
",b,d. Kuwait,0
43,2261,"Question: 
Answer Choices are: 
a. India
b. Kuwait
c. Afghanistan
d. Papua New Guinea
Which country is having the total output of manufacturing same as Germany?
Specify the correct answer by choosing one of a,b,c, or d: 
",d,d. Papua New Guinea,1
44,2262,"Question: 
Answer Choices are: 
a. India
b. Kuwait
c. Canada
d. Saudi Arabia
Which country is most likely to have the highest manufacturing outcome ?
Specify the correct answer by choosing one of a,b,c, or d: 
",a,d. Saudi Arabia,0
45,2263,"Question: 
Answer Choices are: 
a. Argentina
b. Burma
c. Qatar
d. None of the above
Which country is likely to be colder than Netherlands?
Specify the correct answer by choosing one of a,b,c, or d: 
",c,d. None of the above,0
