qid,pred_ans,gt_ans,correctness
0,1,1,1
1,0,0,1
2,1,1,1
3,1,0,0
4,0,0,1
5,1,1,1
6,1,1,1
7,0,0,1
8,0,0,1
9,0,1,0
10,0,1,0
11,1,0,0
12,0,1,0
13,0,0,1
14,0,1,0
15,0,0,1
16,1,0,0
17,0,1,0
18,0,0,1
19,0,1,0
20,0,0,1
21,1,1,1
22,1,0,0
23,1,1,1
24,0,0,1
25,0,1,0
26,0,0,1
27,1,1,1
28,1,0,0
29,1,1,1
30,0,1,0
31,1,0,0
32,0,1,0
33,0,0,1
34,0,1,0
35,0,0,1
36,1,0,0
37,0,1,0
38,0,0,1
39,0,1,0
40,0,0,1
41,1,1,1
42,0,0,1
43,1,1,1
44,1,1,1
45,0,0,1
46,0,1,0
47,1,0,0
48,0,1,0
49,0,0,1
50,0,1,0
51,1,0,0
52,0,0,1
53,1,1,1
54,0,1,0
55,0,1,0
56,1,0,0
57,0,0,1
58,1,0,0
59,1,1,1
60,0,0,1
61,0,1,0
62,0,1,0
63,0,0,1
64,0,0,1
65,1,1,1
66,0,1,0
67,1,0,0
68,1,0,0
69,1,1,1
70,0,1,0
71,0,0,1
72,1,0,0
73,1,1,1
74,0,1,0
75,1,0,0
76,0,0,1
77,0,1,0
78,1,1,1
79,0,0,1
80,0,1,0
81,0,0,1
82,0,1,0
83,1,0,0
84,1,1,1
85,0,0,1
86,0,0,1
87,0,1,0
88,0,0,1
89,1,1,1
90,1,0,0
91,0,1,0
92,1,0,0
93,1,1,1
94,1,1,1
95,0,0,1
96,1,0,0
97,1,1,1
98,0,0,1
99,0,1,0
100,0,1,0
101,1,0,0
102,1,1,1
103,1,0,0
104,0,0,1
105,0,1,0
106,0,1,0
107,0,0,1
108,0,1,0
109,1,0,0
110,0,0,1
111,0,1,0
112,1,1,1
113,0,0,1
114,0,1,0
115,1,0,0
116,1,1,1
117,0,0,1
118,1,1,1
119,0,0,1
120,1,0,0
121,0,1,0
122,0,0,1
123,0,1,0
124,0,1,0
125,1,0,0
126,1,0,0
127,0,1,0
128,0,0,1
129,0,1,0
130,1,1,1
131,0,0,1
132,0,1,0
