qid,pred_ans,gt_ans,correctness
150,0,0,1
151,0,0,1
152,0,1,0
153,0,1,0
154,0,1,0
155,0,0,1
156,0,1,0
157,0,0,1
158,0,0,1
159,0,0,1
160,0,0,1
161,0,0,1
162,0,0,1
163,0,0,1
164,1,1,1
165,1,1,1
166,0,1,0
167,0,1,0
168,0,1,0
169,1,1,1
170,0,1,0
171,0,1,0
172,0,0,1
173,0,0,1
174,0,0,1
175,0,0,1
176,1,1,1
177,0,0,1
178,0,1,0
179,0,0,1
180,0,0,1
181,0,0,1
182,0,0,1
183,0,1,0
184,0,0,1
185,0,0,1
186,0,0,1
187,0,0,1
188,0,0,1
189,0,0,1
190,1,1,1
191,1,1,1
192,0,0,1
193,0,0,1
194,1,1,1
195,1,1,1
196,1,1,1
197,0,0,1
198,0,0,1
199,0,0,1
200,1,1,1
201,1,1,1
202,0,0,1
203,0,0,1
204,0,0,1
205,0,0,1
206,1,1,1
207,0,0,1
208,1,1,1
209,0,0,1
210,0,0,1
211,1,1,1
212,1,1,1
213,1,1,1
214,0,0,1
215,0,0,1
216,0,0,1
217,1,1,1
218,1,1,1
219,0,0,1
220,0,0,1
221,0,0,1
222,0,0,1
223,0,0,1
224,1,1,1
225,0,0,1
226,1,1,1
227,1,1,1
228,1,1,1
229,0,0,1
230,0,0,1
231,0,0,1
232,0,1,0
233,0,1,0
234,0,0,1
235,0,0,1
236,0,0,1
237,1,1,1
238,1,1,1
239,1,1,1
240,0,0,1
241,0,1,0
242,0,0,1
243,0,1,0
244,0,1,0
245,0,0,1
246,1,1,1
247,1,1,1
248,1,1,1
249,1,1,1
