qid,question,origanswer,generatedanswer,correctness
1,what is the status of person in the image in prison,0,0,1
6,why is woman in the left of the image running for president in 2012,1,0,0
9,who's running for president in 2012 woman in the left of the image. mccain or woman in the left of the image,1,1,1
12,when is woman in the right of the image going to address the united nations,3,0,0
14,when did man in the image come to power in russia,0,2,0
27,who led woman in the left of the image in the greece election,3,0,0
32,who is trying to mediate between person in the left of the image and the government of malian,0,3,0
41,who is man in the image of the united states running against,0,3,0
44,who is running for president against person in the image in 2012,1,0,0
46,who was the gay guy that worked with man with the sunglasses in the image,3,1,0
48,who is person with the black suit in the image on the senate armed forces committee,0,2,0
74,who was the leader of iran when man in the image was there,0,2,0
75,when is person in the image speaking at the un,3,0,0
84,where did british prime minister benjamin man in the image in 2012,2,2,1
85,where did man in the image of venezuela have cancer,1,0,0
94,who is the student of person in the image in khatra kabar,0,3,0
109,who did man in the image choose as us president for africa,0,3,0
110,who is man in the image of state talking about in africa,2,3,0
113,when do they nominate mitt ryan to run against man in the image,0,3,0
122,who did woman in the center of the image write hold on for,0,1,0
123,who elected person in the image as the new prime minister of ethiopia,1,3,0
133,who did woman in the right of the image meet in egypt,3,3,1
134,who was talking to person in the right of the image about the ceasefire in jerusalem,2,0,0
137,person in the left of the image are there in the lucy river,3,3,1
147,who is woman in the image of the french socialist party,1,1,1
152,where is the next presidential debate between person with the white shirt in the image and president,2,0,0
153,who's running for president in 2012 with person with the white shirt in the image,3,3,1
160,who was person in the center of the image of vietnam before trong,2,0,0
163,when did man in the center of the image become the us ambassador to the un,1,2,0
173,when did france change its name from madame to man in the right of the image,0,0,1
174,how many ministers are there in the french government for man in the right of the image,2,1,0
175,who is the us ambassador to afghanistan when person in the image is there,0,0,1
205,who does the president run as person in the left of the image for,2,2,1
215,what is the next step for person in the left of the image and ocollo,3,3,1
231,who is man in the left of the image at the time of the 2012 election,2,2,1
234,where did person in the left of the image die in china,2,2,1
239,who does person in the center of the image meet in india during her visit,1,1,1
275,why is mitt russell running for person in the image in ohio,0,3,0
276,who has been most opposed to man in the image. ober administration's jobs plan,0,3,0
281,what is the expected growth in asia next year according to woman in the image,0,2,0
289,what is the charge against woman in the left of the image,2,1,0
308,where did man in the left of the image hold a press conference,2,0,0
337,when did person in the image quit as us ambassador to kenya,3,3,1
350,who is traveling with man in the left of the image of the joint chiefs of staff,1,1,1
361,when did person in the image appear before the legislative council,2,2,1
364,who has the advantage in the presidential debate between person in the left of the image. obama and mccain,0,2,0
367,who is running for person in the left of the image in arizona,1,1,1
368,who is running to replace person in the left of the image in arizona,3,0,0
369,who is running for congress in arizona after man in the left of the image was shot,1,3,0
371,what is the main reason for supporting person in the right of the image in 2012,1,0,0
376,who is known as man with the black coat in the image,2,2,1
378,who is person in the left of the image,0,2,0
381,what is the priority when person with the white jacket in the image is visiting india,1,0,0
387,where is man in the center of the image being treated in britain,1,1,1
394,who is person in the center of the image of the opposition leader in ukraine,1,2,0
404,what is the condition of woman in the left of the image in pakistan who is accused of blasphemy,2,3,0
412,where does person in the image of venezuela have cancer,2,0,0
419,who is person in the left of the image of the united states when the philippines visit,0,3,0
421,where did the song 24 / 7 by person in the image come from,1,3,0
425,who is running for president against person with the yellow suit in the image in 2012,0,0,1
427,who is running for president against person in the center of the image,1,1,1
428,who said the economy is not doing well under person in the center of the image,0,2,0
429,who is running against man with the yellow suit in the image for president in 2012,1,1,1
430,who is running for president against person with the yellow suit in the image in 2012,0,0,1
431,who is running for president in 2012 against man in the center of the image,1,1,1
432,who is running for president in 2012 with mitt mccain as person in the center of the image,0,2,0
434,who is running for president in 2012 with oregon vs. man with the yellow suit in the image,1,1,1
442,what did man in the left of the image collect in his time of great need,0,0,1
443,what is person in the center of the image on syria,0,3,0
444,what does person in the center of the image mean by intervention in syria,3,2,0
447,when do the farc talks with man in the image end,1,3,0
448,when does man in the image of colombia start peace talks with farc,0,0,1
458,who was man in the bottom of the image to libya killed,2,2,1
467,who does person with the glasses in the image play in the movie arnold,2,2,1
468,who played arnold in the movie with man in the left of the image,3,1,0
475,who did man in the image talk to about the ottoman revolution,0,2,0
482,where is the leader of ethiopia without person with the black suit in the image,2,2,1
504,who replaced man with the glasses in the image as president of paraguay,3,1,0
505,where did person with the white suit in the image visit as president of egypt,1,3,0
506,who did man with the white suit in the image say in her speech in egypt,2,3,0
507,who did selina clinton meet with man with the white suit in the image,1,0,0
513,who did man in the image agree to the resignation of,2,1,0
514,who welcomed person in the image to the country,0,0,1
522,who hosted person in the left of the image karzai in china last year,0,0,1
526,where is man in the right of the image and first lady going for christmas,2,2,1
532,who is woman in the center of the image of china visiting india,1,3,0
541,what is the song by person with the glasses in the image about,1,3,0
553,what is it called when a man and man in the image live together,3,0,0
558,how many years did it take for woman in the left of the image to get us out of iran,2,1,0
559,when does person in the left of the image plan to withdraw troops from afghanistan,1,1,1
584,who did person in the right of the image meet in philippines,0,3,0
586,who did person in the right of the image meet in philippines,0,2,0
600,who does person in the right of the image belong to as a member of the church,0,1,0
604,person in the left of the image who is visiting the united states this week,0,0,1
618,who was person in the right of the image killed in afghanistan,1,0,0
621,who was president of pakistan when the us drone strike on person in the top of the image took place,2,2,1
626,who is person in the left of the image who burnt the quran,1,1,1
