qid,gt_ans,pred_ans_blip,correctness_blip
0,I-IV-III-II,II-I-IV-III,0
1,II-III-I-IV,II-III-I-IV,1
2,II-I-IV-III,II-I-IV-III,1
3,I-IV-III-II,II-I-IV-III,0
4,II-I-IV-III,II-III-I-IV,0
5,II-I-IV-III,II-I-IV-III,1
6,II-III-I-IV,II-III-I-IV,1
7,II-I-IV-III,II-I-IV-III,1
8,I-II-IV-III,II-I-IV-III,0
9,II-III-I-IV,II-I-IV-III,0
10,I-II-IV-III,II-I-IV-III,0
11,I-IV-III-II,II-I-IV-III,0
12,I-IV-III-II,II-III-I-IV,0
13,II-I-IV-III,II-III-I-IV,0
14,II-I-IV-III,II-I-IV-III,1
15,I-IV-III-II,II-I-IV-III,0
16,II-III-I-IV,II-I-IV-III,0
17,II-I-IV-III,II-I-IV-III,1
18,I-IV-III-II,II-I-IV-III,0
19,I-II-IV-III,II-I-IV-III,0
20,I-IV-III-II,II-I-IV-III,0
21,II-I-IV-III,II-III-I-IV,0
22,I-II-IV-III,II-III-I-IV,0
23,II-I-IV-III,II-III-I-IV,0
24,II-I-IV-III,II-III-I-IV,0
25,I-II-IV-III,II-III-I-IV,0
26,I-II-IV-III,II-III-I-IV,0
27,I-IV-III-II,II-III-I-IV,0
28,II-I-IV-III,II-I-IV-III,1
29,I-II-IV-III,II-III-I-IV,0
30,II-I-IV-III,II-III-I-IV,0
31,I-II-IV-III,II-I-IV-III,0
32,II-I-IV-III,II-I-IV-III,1
33,II-III-I-IV,II-III-I-IV,1
34,II-III-I-IV,II-III-I-IV,1
35,I-IV-III-II,II-III-I-IV,0
36,I-IV-III-II,II-III-I-IV,0
37,I-IV-III-II,II-III-I-IV,0
38,I-IV-III-II,II-I-IV-III,0
39,I-IV-III-II,II-I-IV-III,0
40,II-III-I-IV,II-III-I-IV,1
41,I-IV-III-II,II-I-IV-III,0
42,II-I-IV-III,II-III-I-IV,0
43,II-I-IV-III,II-III-I-IV,0
44,II-III-I-IV,II-I-IV-III,0
45,I-II-IV-III,II-I-IV-III,0
46,I-IV-III-II,II-III-I-IV,0
47,I-II-IV-III,II-III-I-IV,0
48,II-III-I-IV,II-III-I-IV,1
