index,qid,passage,question,origanswer,generatedanswer
0,8d074ad059e688e64daf4839a8c08c3c,"text Queens Park Rangers, links text Queens Park Rangers, wiki_title Queens Park Rangers F.C., url https//en.wikipedia.org/wiki/Queens_Park_Rangers_F.C.","Question: 
Between the Queens Park Rangers or the team whose logo has a rose with leaves, which has higher points in the 1999-2000 Barnsley F.C. Season final league table?
Answer Choices are: 
a. The team whose logo has a rose with leaves.
b. Queens Park Rangers
Specify their correct answer by choosing one of a or b: 
",b,wiki_title
1,d8a45b0634b38bb7e574c2ea0620b217,"text The Cosby Show, links text The Cosby Show, wiki_title The Cosby Show, url https//en.wikipedia.org/wiki/The_Cosby_Show","Question: 
Seth Gillam's Aaron Dexter TV title has what color inside text?
Answer Choices are: 
a. Orange
b. white
Specify their correct answer by choosing one of a or b: 
",b,The_Cosby_Show
2,09cf590288a0f23fa3e9d4ecb1cebcfb,"text The Cosby Show, links text The Cosby Show, wiki_title The Cosby Show, url https//en.wikipedia.org/wiki/The_Cosby_Show","Question: 
In the title of the 1990-91 Seth Gilliam T.V. show, what is the inside color on the letters?
Answer Choices are: 
a. white
b. The inside color on the letters is black.
Specify their correct answer by choosing one of a or b: 
",a,The_Cosby_Show
3,d92cd97194a6e278981f7fdcad48d5d7,"text Adam Kennedy, links text Adam Kennedy, wiki_title Adam Kennedy, url https//en.wikipedia.org/wiki/Adam_Kennedy","Question: 
Did Adam Kennedy or the player with a red stripe on his pants, red logo on his shirt, and a blue helmet have a lower RBI in the Anaheim Angels' 2004 season?
Answer Choices are: 
a. Adam Kennedy
b. The player with a red stripe on his pants, red logo on his shirt, and a blue helmet had a lower RBI in the Anaheim Angels' 2004 season.
Specify their correct answer by choosing one of a or b: 
",a,Adam_Kennedy
4,c91e6bfe4afa98250c56141b10c2d715,"text .301, links ","Question: 
What batting average did the player with red stripe on uniform pants and red logo on shirt and blue helmet have in 2004 Anaheim Angels season?
Answer Choices are: 
a. 401
b. 0.301
Specify their correct answer by choosing one of a or b: 
",b,0.301
5,1d1e7c5c0748b2449c64f01d224c364d,"text The Herbalists Manual, links text The Herbalists Manual, wiki_title The Herbalists Manual, url https//en.wikipedia.org/wiki/The_Herbalists_Manual","Question: 
Which Drama featuring songs all about men has a lower number:  The drama with a poster featuring exactly one person or Lethal Weapons of Love and Passion?
Answer Choices are: 
a. The Herbalist's Manual
b. The dramas with a poster featuring exactly one person or Lethal Weapons of Love and Passion have a higher number.
Specify their correct answer by choosing one of a or b: 
",a,The_Herbalists_Manual
6,f7086e132a9959dc4393fd0624abb092,"text Celine Dion, links text Celine Dion, wiki_title Celine Dion, url https//en.wikipedia.org/wiki/Celine_Dion","Question: 
What is the D. Fox artist of the song My Love wearing around her wrists?
Answer Choices are: 
a. bracelets
b. watches
Specify their correct answer by choosing one of a or b: 
",a,Celine_Dion
7,94566ff1602cdb63bff455ed9700e375,"text 2010–11, links text 2010–11, wiki_title NCAA Season 86, url https//en.wikipedia.org/wiki/NCAA_Season_86","Question: 
In the academic years when San Sebastian College-Recoletos hosted the Fourth Expansion of NCAA General Championship which academic year had a logo with a basketball on it?
Answer Choices are: 
a. 2010âÃÃ¬11
b. 010âÃÃ¬12
Specify their correct answer by choosing one of a or b: 
",a,NCAA_Season_86
8,28c939666b2450c7887d3fbc06f66bba,"text Josh Smith, links text Josh Smith, wiki_title Josh Smith, url https//en.wikipedia.org/wiki/Josh_Smith","Question: 
What player from a team with a bird on the logo played in the Rising Star Challenge in 2005?
Answer Choices are: 
a. Brandon Wright
b. Josh Smith
Specify their correct answer by choosing one of a or b: 
",b,"Josh Smith, wiki_title Josh Smith, url https//en.wikipedia.org/wiki/Josh_Smith"
9,d77a4a6e678f2c55ebabb634b6c8fcbc,"text Leigh Centurions, links text Leigh Centurions, wiki_title Leigh Centurions, url https//en.wikipedia.org/wiki/Leigh_Centurions","Question: 
The player who transferred to the Warrington Wolves in the 2018 season was signed from which team that features big horizontal stripes on the jersey?
Answer Choices are: 
a. Hull FC
b. Leigh Centurions
Specify their correct answer by choosing one of a or b: 
",b,Leigh_Centurions
10,ee309a646a1661b94e768bda4e901cf4,"text Tyrone Roberts, links text Tyrone Roberts, wiki_title Tyrone Roberts, url https//en.wikipedia.org/wiki/Tyrone_Roberts","Question: 
What player was transferred from the team that has crossed swords on its logo to the Warrington Wolves in the 2018 season?
Answer Choices are: 
a. Tyrone Roberts
b. Tyrone Jones
Specify their correct answer by choosing one of a or b: 
",a,wiki_title
11,e090b8d1cca0a7cbeceb4f18cfe43ef8,"text October 2017, links ","Question: 
When did the Warrington Wolves announce the transfer who was signed from the team with crossed swords on its logo for the 2018 season?
Answer Choices are: 
a. 17-Oct
b. 17-Nov
Specify their correct answer by choosing one of a or b: 
",a,17-Oct
12,529d4345a1c5519e0aed79c5de6809e7,"text March 14–17, links ","Question: 
What was the date of the FIRST Power Up when a ferris wheel was present?
Answer Choices are: 
a. March 14âÃÃ¬18
b. March 14âÃÃ¬17
Specify their correct answer by choosing one of a or b: 
",b,March 14–17
13,c054335cf6ca4217ed5bcb63fe8c9f1b,"text Houston, Texas, links text Houston, Texas, wiki_title Houston, url https//en.wikipedia.org/wiki/Houston","Question: 
This collage of the location that hosted the Lone Star Central event in week 3 of FIRST Power Up is made up of how many photos?
Answer Choices are: 
a. four
b. nine
Specify their correct answer by choosing one of a or b: 
",b,Houston
14,ebd3441ba69a12ea56fc8c40e5a1d712,"text San Francisco, California, links text San Francisco, California, wiki_title San Francisco, url https//en.wikipedia.org/wiki/San_Francisco","Question: 
The San Francisco FIRST Power Up Week 3 location has what color flowers in foreground of bridge?
Answer Choices are: 
a. Red
b. yellow
Specify their correct answer by choosing one of a or b: 
",b,San_Francisco
15,4b66b82b20d3ae85b4104b56aad4aeee,"text Kansas City, Missouri, links text Kansas City, Missouri, wiki_title Kansas City, Missouri, url https//en.wikipedia.org/wiki/Kansas_City,_Missouri","Question: 
In the upper right photo of the city that was the location of the Greater Kansas City event in week 3 of the FIRST Power Up, what mode of transportation is seen?
Answer Choices are: 
a. train
b. car
Specify their correct answer by choosing one of a or b: 
",a,"Kansas_City,_Missouri"
16,530d9663f1e5687d2e016a5fcdf0c93b,"text Free transfer, links ","Question: 
When looking at the players who transferred into Blackpool F.C. during the 2016-17 season, what fee is listed for the athlete who came from a team with a ship logo?
Answer Choices are: 
a. Free transfer
b. Paid transfer
Specify their correct answer by choosing one of a or b: 
",a,links
17,8d218eb970ded772145bc4b3c20457f3,"text Hammer throw, links text Hammer throw, wiki_title Hammer throw, url https//en.wikipedia.org/wiki/Hammer_throw","Question: 
For the event in the Arab Athletics Championships for women, when the athlete was Rawan Ayman Barakat in the event, what was the man wearing around his waist?
Answer Choices are: 
a. sash
b. belt
Specify their correct answer by choosing one of a or b: 
",b,Hammer_throw
18,4642ff2ffbdb35f0f4c29ce0a51fd703,"text Dearborn, links text Dearborn, wiki_title Dearborn, Michigan, url https//en.wikipedia.org/wiki/Dearborn,_Michigan","Question: 
Does Ford Motor Company 1980 Michigan headquarters building exceed 5 stories?
Answer Choices are: 
a. no
b. yes
Specify their correct answer by choosing one of a or b: 
",b,"Dearborn,_Michigan"
19,30c3f3920ce666c2407bcf72a897d2dc,"text Gerber Products, links text Gerber Products, wiki_title Gerber Products Company, url https//en.wikipedia.org/wiki/Gerber_Products_Company","Question: 
The fortune 500 company based in Fremont, Michigan in 1980 has what living thing on its logo?
Answer Choices are: 
a. baby
b. un
Specify their correct answer by choosing one of a or b: 
",a,Gerber_Products_Company
20,f236950754792502b50158750553cc45,"text Adele, links text Adele, wiki_title Adele, url https//en.wikipedia.org/wiki/Adele","Question: 
Was Adele or the Original Artist that has blonde hair, the one with higher order in The Voice career (2015) of Jordan Smith (musician)?
Answer Choices are: 
a. The Original Artist
b. Adele
Specify their correct answer by choosing one of a or b: 
",b,Adele
21,3d0bdd6f05065043bee2ed380e9c5423,"text Blind Auditions, links ","Question: 
When looking at the career of musician Jordan Smith, and specifically, his time on ""The Voice"" in 2015, at what stage did he perform a song originally by a blonde-haired artist?
Answer Choices are: 
a. Eliminations
b. Blind Auditions
Specify their correct answer by choosing one of a or b: 
",b,links
