index,qid,question,origanswer,generatedanswer,correctness
0,2218,From the above graph infer comparatively which country is most likely to have highest per capita income?,0,0,1
1,2219,How many countries are most likely to have better per capita income level than Iraq?,0,1,0
2,2220,"Sorted in descending order by it’s per capita income, which country will stand third?",0,1,0
3,2221,"As per the data, Which country is most likely to have the least tax revenue?",2,3,0
4,2222,"Based on the relationship, which country stands third if sorted in ascending order by it’s tax revenue?",0,3,0
5,2223,How many countries are most likely to have better tax revenues in comparison with costa rica?,1,1,1
6,2224,Which country is expected to have the least child mortality rate?,1,2,0
7,2225,"Based on the association, which country is likely to have the second highest child mortality rate?",1,2,0
8,2226,"Based on the association, how many countries is expected to have lesser mortality rate than Maldives?",0,1,0
9,2227,Which country students are most likely to score best in PISA reading?,2,2,1
10,2228,"Compared to Australia, how many countries are not likely to score better in PISA reading?",0,1,0
11,2229,Which country’s students are likely to score in PISA reading better than United States but lesser than Kenya?,1,3,0
12,2230,"Based on the data, which country has the lowest after-tax inequality?",3,1,0
13,2231,How many countries achieve good after tax equality in comparison with United States?,0,1,0
14,2232,Which country has the highest after after-tax inequality?,1,1,1
15,2233,"Based on the stated correlation, which country is the richest?",3,2,0
16,2234,Which country has immediately has better GDP per capita compared to Pakistan?,3,1,0
17,2235,How many countries are richer than United states based on the given data?,1,0,0
18,2236,"Based on the stated correlation, which country has the strong political institutions?",3,2,0
19,2237,Which country has relatively strongly political institutions than pakistan but weaker than New Zealand?,3,2,0
20,2238,How many countries have stronger political institutions than United states based on the given data?,1,1,1
21,2239,Which country is shifting fast away from agriculture?,0,1,0
22,2240,How many countries have greater shift from agriculture towards industry in comparison with India ?,0,2,0
23,2241,Which country falls fourth in the rate of shift from agriculture to industry?,1,1,1
24,2242,In how many age groups is the number of male users greater than number of female users?,0,0,1
25,2243,The number of male users in the age-group 18-25 is greater than the number of female users in how many age groups?,3,1,0
26,2244,Which country has the highest chance of climate being affected by generating electricity from fossil fuels ?,2,0,0
27,2245,Is Sri Lanka less dependant on electricity form fossil fuels than China?,0,0,1
28,2246,How much approximate percentage of electricity form fossil fuels by China?,2,3,0
29,2247,Which country has the highest percentage area used for irrigation?,3,3,1
30,2248,Which country has highest exports?,0,0,1
31,2249,Area of irrigated land in Ecuador?,1,3,0
32,2250,Which country have higest count of immigrants going out?,0,1,0
33,2251,How many of the given countries have better net migration rate than Russia?,1,2,0
34,2252,"Which country can be seen as undeveloped, having political problems, and lacking resources its citizens need?",1,0,0
35,2253,What nearest percentage of total population at the age of 27 is earning more than $27/hour?,2,2,1
36,2254,Given the data how many people at age of 27 earn less than $20/hour?,2,2,1
37,2255,Which food is worse for intake for a person suffering from diabetes?,0,1,0
38,2256,How many food have more sugar content than Ice cream?,0,0,1
39,2257,How many countries have agricultural production less than Philippines?,3,0,0
40,2258,Which country is having population more than Israel?,2,2,1
41,2259,Which country is having more demand-pull inflation than Greenland?,1,3,0
42,2260,Which country has the total manufacturing output less than Afghanistan?,1,1,1
43,2261,Which country is having the total output of manufacturing same as Germany?,3,2,0
44,2262,Which country is most likely to have the highest manufacturing outcome ?,0,2,0
45,2263,Which country is likely to be colder than Netherlands?,2,3,0
46,2264,Which country is most likely to have population less than Argentina?,1,1,1
47,2265,Which country is most likely to have a smaller number of migrants that enters country when compared to Russia?,1,1,1
48,2266,Which country is having poor child mortality rate?,2,3,0
49,2267,How many countries have less fertility rate when compared to China?,1,3,0
50,2268,"Based on the above graph, which country might have less number of houses?",3,1,0
51,2269,"From the above graph, which country is likely to have more usage of telecommunications?",2,0,0
52,2270,"According to the data given, how many countries are likely to be above average revenue?",1,1,1
53,2271,"Based on the above data, which country needs to focus on economic growth?",1,1,1
54,2272,How many countries are beneath Sri Lanka in terms of effecting the environment?,2,2,1
55,2273,Which country among the listed data has outshined in the GDP sector?,0,3,0
56,2274,"Compared to australia, which of these countries has relatively more world population and also higher average life expectancy at birth?",1,1,1
57,2275,"Out of all the countries that has less percent of world population than Australia in 2015, which country has the least life expectancy at birth?",0,2,0
58,2276,"Out of 7 countries, how many countries exceeds 75% of life expectancy?",0,0,1
