qid,pred_ans,gt_ans,correctness
0,1,3,0
1,1,3,0
2,1,2,0
3,2,2,1
4,1,2,0
5,1,2,0
6,1,2,0
7,1,2,0
8,2,1,0
9,1,1,1
10,1,0,0
11,1,1,1
12,3,1,0
13,1,1,1
14,1,3,0
15,2,2,1
16,1,0,0
17,1,1,1
18,1,0,0
19,1,2,0
20,1,1,1
21,3,3,1
22,1,1,1
23,1,0,0
24,1,2,0
25,3,2,0
26,1,0,0
27,1,1,1
28,1,3,0
29,1,0,0
30,3,2,0
31,1,1,1
32,1,2,0
33,1,0,0
34,1,1,1
35,1,2,0
36,3,0,0
37,1,0,0
38,1,3,0
39,1,1,1
40,1,0,0
41,0,1,0
42,1,2,0
43,1,1,1
44,1,3,0
45,0,0,1
46,1,3,0
47,1,3,0
48,1,0,0
49,1,1,1
50,3,0,0
51,1,0,0
52,1,0,0
53,1,0,0
54,1,0,0
55,2,2,1
56,1,0,0
57,1,0,0
58,1,3,0
59,1,3,0
60,1,2,0
61,1,1,1
62,1,2,0
63,1,1,1
64,1,1,1
65,1,3,0
66,1,2,0
67,3,3,1
68,1,2,0
69,1,0,0
70,1,2,0
71,1,1,1
72,1,3,0
73,1,1,1
74,1,3,0
75,1,0,0
76,0,0,1
77,1,1,1
78,1,2,0
79,1,0,0
80,1,0,0
81,1,0,0
82,0,3,0
83,1,0,0
84,1,3,0
85,1,0,0
86,1,2,0
87,1,2,0
88,1,2,0
89,1,0,0
90,1,3,0
91,1,2,0
92,1,0,0
93,1,0,0
94,2,2,1
95,1,1,1
96,1,3,0
97,1,0,0
98,1,1,1
99,2,2,1
100,1,1,1
101,1,1,1
102,1,0,0
103,3,0,0
104,1,0,0
105,1,2,0
106,1,1,1
107,1,3,0
108,1,2,0
109,1,2,0
110,1,3,0
111,1,3,0
112,1,2,0
113,1,1,1
114,1,1,1
115,1,2,0
116,1,0,0
117,1,3,0
118,1,1,1
119,2,2,1
120,1,1,1
121,1,3,0
122,1,1,1
123,1,2,0
124,1,1,1
125,1,3,0
126,1,1,1
127,1,0,0
128,1,2,0
129,1,3,0
130,1,1,1
131,1,2,0
132,1,1,1
133,1,0,0
134,1,0,0
135,1,2,0
136,1,2,0
137,1,0,0
138,1,3,0
139,1,0,0
140,1,2,0
141,1,1,1
142,1,2,0
143,1,2,0
144,1,3,0
145,1,3,0
146,1,0,0
147,1,2,0
148,1,2,0
149,1,2,0
150,1,1,1
151,1,1,1
152,1,3,0
153,1,3,0
154,1,0,0
155,1,3,0
156,1,0,0
157,1,2,0
158,1,2,0
159,1,3,0
160,1,0,0
161,1,3,0
162,1,3,0
163,1,0,0
164,1,0,0
165,1,3,0
166,1,1,1
167,1,1,1
168,1,2,0
169,1,3,0
170,1,1,1
171,1,0,0
172,1,2,0
173,1,0,0
174,1,2,0
175,1,0,0
176,1,3,0
177,1,2,0
178,1,3,0
179,1,0,0
180,1,2,0
181,1,3,0
182,1,3,0
183,1,3,0
184,1,1,1
185,1,2,0
186,1,2,0
187,1,2,0
188,1,3,0
189,1,2,0
190,1,3,0
191,1,0,0
192,1,0,0
193,1,1,1
194,1,2,0
195,1,1,1
196,1,2,0
197,1,2,0
198,1,3,0
199,1,2,0
200,1,0,0
201,1,3,0
202,1,0,0
203,1,1,1
204,1,2,0
205,1,2,0
206,1,1,1
207,1,1,1
208,1,3,0
209,1,3,0
210,1,2,0
211,1,2,0
212,1,3,0
213,1,2,0
214,1,3,0
215,1,3,0
216,1,0,0
217,1,3,0
218,1,2,0
219,1,2,0
220,1,0,0
221,1,1,1
222,1,3,0
223,1,1,1
224,1,0,0
225,1,1,1
226,1,2,0
227,1,2,0
228,1,3,0
229,1,1,1
230,1,2,0
231,1,3,0
232,1,2,0
233,3,1,0
234,1,1,1
235,1,3,0
236,1,3,0
237,1,1,1
238,2,2,1
239,1,0,0
240,1,2,0
241,1,0,0
242,1,1,1
243,1,2,0
244,1,3,0
245,1,0,0
246,0,1,0
247,1,0,0
248,1,2,0
249,1,2,0
250,1,1,1
251,1,2,0
252,1,2,0
253,1,1,1
254,1,0,0
255,1,1,1
256,1,0,0
257,1,3,0
258,1,2,0
259,1,3,0
260,1,0,0
261,1,1,1
262,1,3,0
263,1,2,0
264,1,0,0
265,1,3,0
266,1,2,0
267,1,2,0
268,1,0,0
269,1,0,0
270,1,1,1
271,1,0,0
272,1,0,0
273,1,2,0
274,1,1,1
275,1,3,0
276,1,0,0
277,1,2,0
278,1,1,1
279,1,1,1
280,1,3,0
281,1,3,0
282,1,0,0
283,1,2,0
284,0,1,0
285,1,2,0
286,1,1,1
287,1,1,1
288,1,1,1
289,1,3,0
290,3,3,1
291,1,1,1
292,1,0,0
293,1,2,0
294,1,0,0
295,1,1,1
296,1,3,0
297,1,1,1
298,1,0,0
299,2,2,1
300,2,3,0
301,1,2,0
302,1,1,1
303,1,0,0
304,1,1,1
305,1,2,0
306,1,0,0
307,1,2,0
308,1,1,1
309,1,3,0
310,1,1,1
311,1,0,0
312,1,1,1
313,1,1,1
314,1,0,0
315,1,1,1
316,1,0,0
317,1,3,0
318,1,1,1
319,1,0,0
320,1,2,0
321,1,2,0
322,1,3,0
323,1,2,0
324,0,0,1
325,1,0,0
326,1,2,0
327,1,0,0
328,1,3,0
329,1,0,0
330,1,2,0
331,1,3,0
332,1,0,0
333,1,1,1
334,1,0,0
335,1,1,1
336,1,3,0
337,1,0,0
338,1,1,1
339,1,2,0
340,1,2,0
341,2,0,0
342,1,0,0
343,1,1,1
344,1,1,1
345,1,2,0
346,1,0,0
347,1,2,0
348,1,3,0
349,1,1,1
350,1,1,1
351,1,1,1
352,1,1,1
353,1,1,1
354,1,2,0
355,1,0,0
356,1,3,0
357,1,1,1
358,3,3,0
359,1,2,0
360,1,3,0
361,1,0,0
362,1,1,1
363,1,0,0
364,1,1,1
365,2,1,0
366,1,1,1
367,1,2,0
368,1,1,1
369,1,0,0
370,1,2,0
371,1,3,0
372,3,1,0
373,1,0,0
374,1,3,0
375,1,0,0
376,1,0,0
377,1,1,1
378,2,2,1
379,1,3,0
380,1,0,0
381,1,0,1
382,1,1,1
383,1,1,1
384,1,1,1
385,1,2,0
386,1,1,1
387,1,2,0
388,1,0,0
389,1,3,0
390,1,2,0
391,2,2,1
392,1,0,0
393,1,1,1
394,1,1,1
395,1,2,0
396,1,1,1
397,1,2,0
398,1,2,0
399,1,3,0
400,1,0,0
401,1,1,1
402,1,3,0
403,1,0,0
404,1,3,0
405,3,1,0
406,3,1,0
407,1,1,1
408,1,2,0
409,1,1,1
410,1,2,0
411,1,2,0
412,1,0,0
413,1,2,0
414,2,2,1
415,3,3,1
416,1,1,1
417,1,1,1
418,1,3,0
419,1,2,0
420,1,2,0
421,1,2,0
422,1,3,0
423,1,1,1
424,1,0,0
425,1,1,1
426,1,0,0
427,1,2,0
428,1,1,1
429,1,2,0
430,1,2,0
431,1,3,0
432,1,3,0
433,1,3,0
434,1,0,0
435,1,0,0
436,1,0,0
437,1,3,0
438,1,1,1
439,2,3,0
440,1,1,1
441,1,1,1
442,1,0,0
443,1,3,0
444,1,0,0
445,1,1,1
446,1,3,0
447,1,0,0
448,1,3,0
449,1,2,0
450,1,1,1
451,1,3,0
452,1,0,0
453,1,0,0
454,1,1,1
455,1,2,0
456,1,3,0
457,1,0,0
458,1,2,0
459,1,1,1
460,1,0,0
461,1,0,0
