index,sub_index,filenumber,qid,question,origanswer,generatedanswer,correctness
15,14,1,1000640,Choose the correct order of the events?,3,3,1
2674,673,2,1075970,Choose the correct order of the events?,3,1,0
2947,946,2,1082266,Choose the correct order of the events?,3,1,0
4050,49,3,110794,Choose the correct order of the events?,3,0,0
8688,687,5,1277209,Choose the correct order of the events?,3,0,0
8713,712,5,1279267,Choose the correct order of the events?,2,0,0
9143,1142,5,1305086,Choose the correct order of the events?,3,0,0
12148,147,7,141456,Choose the correct order of the events?,3,0,0
13203,1202,7,1483458,Choose the correct order of the events?,3,1,0
13304,1303,7,1489371,Choose the correct order of the events?,2,0,0
13306,1305,7,1489530,Choose the correct order of the events?,2,3,0
13477,1476,7,1504360,Choose the correct order of the events?,3,0,0
13752,1751,7,1516147,Choose the correct order of the events?,3,1,0
14024,23,8,1533612,Choose the correct order of the events?,3,1,0
16007,6,9,1683708,Choose the correct order of the events?,3,1,0
16354,353,9,1717784,Choose the correct order of the events?,3,0,0
16520,519,9,1734636,Choose the correct order of the events?,3,0,0
16521,520,9,1734709,Choose the correct order of the events?,0,1,0
16558,557,9,1741571,Choose the correct order of the events?,3,0,0
16647,646,9,1751373,Choose the correct order of the events?,2,1,0
16927,926,9,1779076,Choose the correct order of the events?,3,0,0
17324,1323,9,1821800,Choose the correct order of the events?,3,1,0
17340,1339,9,18228,Choose the correct order of the events?,3,3,1
17779,1778,9,1870915,Choose the correct order of the events?,3,1,0
17889,1888,9,1883203,Choose the correct order of the events?,3,2,0
18346,345,10,1935762,Choose the correct order of the events?,2,3,0
18818,817,10,1988253,Choose the correct order of the events?,3,0,0
19251,1250,10,2056550,Choose the correct order of the events?,3,1,0
19921,1920,10,2158336,Choose the correct order of the events?,1,0,0
20208,207,11,2200106,Choose the correct order of the events?,3,0,0
20305,304,11,2212525,Choose the correct order of the events?,3,2,0
20600,599,11,224654,Choose the correct order of the events?,3,0,0
20899,898,11,229201,Choose the correct order of the events?,0,1,0
21562,1561,11,241607,Choose the correct order of the events?,2,0,0
21790,1789,11,245686,Choose the correct order of the events?,3,1,0
22056,55,12,2511332,Choose the correct order of the events?,0,0,1
22677,676,12,262762,Choose the correct order of the events?,1,0,0
23129,1128,12,2707891,Choose the correct order of the events?,3,1,0
23182,1181,12,2719895,Choose the correct order of the events?,3,0,0
23257,1256,12,2728881,Choose the correct order of the events?,1,0,0
24465,464,13,3018198,Choose the correct order of the events?,1,2,0
24535,534,13,3032220,Choose the correct order of the events?,3,0,0
25044,1043,13,3161211,Choose the correct order of the events?,1,1,1
25164,1163,13,3183850,Choose the correct order of the events?,3,0,0
25255,1254,13,3204713,Choose the correct order of the events?,2,1,0
25654,1653,13,3311096,Choose the correct order of the events?,3,3,1
26183,182,14,345877,Choose the correct order of the events?,3,2,0
26469,468,14,3556001,Choose the correct order of the events?,2,0,0
26815,814,14,3663194,Choose the correct order of the events?,3,0,0
27334,1333,14,3817850,Choose the correct order of the events?,2,0,0
28255,254,16,4597066,Choose the correct order of the events?,2,0,0
28465,464,16,464811,Choose the correct order of the events?,3,0,0
28476,475,16,4650664,Choose the correct order of the events?,3,0,0
28928,927,16,4753114,Choose the correct order of the events?,3,0,0
30011,10,17,500685,Choose the correct order of the events?,3,0,0
30676,675,17,518136,Choose the correct order of the events?,3,0,0
30858,857,17,5221456,Choose the correct order of the events?,3,0,0
30981,980,17,525296,Choose the correct order of the events?,3,0,0
31004,1003,17,5258851,Choose the correct order of the events?,3,0,0
31052,1051,17,5272434,Choose the correct order of the events?,3,0,0
31436,1435,17,535671,Choose the correct order of the events?,2,0,0
31641,1640,17,5399522,Choose the correct order of the events?,3,1,0
31690,1689,17,5412224,Choose the correct order of the events?,2,3,0
32046,45,18,551126,Choose the correct order of the events?,3,2,0
33032,1031,18,5790217,Choose the correct order of the events?,0,0,1
33099,1098,18,5809084,Choose the correct order of the events?,1,2,0
33592,1591,18,59490,Choose the correct order of the events?,1,0,0
33865,1864,18,6008479,Choose the correct order of the events?,3,0,0
34128,127,19,61067,Choose the correct order of the events?,3,1,0
34239,238,19,615116,Choose the correct order of the events?,3,0,0
34362,361,19,619448,Choose the correct order of the events?,3,1,0
34379,378,19,620218,Choose the correct order of the events?,3,0,0
34654,653,19,6302384,Choose the correct order of the events?,3,0,0
35391,1390,19,6533964,Choose the correct order of the events?,1,1,1
35648,1647,19,6593,Choose the correct order of the events?,3,0,0
35701,1700,19,6608663,Choose the correct order of the events?,1,1,1
36631,630,20,684008,Choose the correct order of the events?,1,2,0
36642,641,20,684270,Choose the correct order of the events?,2,1,0
37768,1767,20,7114843,Choose the correct order of the events?,1,1,1
37769,1768,20,7115146,Choose the correct order of the events?,3,2,0
38048,47,21,7189,Choose the correct order of the events?,3,0,0
38668,667,21,734354,Choose the correct order of the events?,0,0,1
38825,824,21,739519,Choose the correct order of the events?,3,0,0
40366,365,22,7852176,Choose the correct order of the events?,0,0,1
40482,481,22,789436,Choose the correct order of the events?,3,0,0
40557,556,22,7920481,Choose the correct order of the events?,3,3,1
41354,1353,22,812107,Choose the correct order of the events?,1,0,0
41680,1679,22,819628,Choose the correct order of the events?,1,0,0
42285,284,23,829043,Choose the correct order of the events?,3,0,0
42760,759,23,835329,Choose the correct order of the events?,0,0,1
43714,1713,23,8503242,Choose the correct order of the events?,3,0,0
45160,1159,24,873579,Choose the correct order of the events?,3,1,0
48283,282,26,9419134,Choose the correct order of the events?,0,1,0
49977,1976,26,970059,Choose the correct order of the events?,3,0,0
