qid,gt_ans,pred_ans_blip,correctness_blip
0,Image [1],Image [0],0
1,Image [1],Image [0],0
2,Image [1],Image [0],0
3,Image [0],Image [0],1
4,Image [1],Image [0],0
5,Image [1],Image [0],0
6,Image [0],Image [0],1
7,Image [0],Image [0],1
8,Image [1],Image [0],0
9,Image [0],Image [0],1
10,Image [1],Image [0],0
11,Image [0],Image [1],0
12,Image [1],Image [0],0
13,Image [1],Image [0],0
14,Image [0],Image [0],1
15,Image [1],Image [1],1
16,Image [0],Image [0],1
17,Image [0],Image [0],1
18,Image [1],Image [0],0
19,Image [0],Image [0],1
20,Image [0],Image [0],1
21,Image [1],Image [0],0
22,Image [0],Image [0],1
23,Image [1],Image [0],0
24,Image [0],Image [0],1
25,Image [1],Image [1],1
26,Image [0],Image [0],1
27,Image [1],Image [0],0
28,Image [1],Image [1],1
29,Image [1],Image [1],1
30,Image [0],Image [0],1
31,Image [1],Image [0],0
32,Image [1],Image [0],0
33,Image [0],Image [0],1
34,Image [0],Image [1],0
35,Image [0],Image [0],1
36,Image [1],Image [0],0
37,Image [0],Image [0],1
38,Image [1],Image [0],0
39,Image [1],Image [0],0
40,Image [0],Image [0],1
41,Image [1],Image [0],0
42,Image [0],Image [0],1
43,Image [1],Image [0],0
44,Image [0],Image [0],1
45,Image [0],Image [0],1
46,Image [1],Image [1],1
47,Image [1],Image [0],0
48,Image [0],Image [0],1
49,Image [1],Image [0],0
50,Image [1],Image [0],0
51,Image [0],Image [1],0
52,Image [0],Image [0],1
53,Image [0],Image [0],1
54,Image [1],Image [0],0
55,Image [1],Image [0],0
56,Image [1],Image [0],0
57,Image [1],Image [1],1
58,Image [1],Image [1],1
59,Image [0],Image [0],1
60,Image [0],Image [0],1
61,Image [0],Image [0],1
62,Image [1],Image [0],0
63,Image [1],Image [0],0
64,Image [0],Image [0],1
65,Image [1],Image [0],0
66,Image [1],Image [0],0
67,Image [0],Image [0],1
68,Image [0],Image [0],1
69,Image [0],Image [0],1
70,Image [1],Image [0],0
71,Image [0],Image [0],1
72,Image [0],Image [0],1
73,Image [0],Image [0],1
74,Image [1],Image [0],0
75,Image [0],Image [1],0
76,Image [0],Image [0],1
77,Image [1],Image [0],0
78,Image [0],Image [0],1
79,Image [1],Image [0],0
80,Image [0],Image [0],1
81,Image [0],Image [0],1
82,Image [0],Image [0],1
83,Image [0],Image [0],1
84,Image [0],Image [1],0
85,Image [1],Image [1],1
86,Image [0],Image [1],0
87,Image [1],Image [1],1
88,Image [0],Image [1],0
89,Image [0],Image [0],1
90,Image [1],Image [0],0
91,Image [0],Image [0],1
92,Image [1],Image [1],1
93,Image [1],Image [0],0
94,Image [0],Image [0],1
95,Image [1],Image [0],0
96,Image [1],Image [0],0
97,Image [0],Image [0],1
98,Image [1],Image [0],0
99,Image [0],Image [0],1
100,Image [0],Image [0],1
101,Image [0],Image [0],1
102,Image [0],Image [0],1
103,Image [1],Image [1],1
104,Image [0],Image [0],1
105,Image [1],Image [0],0
106,Image [1],Image [1],1
107,Image [1],Image [0],0
108,Image [0],Image [0],1
109,Image [0],Image [0],1
110,Image [1],Image [1],1
111,Image [0],Image [0],1
112,Image [1],Image [1],1
113,Image [0],Image [0],1
114,Image [1],Image [0],0
115,Image [0],Image [0],1
116,Image [1],Image [0],0
117,Image [0],Image [0],1
118,Image [0],Image [0],1
119,Image [1],Image [0],0
120,Image [0],Image [0],1
121,Image [0],Image [0],1
122,Image [1],Image [0],0
123,Image [0],Image [0],1
124,Image [0],Image [1],0
125,Image [0],Image [0],1
126,Image [0],Image [0],1
127,Image [1],Image [0],0
128,Image [1],Image [1],1
129,Image [0],Image [1],0
130,Image [0],Image [0],1
131,Image [1],Image [0],0
132,Image [1],Image [0],0
133,Image [0],Image [0],1
134,Image [1],Image [0],0
135,Image [0],Image [0],1
136,Image [0],Image [0],1
137,Image [0],Image [0],1
138,Image [0],Image [0],1
139,Image [0],Image [0],1
140,Image [1],Image [0],0
141,Image [0],Image [0],1
142,Image [0],Image [0],1
143,Image [0],Image [0],1
144,Image [1],Image [0],0
145,Image [1],Image [0],0
146,Image [1],Image [0],0
147,Image [0],Image [0],1
148,Image [1],Image [0],0
149,Image [0],Image [1],0
150,Image [1],Image [0],0
151,Image [0],Image [0],1
152,Image [0],Image [0],1
153,Image [1],Image [0],0
154,Image [0],Image [0],1
155,Image [0],Image [0],1
156,Image [0],Image [1],0
157,Image [1],Image [1],1
158,Image [1],Image [1],1
159,Image [1],Image [1],1
160,Image [1],Image [0],0
161,Image [1],Image [0],0
162,Image [0],Image [1],0
163,Image [1],Image [0],0
164,Image [0],Image [0],1
165,Image [0],Image [0],1
166,Image [1],Image [0],0
167,Image [1],Image [0],0
168,Image [0],Image [0],1
169,Image [1],Image [0],0
170,Image [0],Image [0],1
171,Image [1],Image [1],1
172,Image [1],Image [0],0
173,Image [0],Image [1],0
174,Image [0],Image [0],1
175,Image [0],Image [0],1
176,Image [0],Image [0],1
177,Image [0],Image [1],0
178,Image [0],Image [0],1
179,Image [1],Image [0],0
180,Image [1],Image [1],1
181,Image [0],Image [1],0
182,Image [0],Image [0],1
183,Image [1],Image [0],0
184,Image [0],Image [0],1
185,Image [0],Image [0],1
186,Image [1],Image [0],0
187,Image [1],Image [0],0
188,Image [1],Image [0],0
189,True,True,1
190,False,True,0
191,False,True,0
192,True,True,1
193,False,True,0
194,True,True,1
195,False,True,0
196,True,True,1
197,False,True,0
198,True,True,1
199,True,True,1
200,False,True,0
