qid,pred_ans,gt_ans,correctness
0,3,0,0
1,0,3,0
2,3,1,0
3,1,2,0
4,3,0,0
5,3,2,0
6,3,2,0
7,3,3,1
8,3,2,0
9,3,0,0
10,0,3,0
11,0,0,1
12,3,0,0
13,3,0,0
14,1,0,0
15,3,1,0
16,3,3,1
17,3,0,0
18,3,3,1
19,3,1,0
20,3,2,0
21,0,0,1
22,1,1,1
23,3,2,0
24,3,3,1
25,0,2,0
26,3,3,1
27,3,1,0
28,1,3,0
29,3,3,1
30,0,3,0
31,3,1,0
32,1,1,1
33,3,2,0
34,3,3,1
35,3,3,1
36,0,3,0
37,3,0,0
38,0,2,0
39,1,0,0
40,1,2,0
41,0,1,0
42,0,3,0
43,3,1,0
44,1,1,1
45,1,3,0
46,1,0,0
47,3,2,0
48,3,3,1
49,3,2,0
50,3,3,1
