qid,gt_ans,pred_ans_blip,correctness_blip
0,Queens Park Rangers,Queens Park Rangers,1
1,Adam Kennedy,Adam Kennedy,1
2,0.301,401,0
3,The Herbalist's Manual,The Herbalist's Manual,1
4,bracelets,watches,0
5,2010âÃÃ¬11,2010âÃÃ¬11,1
6,Josh Smith,Josh Smith,1
7,Leigh Centurions,Hull FC,0
8,Tyrone Roberts,Tyrone Jones,0
9,17-Oct,17-Oct,1
10,yellow,yellow,1
11,train,train,1
12,Free transfer,Free transfer,1
13,belt,belt,1
14,yes,yes,1
15,baby,baby,1
16,Adele,Adele,1
17,Blind Auditions,Eliminations,0
18,"""Chandelier""","""Halo""",0
19,gold,gold,1
20,grey,grey,1
21,grey,pink,0
22,Britannia Stadium,Britannia Stadium,1
23,sunglasses,sunglasses,1
24,camera,camera,1
25,two,two,1
26,WCGA,WCFA,0
27,AmâÂ©rica,Chivas,0
28,1-Jul-17,1-Jul-17,1
29,Joe Davis,Joe Dent,0
30,Free transfer,Free transfer,1
31,Walt Disney Home Entertainment,Walt Disney Home Entertainment,1
32,Colonel,Colonel,1
33,Indian Army,Indian Army,1
34,1-Oct-05,1-Oct-05,1
35,16-Dec-04,17-Dec-04,0
36,car,car,1
37,New York Yankees,New York Yankees,1
38,"Moosic, Pennsylvania",Moosic,0
39,Coolray Field,Coolray Field,1
40,North,North,1
41,PNC Field,PNC Field,1
42,"10,000","10,000",1
43,Maj. Gen. Henry Heth,Dr. Henry Heth,0
44,4,4,1
45,4,4,1
46,Blackburn Rovers,Blackburn Rovers,1
47,AmâÂ©rica,Atlantis,0
48,drums,drums,1
49,Uncle,Parent,0
50,2011,2013,0
51,Juan Carlos,Juan Carlos,1
52,Kevin Harvick,Kevin Harvick,1
53,PâÂºha,PâÂºha,1
54,Lutheran,Catholic,0
55,six,six,1
56,2:32:28,2:32:28,1
57,bye,snake,0
58,Lokomotiv,Arsenal,0
59,putter,golfer,0
60,lightening,lightening,1
61,EV Zug,EV Zug,1
62,Kimmo Rintanen,Kimmo Rintanen,1
63,Mika MyllylÃ¤,the fully-bearded man,0
64,"2014, 2016, 2017","2015, 2016, 2017",0
65,cigarette,cigarette,1
66,cigarette,cigarette,1
67,Klaus Allofs,Klaus Allofs,1
68,railroad,railroad,1
69,Ret,Ret,1
70,Engine,Engine,1
71,red,red,1
72,one,one,1
73,one,two,0
74,Cologne,Cologne,1
75,1. FC Kââln,Hamburger SV,0
76,7-Aug,7-Sep,0
77,Wide receiver,Wide receiver,1
78,Buffalo Bills,Buffalo Bills,1
79,Filippo Inzaghi,Filippo Inzaghi,1
80,Mawella Lagoon Airport,Manulele Airport,0
81,Norah Jones,Rihanna,0
82,black,black,1
83,"""Chasing Pirates"" (Droogs Remix)","""Chasing Pirates"" (Droogs Remix)",1
84,Chasing Pirates remix EP,Chasing Pirates remix EP,1
85,71-72=143,71-74=145,0
86,69-70=139,69-70=140,0
87,16.985,985,0
88,no,no,1
89,Oklahoma!,Oklahoma!,1
90,no,no,1
91,2002,2001,0
92,tattoo,Tattoo,0
93,Ekaterina Makarova,Annie Priest,0
94,yellow,yellow,1
95,one,one,1
96,one,three,0
97,Titans,Titans,1
98,University of Evansville,University of Evansville,1
99,Ramblers,Lumberjacks,0
100,six,six,1
101,six,six,1
102,blue,blue,1
103,blue,blue,1
104,15085,15085,1
105,four,four,1
106,four,four,1
107,beach,beach,1
108,beach,beach,1
109,"Sebring, Florida","Charlotte, North Carolina",0
110,Sebring International Raceway,Sebring International Raceway,1
111,"Engelberg, Switzerland","Engelberg, Switzerland",1
112,mustache,mustache,1
113,2010,2011,0
114,stone,stone,1
115,Himself,Himself,1
116,2009,2009,1
117,motorcycle,motorcycle,1
118,Al-Rayyan,Al-Rayyan,1
119,baseball,baseball,1
120,Alameda,Alameda,1
121,Minardi-European,Lola-European,0
122,red,red,1
123,red,red,1
124,East Tennessee State University,University of Tennessee,0
125,East Tennessee State University,University of Chattanooga,0
126,Blue Raiders,Blue Raiders,1
127,Jack Gordon,Jack Gordon,1
128,Zellio Toppazzini,Rick Middleton,0
129,Cleveland Barons,Boston Bruins,0
130,blue,blue,1
131,2019,2019,1
132,"Story, screenplay and dialogues","Story, screenplay and dialogues",1
133,Haseen Dillruba,Haseen Dillruba,1
134,black,black,1
135,black,black,1
136,Molokai,Molokai,1
137,water,water,1
138,water,air,0
139,water,land,0
140,Pablo,Pablo,1
141,Italy,Italy,1
142,$54.7 billion,$54.7 million,0
143,gun,gun,1
144,gun,gun,1
145,gun,gun,1
