qid,pred_ans,gt_ans,correctness
0,0,0,1
1,0,1,0
2,0,0,1
3,0,1,0
4,0,1,0
5,0,0,1
6,0,0,1
7,0,1,0
8,0,1,0
9,0,0,1
10,0,1,0
11,0,0,1
12,0,0,1
13,0,1,0
14,0,1,0
15,0,1,0
16,0,0,1
17,0,0,1
18,0,0,1
19,0,0,1
20,0,0,1
21,0,0,1
22,0,0,1
23,0,1,0
24,0,1,0
25,0,1,0
26,0,1,0
27,0,0,1
28,0,1,0
29,0,0,1
30,0,1,0
31,0,1,0
32,0,0,1
33,0,1,0
34,0,1,0
35,0,1,0
36,0,1,0
37,0,0,1
38,0,0,1
39,0,1,0
40,0,1,0
41,0,0,1
42,0,1,0
43,0,0,1
44,0,0,1
45,0,0,1
46,0,0,1
47,0,0,1
48,0,0,1
49,0,1,0
50,0,0,1
51,0,1,0
52,0,0,1
53,0,1,0
54,0,0,1
55,0,0,1
56,0,0,1
57,0,0,1
58,0,1,0
59,0,1,0
60,0,1,0
61,0,0,1
62,0,1,0
63,0,0,1
64,0,0,1
65,0,1,0
66,0,0,1
67,0,0,1
68,0,0,1
69,0,0,1
70,0,1,0
71,0,0,1
72,0,1,0
73,0,0,1
74,0,1,0
75,0,0,1
76,0,0,1
77,0,0,1
78,0,0,1
79,0,0,1
80,0,1,0
81,0,1,0
82,0,0,1
83,0,1,0
84,0,0,1
85,0,1,0
86,0,0,1
87,0,0,1
88,0,0,1
89,0,0,1
90,0,1,0
91,0,1,0
92,0,1,0
93,0,1,0
94,0,0,1
95,0,1,0
96,0,0,1
97,0,1,0
98,0,0,1
99,0,0,1
100,0,0,1
101,0,1,0
102,0,1,0
103,0,0,1
104,0,1,0
105,0,0,1
106,0,1,0
107,0,1,0
108,0,1,0
109,0,1,0
110,0,0,1
111,0,0,1
112,0,1,0
113,0,0,1
114,0,1,0
115,0,0,1
116,0,0,1
117,0,1,0
118,0,1,0
119,0,1,0
120,0,1,0
121,0,0,1
122,0,1,0
123,0,0,1
124,0,1,0
125,0,1,0
126,0,1,0
127,0,1,0
128,0,0,1
129,0,0,1
130,0,1,0
131,0,0,1
132,0,0,1
133,0,1,0
134,0,0,1
135,0,0,1
136,0,1,0
137,0,1,0
138,0,0,1
139,0,0,1
140,0,0,1
141,0,1,0
142,0,0,1
143,0,0,1
144,0,0,1
145,0,0,1
146,0,0,1
147,0,0,1
148,0,0,1
149,0,1,0
150,0,0,1
151,0,0,1
152,0,1,0
153,0,0,1
154,0,1,0
155,0,0,1
156,0,0,1
157,0,0,1
158,0,0,1
159,0,1,0
160,0,1,0
161,0,1,0
162,0,0,1
163,0,1,0
164,0,0,1
165,0,0,1
166,0,1,0
167,0,1,0
168,0,1,0
169,0,1,0
170,0,1,0
171,0,0,1
172,0,0,1
173,0,1,0
174,0,1,0
175,0,0,1
176,0,1,0
177,0,0,1
178,0,0,1
179,0,1,0
180,0,1,0
181,0,0,1
182,0,0,1
183,0,1,0
184,0,0,1
185,0,0,1
186,0,0,1
187,0,1,0
188,0,0,1
189,0,0,1
190,0,1,0
191,0,0,1
192,0,1,0
193,0,1,0
194,0,0,1
195,0,1,0
196,0,1,0
197,0,1,0
198,0,0,1
199,0,1,0
200,0,0,1
201,0,0,1
202,0,0,1
203,0,0,1
204,0,0,1
205,0,1,0
206,0,1,0
207,0,0,1
208,0,1,0
209,0,1,0
210,0,1,0
211,0,0,1
212,0,0,1
213,0,1,0
214,0,1,0
215,0,1,0
216,0,1,0
217,0,0,1
218,0,0,1
219,0,1,0
220,0,1,0
221,0,1,0
222,0,0,1
223,0,0,1
224,0,1,0
225,0,0,1
226,0,1,0
227,0,1,0
228,0,1,0
229,0,0,1
230,0,0,1
231,0,1,0
232,0,1,0
233,0,1,0
234,0,0,1
235,0,0,1
236,0,0,1
237,0,0,1
238,0,1,0
239,0,0,1
240,0,1,0
241,0,1,0
242,0,1,0
243,0,1,0
244,0,0,1
245,0,0,1
246,0,0,1
247,0,1,0
248,0,0,1
249,0,0,1
250,0,0,1
