qid,gt_ans,pred_ans_blip,correctness_blip
0,"[0, 5, 4, 2, 1, 3]","[0, 5, 4, 2, 1, 3]",1
1,"[0, 1, 2, 3]","[0, 1, 2, 3]",1
2,"[1, 5, 9, 0, 4, 6, 8, 2, 3, 7]","[1, 5, 9, 0, 4, 6, 8, 2, 3, 7]",1
3,"[4, 1, 3, 2, 0]","[1, 2, 0, 4, 3]",0
4,"[3, 0, 1, 5, 6, 2, 7, 4]","[1, 2, 5, 0, 4, 3, 7, 6]",0
5,"[5, 3, 4, 2, 0, 1]","[3, 5, 0, 2, 4, 1]",0
6,"[3, 2, 0, 1]","[0, 2, 3, 1]",0
7,"[0, 2, 1, 3]","[1, 0, 3, 2]",0
8,"[0, 2, 1, 3]","[1, 2, 0, 3]",0
9,"[6, 0, 2, 1, 5, 4, 3]","[0, 2, 3, 1, 4, 5, 6]",0
10,"[1, 5, 4, 2, 3, 0]","[1, 5, 4, 2, 3, 0]",1
11,"[5, 4, 1, 0, 3, 2]","[1, 0, 5, 3, 4, 2]",0
12,"[1, 0, 2]","[2, 1, 0]",0
13,"[0, 1, 5, 9, 10, 4, 8, 2, 7, 6, 3]","[2, 1, 3, 0, 9, 7, 5, 6, 10, 4, 8]",0
14,"[0, 3, 0, 2]","[0, 3, 2, 0]",0
15,"[5, 0, 2, 4, 1, 3]","[5, 0, 2, 4, 1, 3]",1
16,"[1, 2, 3, 0]","[1, 2, 3, 0]",1
17,"[1, 0, 2, 3]","[1, 0, 2, 3]",1
18,"[0, 1, 3, 2]","[0, 1, 3, 2]",1
19,"[2, 1, 4, 0, 6, 3, 5]","[4, 5, 0, 1, 2, 3, 6]",0
20,"[2, 1, 0, 3]","[0, 3, 1, 2]",0
21,"[1, 0, 5, 3, 2, 4]","[1, 2, 0, 4, 3, 5]",0
22,"[2, 4, 0, 3, 1]","[0, 3, 2, 4, 1]",0
23,"[2, 1, 0]","[0, 1, 2]",0
24,"[1, 3, 2, 4, 0]","[2, 1, 4, 3, 0]",0
25,"[3, 0, 1, 4, 5, 2]","[2, 0, 5, 4, 3, 1]",0
26,"[3, 0, 1, 2]","[0, 1, 2, 3]",0
27,"[3, 1, 4, 0, 2]","[1, 0, 3, 2, 4]",0
28,"[0, 2, 3, 1]","[0, 2, 3, 1]",1
29,"[3, 1, 2, 4, 0]","[0, 3, 2, 4, 1]",0
30,"[2, 1, 0]","[2, 1, 0]",1
31,"[6, 0, 5, 2, 3, 4, 1]","[0, 5, 3, 1, 2, 4, 6]",0
32,"[2, 4, 3, 5, 1, 0]","[1, 0, 5, 4, 2, 3]",0
33,"[5, 2, 6, 3, 0, 1, 4]","[0, 3, 2, 6, 1, 4, 5]",0
34,"[2, 0, 3, 1, 4]","[0, 3, 4, 1, 2]",0
35,"[2, 1, 0]","[0, 2, 1]",0
36,"[2, 3, 0, 5, 4, 1]","[2, 3, 0, 5, 4, 1]",1
37,"[2, 0, 4, 1, 3]","[2, 0, 3, 4, 1]",0
38,"[0, 1, 3, 4, 2, 5]","[0, 1, 3, 4, 2, 5]",1
39,"[2, 3, 1, 0]","[0, 3, 2, 1]",0
40,"[3, 2, 1, 0]","[2, 3, 0, 1]",0
41,"[0, 2, 1]","[0, 2, 1]",1
42,"[3, 0, 1, 2]","[0, 2, 1, 3]",0
43,"[0, 3, 2, 1]","[1, 2, 3, 0]",0
44,"[3, 2, 1, 0]","[0, 1, 3, 2]",0
45,"[4, 2, 0, 3, 1]","[3, 0, 2, 1, 4]",0
46,"[3, 0, 4, 1, 2, 5]","[1, 0, 5, 2, 3, 4]",0
47,"[1, 2, 3, 0]","[1, 2, 3, 0]",1
48,"[2, 4, 3, 0, 1]","[0, 4, 1, 2, 3]",0
49,"[2, 3, 4, 0, 1]","[2, 3, 4, 0, 1]",1
50,"[3, 5, 4, 1, 2, 0]","[3, 5, 4, 1, 2, 0]",1
51,"[1, 0, 2, 3]","[1, 0, 2, 3]",1
52,"[3, 0, 2, 1]","[0, 1, 2, 3]",0
53,"[3, 1, 0, 2]","[1, 2, 3, 0]",0
54,"[4, 0, 3, 1, 2]","[4, 0, 3, 1, 2]",1
55,"[0, 2, 1, 4, 3]","[0, 2, 1, 4, 3]",1
56,"[3, 1, 4, 5, 2, 0]","[2, 0, 3, 4, 1, 5]",0
57,"[2, 1, 0, 3]","[0, 1, 3, 2]",0
58,"[1, 0, 3, 4, 2]","[1, 0, 3, 4, 2]",1
59,"[0, 1, 2]","[0, 1, 2]",1
60,"[2, 1, 4, 0, 3]","[2, 1, 4, 0, 3]",1
61,"[0, 1]","[0, 1]",1
62,"[4, 3, 1, 5, 0, 2]","[1, 2, 5, 3, 4, 0]",0
63,"[2, 1, 0]","[0, 1, 2]",0
64,"[1, 2, 0]","[1, 2, 0]",1
65,"[2, 1, 0]","[0, 1, 2]",0
