index,qid,question,origanswer,generatedanswer,generatedanswers
0,0,"Question: 
Answer Choices are: 
a. 1
b. 5
c. 2
d. 3
How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",a,d. 3,['d. 3']
1,1,"Question: 
Answer Choices are: 
a. 4
b. 5
c. 2
d. 1
How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",d,d. 1,['d. 1']
2,2,"Question: 
Answer Choices are: 
a. 1
b. 3
c. 7
d. 2
How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",a,d. 2,['d. 2']
3,3,"Question: 
Answer Choices are: 
a. 1
b. 5
c. 2
d. 7
How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",a,d. 7,['d. 7']
4,4,"Question: 
Answer Choices are: 
a. 1
b. 7
c. 0
d. 3
How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",a,d. 3,['d. 3']
5,5,"Question: 
Answer Choices are: 
a. 1
b. 0
c. 2
d. 7
How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",a,a. 1,['a. 1']
6,6,"Question: 
Answer Choices are: 
a. 1
b. 3
c. 7
d. 4
How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",a,c. 7,['c. 7']
7,7,"Question: 
Answer Choices are: 
a. 3
b. 4
c. 1
d. 6
How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",c,d,['d']
8,8,"Question: 
Answer Choices are: 
a. 4
b. 7
c. 6
d. 1
How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",d,d. 1,['d. 1']
9,9,"Question: 
Answer Choices are: 
a. 5
b. 6
c. 2
d. 1
How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",d,d. 1,['d. 1']
10,10,"Question: 
Answer Choices are: 
a. 2
b. 4
c. 0
d. 5
How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",a,c. 0,['c. 0']
11,11,"Question: 
Answer Choices are: 
a. 4
b. 7
c. 2
d. 5
How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",c,d. 5,['d. 5']
12,12,"Question: 
Answer Choices are: 
a. 5
b. 6
c. 1
d. 2
How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",d,d. 2,['d. 2']
13,13,"Question: 
Answer Choices are: 
a. 1
b. 2
c. 6
d. 3
How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",b,c. 6,['c. 6']
14,14,"Question: 
Answer Choices are: 
a. 4
b. 2
c. 3
d. 5
How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",b,c. 3,['c. 3']
15,15,"Question: 
Answer Choices are: 
a. 6
b. 2
c. 0
d. 3
How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",b,c. 0,['c. 0']
16,16,"Question: 
Answer Choices are: 
a. 4
b. 5
c. 2
d. 1
How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",c,d. 1,['d. 1']
17,17,"Question: 
Answer Choices are: 
a. 2
b. 3
c. 4
d. 6
How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",a,c. 4 moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1].,['c. 4 moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1].']
18,18,"Question: 
Answer Choices are: 
a. 0
b. 4
c. 2
d. 3
How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",c,d. 3,['d. 3']
19,19,"Question: 
Answer Choices are: 
a. 0
b. 6
c. 3
d. 2
How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",d,d. 2,['d. 2']
20,20,"Question: 
Answer Choices are: 
a. 5
b. 3
c. 0
d. 7
How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",b,d. 7,['d. 7']
21,21,"Question: 
Answer Choices are: 
a. 3
b. 7
c. 6
d. 0
How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",a,c. 6,['c. 6']
22,22,"Question: 
Answer Choices are: 
a. 3
b. 6
c. 7
d. 5
How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",a,d. 5,['d. 5']
23,23,"Question: 
Answer Choices are: 
a. 0
b. 1
c. 5
d. 3
How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",d,a. 0,['a. 0']
24,24,"Question: 
Answer Choices are: 
a. 6
b. 2
c. 3
d. 0
How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",c,d. 0,['d. 0']
25,25,"Question: 
Answer Choices are: 
a. 4
b. 6
c. 3
d. 2
How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",c,d. 2,['d. 2']
26,26,"Question: 
Answer Choices are: 
a. 7
b. 3
c. 4
d. 5
How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",b,d. 5,['d. 5']
27,27,"Question: 
Answer Choices are: 
a. 5
b. 6
c. 0
d. 3
How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",d,d. 3,['d. 3']
28,28,"Question: 
Answer Choices are: 
a. 7
b. 2
c. 6
d. 3
How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",d,d. 3,['d. 3']
29,29,"Question: 
Answer Choices are: 
a. 6
b. 4
c. 3
d. 5
How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",c,(c) 3,['(c) 3']
30,30,"Question: 
Answer Choices are: 
a. 4
b. 2
c. 5
d. 0
How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",a,d. Zero moves are required since the two images are already the same.,['d. Zero moves are required since the two images are already the same.']
31,31,"Question: 
Answer Choices are: 
a. 7
b. 0
c. 1
d. 4
How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",d,d. 4,['d. 4']
32,32,"Question: 
Answer Choices are: 
a. 7
b. 0
c. 4
d. 1
How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",c,b. 0,['b. 0']
33,33,"Question: 
Answer Choices are: 
a. 4
b. 3
c. 6
d. 7
How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",a,c. 6,['c. 6']
34,34,"Question: 
Answer Choices are: 
a. 7
b. 4
c. 6
d. 0
How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",b,d. 0,['d. 0']
35,35,"Question: 
Answer Choices are: 
a. 4
b. 3
c. 0
d. 5
How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",a,c. 0,['c. 0']
36,36,"Question: 
Answer Choices are: 
a. 1
b. 5
c. 4
d. 7
How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",c,d. 7,['d. 7']
37,37,"Question: 
Answer Choices are: 
a. 4
b. 5
c. 1
d. 7
How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",a,b. 5,['b. 5']
38,38,"Question: 
Answer Choices are: 
a. 7
b. 0
c. 1
d. 4
How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",d,d. 4,['d. 4']
39,39,"Question: 
Answer Choices are: 
a. 3
b. 4
c. 0
d. 5
How many moves are required at minimum if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",b,c. 0,['c. 0']
40,40,"Question: 
Answer Choices are: 
a. 3
b. 1
c. 2
d. 0
How many times the Green block is moved if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",b,d. 0,['d. 0']
41,41,"Question: 
Answer Choices are: 
a. 0
b. 2
c. 1
d. 3
How many times the Purple block is moved if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",c,d. 3,['d. 3']
42,42,"Question: 
Answer Choices are: 
a. 3
b. 2
c. 1
d. 0
How many times the Orange block is moved if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",c,d. 0,['d. 0']
43,43,"Question: 
Answer Choices are: 
a. 3
b. 2
c. 0
d. 1
How many times the Purple block is moved if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",d,d. 1,['d. 1']
44,44,"Question: 
Answer Choices are: 
a. 1
b. 0
c. 3
d. 2
How many times the Yellow block is moved if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",a,d. 2,['d. 2']
45,45,"Question: 
Answer Choices are: 
a. 2
b. 0
c. 1
d. 3
How many times the Orange block is moved if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",c,d. 3,['d. 3']
46,46,"Question: 
Answer Choices are: 
a. 2
b. 3
c. 1
d. 0
How many times the Purple block is moved if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",c,d. 0,['d. 0']
47,47,"Question: 
Answer Choices are: 
a. 0
b. 1
c. 2
d. 3
How many times the Blue block is moved if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",b,d. 3,['d. 3']
48,48,"Question: 
Answer Choices are: 
a. 3
b. 2
c. 1
d. 0
How many times the Yellow block is moved if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",c,d. 0,['d. 0']
49,49,"Question: 
Answer Choices are: 
a. 0
b. 1
c. 3
d. 2
How many times the Yellow block is moved if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",b,d. 2,['d. 2']
50,50,"Question: 
Answer Choices are: 
a. 2
b. 3
c. 1
d. 0
How many times the Yellow block is moved if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",c,d. 0,['d. 0']
51,51,"Question: 
Answer Choices are: 
a. 0
b. 2
c. 3
d. 1
How many times the Blue block is moved if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",d,d. 1,['d. 1']
52,52,"Question: 
Answer Choices are: 
a. 2
b. 1
c. 0
d. 3
How many times the Blue block is moved if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",b,d. 3,['d. 3']
53,53,"Question: 
Answer Choices are: 
a. 3
b. 0
c. 1
d. 2
How many times the Yellow block is moved if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",c,d. 2,['d. 2']
54,54,"Question: 
Answer Choices are: 
a. 1
b. 0
c. 3
d. 2
How many times the Yellow block is moved if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",a,b. 0,['b. 0']
55,55,"Question: 
Answer Choices are: 
a. 2
b. 0
c. 3
d. 1
How many times the Purple block is moved if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",d,d. 1,['d. 1']
56,56,"Question: 
Answer Choices are: 
a. 1
b. 0
c. 2
d. 3
How many times the Purple block is moved if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",a,b. 0,['b. 0']
57,57,"Question: 
Answer Choices are: 
a. 2
b. 0
c. 3
d. 1
How many times the Yellow block is moved if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",d,d. 1,['d. 1']
58,58,"Question: 
Answer Choices are: 
a. 1
b. 0
c. 2
d. 3
How many times the Purple block is moved if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",a,c. 2,['c. 2']
59,59,"Question: 
Answer Choices are: 
a. 2
b. 0
c. 1
d. 3
How many times the Orange block is moved if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",c,d. 3,['d. 3']
60,60,"Question: 
Answer Choices are: 
a. 2
b. 3
c. 1
d. 0
How many times the Purple block is moved if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",c,d. 0,['d. 0']
61,61,"Question: 
Answer Choices are: 
a. 1
b. 3
c. 0
d. 2
How many times the Purple block is moved if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",a,d. 2,['d. 2']
62,62,"Question: 
Answer Choices are: 
a. 2
b. 3
c. 0
d. 1
How many times the Blue block is moved if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",d,d. 1,['d. 1']
63,63,"Question: 
Answer Choices are: 
a. 1
b. 0
c. 3
d. 2
How many times the Orange block is moved if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",a,d. 2,['d. 2']
64,64,"Question: 
Answer Choices are: 
a. 0
b. 1
c. 3
d. 2
How many times the Red block is moved if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",b,b. 1,['b. 1']
65,65,"Question: 
Answer Choices are: 
a. 3
b. 1
c. 2
d. 0
How many times the Blue block is moved if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",c,d. 0,['d. 0']
66,66,"Question: 
Answer Choices are: 
a. 1
b. 3
c. 0
d. 2
How many times the Green block is moved if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",a,d. 2,['d. 2']
67,67,"Question: 
Answer Choices are: 
a. 3
b. 2
c. 0
d. 1
How many times the Blue block is moved if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",d,d.1,['d.1']
68,68,"Question: 
Answer Choices are: 
a. 1
b. 0
c. 3
d. 2
How many times the Green block is moved if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",a,d. 2,['d. 2']
69,69,"Question: 
Answer Choices are: 
a. 3
b. 1
c. 2
d. 0
How many times the Yellow block is moved if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",b,d. 0,['d. 0']
70,70,"Question: 
Answer Choices are: 
a. 0
b. 3
c. 2
d. 1
How many times the Yellow block is moved if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",d,b. 3,['b. 3']
71,71,"Question: 
Answer Choices are: 
a. 3
b. 1
c. 0
d. 2
How many times the Red block is moved if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",d,b. 1,['b. 1']
72,72,"Question: 
Answer Choices are: 
a. 3
b. 1
c. 0
d. 2
How many times the Orange block is moved if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",b,d. 2,['d. 2']
73,73,"Question: 
Answer Choices are: 
a. 0
b. 1
c. 3
d. 2
How many times the Orange block is moved if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",b,d. 2,['d. 2']
74,74,"Question: 
Answer Choices are: 
a. 3
b. 1
c. 0
d. 2
How many times the Red block is moved if configuration in image [0] is to be transformed into configuration in image [1]?
Specify the correct answer by choosing one of a,b,c, or d: 
",b,d. 2,['d. 2']
