index,qid,question,origanswer,generatedanswer,correctness
0,8d074ad059e688e64daf4839a8c08c3c,"Between the Queens Park Rangers or the team whose logo has a rose with leaves, which has higher points in the 1999-2000 Barnsley F.C. Season final league table?",1,0,0
1,d92cd97194a6e278981f7fdcad48d5d7,"Did Adam Kennedy or the player with a red stripe on his pants, red logo on his shirt, and a blue helmet have a lower RBI in the Anaheim Angels' 2004 season?",0,0,1
2,c91e6bfe4afa98250c56141b10c2d715,What batting average did the player with red stripe on uniform pants and red logo on shirt and blue helmet have in 2004 Anaheim Angels season?,1,1,1
3,1d1e7c5c0748b2449c64f01d224c364d,Which Drama featuring songs all about men has a lower number:  The drama with a poster featuring exactly one person or Lethal Weapons of Love and Passion?,0,1,0
4,f7086e132a9959dc4393fd0624abb092,What is the D. Fox artist of the song My Love wearing around her wrists?,0,1,0
5,94566ff1602cdb63bff455ed9700e375,In the academic years when San Sebastian College-Recoletos hosted the Fourth Expansion of NCAA General Championship which academic year had a logo with a basketball on it?,0,1,0
6,28c939666b2450c7887d3fbc06f66bba,What player from a team with a bird on the logo played in the Rising Star Challenge in 2005?,1,1,1
7,d77a4a6e678f2c55ebabb634b6c8fcbc,The player who transferred to the Warrington Wolves in the 2018 season was signed from which team that features big horizontal stripes on the jersey?,1,1,1
8,ee309a646a1661b94e768bda4e901cf4,What player was transferred from the team that has crossed swords on its logo to the Warrington Wolves in the 2018 season?,0,0,1
9,e090b8d1cca0a7cbeceb4f18cfe43ef8,When did the Warrington Wolves announce the transfer who was signed from the team with crossed swords on its logo for the 2018 season?,0,0,1
10,ebd3441ba69a12ea56fc8c40e5a1d712,The San Francisco FIRST Power Up Week 3 location has what color flowers in foreground of bridge?,1,0,0
11,4b66b82b20d3ae85b4104b56aad4aeee,"In the upper right photo of the city that was the location of the Greater Kansas City event in week 3 of the FIRST Power Up, what mode of transportation is seen?",0,1,0
12,530d9663f1e5687d2e016a5fcdf0c93b,"When looking at the players who transferred into Blackpool F.C. during the 2016-17 season, what fee is listed for the athlete who came from a team with a ship logo?",0,0,1
13,8d218eb970ded772145bc4b3c20457f3,"For the event in the Arab Athletics Championships for women, when the athlete was Rawan Ayman Barakat in the event, what was the man wearing around his waist?",1,1,1
14,4642ff2ffbdb35f0f4c29ce0a51fd703,Does Ford Motor Company 1980 Michigan headquarters building exceed 5 stories?,1,0,0
15,30c3f3920ce666c2407bcf72a897d2dc,"The fortune 500 company based in Fremont, Michigan in 1980 has what living thing on its logo?",0,1,0
16,f236950754792502b50158750553cc45,"Was Adele or the Original Artist that has blonde hair, the one with higher order in The Voice career (2015) of Jordan Smith (musician)?",1,0,0
17,3d0bdd6f05065043bee2ed380e9c5423,"When looking at the career of musician Jordan Smith, and specifically, his time on ""The Voice"" in 2015, at what stage did he perform a song originally by a blonde-haired artist?",1,1,1
18,461f6b84f0a7e17b878a3fe39545c8ea,The original artist with blonde hair who is included in Jordan Smith's career on The Voice in 2015 is associated with what song?,0,0,1
19,ce948e3aad8b8ab11bb9027269952eb0,Track no. 17 on the She's All That sountrack is performed by this person with what color teeth?,1,1,1
20,4ad5e21f392a4508bf6c9141c09c7eca,"The musician who performed at PNC Park, making $4,627,472, has what color hair?",0,0,1
