qid,pred_ans,gt_ans,correctness
0,1,1,1
1,1,1,1
2,1,1,1
3,1,0,0
4,1,1,1
5,1,1,1
6,1,0,0
7,1,0,0
8,1,1,1
9,1,0,0
10,1,1,1
11,1,0,0
12,1,1,1
13,1,1,1
14,1,0,0
15,1,1,1
16,1,0,0
17,1,0,0
18,1,1,1
19,1,0,0
20,1,0,0
21,1,1,1
22,1,0,0
23,1,1,1
24,1,0,0
25,1,1,1
26,1,0,0
27,1,1,1
28,1,1,1
29,1,1,1
30,1,0,0
31,1,1,1
32,1,1,1
33,1,0,0
34,1,0,0
35,1,0,0
36,1,1,1
37,1,0,0
38,1,1,1
39,1,1,1
40,1,0,0
41,1,1,1
42,1,0,0
43,1,1,1
44,1,0,0
45,1,0,0
46,1,1,1
47,1,1,1
48,1,0,0
49,1,1,1
50,1,1,1
51,1,0,0
52,1,0,0
53,1,0,0
54,1,1,1
55,1,1,1
56,1,1,1
57,1,1,1
58,1,1,1
59,1,0,0
60,1,0,0
61,1,0,0
62,1,1,1
63,1,1,1
64,1,0,0
65,1,1,1
66,1,1,1
67,1,0,0
68,1,0,0
69,1,0,0
70,1,1,1
71,1,0,0
72,1,0,0
73,1,0,0
74,1,1,1
75,1,0,0
76,1,0,0
77,1,1,1
78,1,0,0
79,1,1,1
80,1,0,0
81,1,0,0
82,1,0,0
83,1,0,0
84,1,0,0
85,1,1,1
86,1,0,0
87,1,1,1
88,1,0,0
89,1,0,0
90,1,1,1
91,1,0,0
92,1,1,1
93,1,1,1
94,1,0,0
95,1,1,1
96,1,1,1
97,1,0,0
98,1,1,1
99,1,0,0
100,1,0,0
101,1,0,0
102,1,0,0
103,1,1,1
104,1,0,0
105,1,1,1
106,1,1,1
107,1,1,1
108,1,0,0
109,1,0,0
110,1,1,1
111,1,0,0
112,1,1,1
113,1,0,0
114,1,1,1
115,1,0,0
116,1,1,1
117,1,0,0
118,1,0,0
119,1,1,1
120,1,0,0
121,1,0,0
122,1,1,1
123,1,0,0
124,1,0,0
125,1,0,0
126,1,0,0
127,1,1,1
128,1,1,1
129,1,0,0
130,1,0,0
131,1,1,1
132,1,1,1
133,1,0,0
134,1,1,1
135,1,0,0
136,1,0,0
137,1,0,0
138,1,0,0
139,1,0,0
140,1,1,1
141,1,0,0
142,1,0,0
143,1,0,0
144,1,1,1
145,1,1,1
146,1,1,1
147,1,0,0
148,1,1,1
149,1,0,0
150,1,1,1
151,1,0,0
152,1,0,0
153,1,1,1
154,1,0,0
155,1,0,0
156,1,0,0
157,1,1,1
158,1,1,1
159,1,1,1
160,1,1,1
161,1,1,1
162,1,0,0
163,1,1,1
164,1,0,0
165,1,0,0
166,1,1,1
167,1,1,1
168,1,0,0
169,1,1,1
170,1,0,0
171,1,1,1
172,1,1,1
173,1,0,0
174,1,0,0
175,1,0,0
176,1,0,0
177,1,0,0
178,1,0,0
179,1,1,1
180,1,1,1
181,1,0,0
182,1,0,0
183,1,1,1
184,1,0,0
185,1,0,0
186,1,1,1
187,1,1,1
188,1,1,1
189,1,1,1
190,1,0,0
191,1,0,0
192,1,1,1
193,1,0,0
194,1,1,1
195,1,0,0
196,1,1,1
197,1,0,0
198,1,1,1
199,1,1,1
200,1,0,0
201,1,0,0
202,1,1,1
203,1,0,0
204,1,1,1
205,1,1,1
206,1,0,0
207,1,1,1
208,1,0,0
209,1,0,0
210,1,1,1
211,1,0,0
212,1,1,1
213,1,1,1
214,1,0,0
215,1,1,1
216,1,0,0
217,1,0,0
218,1,1,1
219,1,0,0
220,1,1,1
221,1,0,0
222,1,1,1
223,1,0,0
224,1,1,1
225,1,1,1
226,1,0,0
227,1,0,0
228,1,1,1
229,1,0,0
230,1,1,1
231,1,0,0
232,1,1,1
233,1,1,1
234,1,0,0
235,1,1,1
236,1,0,0
237,1,0,0
238,1,1,1
239,1,0,0
240,1,1,1
241,1,1,1
242,1,0,0
243,1,1,1
244,1,0,0
245,1,1,1
246,1,0,0
247,1,0,0
248,1,1,1
249,1,1,1
250,1,0,0
251,1,0,0
252,1,1,1
253,1,0,0
254,1,1,1
255,1,0,0
256,1,1,1
257,1,0,0
258,1,1,1
259,1,0,0
260,1,1,1
261,1,0,0
262,1,0,0
263,1,1,1
264,1,0,0
265,1,1,1
266,1,1,1
267,1,0,0
268,1,1,1
269,1,0,0
270,1,1,1
271,1,0,0
272,1,1,1
273,1,0,0
274,1,0,0
275,1,1,1
276,1,1,1
277,1,0,0
278,1,1,1
279,1,1,1
280,1,0,0
281,1,0,0
282,1,1,1
283,1,0,0
284,1,1,1
285,1,0,0
286,1,1,1
287,1,1,1
288,1,0,0
289,1,1,1
290,1,0,0
291,1,0,0
292,1,1,1
293,1,1,1
294,1,0,0
295,1,1,1
296,1,1,1
297,1,0,0
298,1,0,0
299,1,0,0
300,1,1,1
301,1,0,0
302,1,1,1
303,1,0,0
304,1,1,1
305,1,1,1
306,1,0,0
307,1,0,0
308,1,1,1
309,1,1,1
310,1,0,0
311,1,0,0
312,1,1,1
313,1,0,0
314,1,1,1
315,1,1,1
316,1,0,0
317,1,0,0
318,1,1,1
319,1,1,1
320,1,0,0
321,1,0,0
322,1,1,1
323,1,1,1
324,1,0,0
325,1,0,0
326,1,1,1
327,1,0,0
328,1,1,1
329,1,1,1
330,1,0,0
331,1,0,0
332,1,1,1
333,1,1,1
334,1,0,0
335,1,0,0
336,1,1,1
337,1,0,0
338,1,1,1
339,1,1,1
340,1,0,0
341,1,1,1
342,1,0,0
343,1,1,1
344,1,0,0
345,1,0,0
346,1,1,1
347,1,0,0
348,1,1,1
349,1,0,0
350,1,1,1
351,1,0,0
352,1,0,0
353,1,1,1
354,1,1,1
355,1,1,1
356,1,0,0
357,1,1,1
358,1,0,0
359,1,0,0
360,1,1,1
361,1,1,1
362,1,0,0
363,1,1,1
364,1,0,0
365,1,0,0
366,1,1,1
367,1,1,1
368,1,0,0
369,1,0,0
370,1,1,1
371,1,1,1
372,1,1,1
373,1,0,0
374,1,0,0
375,1,0,0
376,1,1,1
377,1,0,0
378,1,1,1
379,1,1,1
380,1,0,0
381,1,1,1
382,1,0,0
383,1,0,0
384,1,1,1
385,1,0,0
386,1,1,1
387,1,0,0
388,1,1,1
389,1,0,0
390,1,1,1
391,1,1,1
392,1,0,0
393,1,0,0
394,1,1,1
395,1,0,0
396,1,1,1
397,1,1,1
398,1,0,0
399,1,0,0
400,1,1,1
401,1,1,1
402,1,0,0
403,1,0,0
404,1,1,1
405,1,1,1
406,1,0,0
407,1,0,0
408,1,1,1
409,1,0,0
410,1,1,1
411,1,1,1
412,1,0,0
413,1,1,1
414,1,0,0
415,1,1,1
416,1,0,0
417,1,0,0
418,1,0,0
419,1,1,1
420,1,1,1
421,1,1,1
422,1,1,1
423,1,0,0
424,1,0,0
425,1,1,1
426,1,1,1
427,1,0,0
428,1,1,1
429,1,0,0
430,1,1,1
431,1,1,1
432,1,0,0
433,1,0,0
434,1,0,0
435,1,1,1
436,1,0,0
437,1,1,1
438,1,0,0
439,1,1,1
440,1,0,0
441,1,1,1
442,1,0,0
443,1,1,1
444,1,1,1
445,1,0,0
446,1,0,0
447,1,1,1
448,1,1,1
449,1,0,0
450,1,1,1
451,1,0,0
452,1,0,0
453,1,1,1
454,1,1,1
455,1,0,0
456,1,0,0
457,1,1,1
458,1,0,0
459,1,1,1
460,1,0,0
461,1,1,1
462,1,1,1
463,1,0,0
464,1,1,1
465,1,0,0
466,1,1,1
467,1,0,0
468,1,1,1
469,1,0,0
470,1,0,0
471,1,1,1
472,1,0,0
473,1,1,1
474,1,1,1
475,1,0,0
476,1,1,1
477,1,0,0
478,1,1,1
479,1,1,1
480,1,0,0
481,1,0,0
482,1,1,1
483,1,0,0
484,1,1,1
485,1,0,0
486,1,1,1
487,1,0,0
488,1,0,0
489,1,1,1
490,1,1,1
491,1,0,0
492,1,1,1
493,1,0,0
494,1,1,1
495,1,0,0
496,1,0,0
497,1,1,1
498,1,0,0
499,1,1,1
500,1,0,0
501,1,1,1
502,1,1,1
503,1,0,0
504,1,0,0
505,1,1,1
506,1,0,0
507,1,1,1
508,1,0,0
509,1,1,1
510,1,0,0
511,1,1,1
512,1,1,1
513,1,1,1
514,1,0,0
515,1,1,1
516,1,0,0
517,1,0,0
518,1,0,0
519,1,1,1
520,1,0,0
521,1,1,1
522,1,1,1
523,1,1,1
524,1,0,0
525,1,0,0
526,1,0,0
527,1,1,1
528,1,0,0
529,1,1,1
530,1,1,1
531,1,0,0
532,1,1,1
533,1,0,0
534,1,0,0
535,1,1,1
536,1,1,1
537,1,0,0
538,1,0,0
539,1,1,1
540,1,1,1
541,1,0,0
542,1,1,1
543,1,0,0
544,1,1,1
545,1,0,0
546,1,0,0
547,1,1,1
548,1,0,0
549,1,1,1
550,1,0,0
551,1,1,1
552,1,0,0
553,1,1,1
554,1,0,0
555,1,1,1
556,1,0,0
557,1,1,1
558,1,0,0
559,1,1,1
560,1,1,1
561,1,0,0
562,1,1,1
563,1,0,0
564,1,1,1
565,1,0,0
566,1,0,0
567,1,1,1
568,1,0,0
569,1,1,1
570,1,0,0
571,1,1,1
572,1,0,0
573,1,1,1
574,1,1,1
575,1,0,0
576,1,1,1
577,1,0,0
578,1,1,1
579,1,0,0
580,1,1,1
581,1,0,0
582,1,0,0
583,1,1,1
584,1,1,1
585,1,1,1
586,1,0,0
587,1,0,0
588,1,0,0
589,1,1,1
590,1,0,0
591,1,1,1
592,1,1,1
593,1,0,0
594,1,0,0
595,1,1,1
596,1,1,1
597,1,0,0
598,1,0,0
599,1,1,1
600,1,1,1
601,1,0,0
602,1,0,0
603,1,1,1
604,1,1,1
605,1,0,0
606,1,0,0
607,1,1,1
608,1,1,1
609,1,0,0
610,1,1,1
611,1,0,0
612,1,1,1
613,1,0,0
614,1,1,1
615,1,0,0
616,1,0,0
617,1,1,1
618,1,0,0
619,1,1,1
620,1,0,0
621,1,1,1
622,1,0,0
623,1,1,1
624,1,1,1
625,1,0,0
626,1,0,0
627,1,1,1
628,1,0,0
629,1,1,1
630,1,1,1
631,1,0,0
632,1,1,1
633,1,0,0
634,1,0,0
635,1,1,1
636,1,1,1
637,1,0,0
638,1,1,1
639,1,0,0
640,1,0,0
641,1,1,1
642,1,1,1
643,1,0,0
644,1,1,1
645,1,0,0
646,1,1,1
647,1,0,0
648,1,1,1
649,1,0,0
650,1,0,0
651,1,1,1
652,1,0,0
653,1,1,1
654,1,1,1
655,1,0,0
656,1,0,0
657,1,1,1
658,1,0,0
659,1,1,1
660,1,1,1
661,1,0,0
662,1,1,1
