index,qid,question,origanswer,generatedanswer,correctness
0,948,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices for which information provided in the passage holds true. 
Specify the correct answer by choosing one of a or b: 
",b,The image that is most likely to show the moon in its waxing crescent phase is Image B.,1
1,949,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices for which information provided in the passage holds true. 
Specify the correct answer by choosing one of a or b: 
",b,The answer is b. Image [1],1
2,950,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices for which information provided in the passage holds true. 
Specify the correct answer by choosing one of a or b: 
",b,The answer is b. Image [1],1
3,951,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices for which information provided in the passage holds true. 
Specify the correct answer by choosing one of a or b: 
",a,The image that the information provided in the passage holds true for is Image [0].,1
4,952,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices for which information provided in the passage holds true. 
Specify the correct answer by choosing one of a or b: 
",b,a. Image [0] ,1
5,953,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices for which information provided in the passage holds true. 
Specify the correct answer by choosing one of a or b: 
",b,"The author writes that people with aphantasia ""cannot voluntarily generate mental images.""",0
6,954,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices for which information provided in the passage holds true. 
Specify the correct answer by choosing one of a or b: 
",a,"The passage states that ""The mean distance between the Sun and the Earth is called an astronomical unit (au), which equals about 150 million kilometers (93 million miles).""",1
7,955,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices for which information provided in the passage holds true. 
Specify the correct answer by choosing one of a or b: 
",a,"The passage states that ""Image [0] is an example of a simple image, one that has a low number of features."" The answer is therefore a.",1
8,956,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices for which information provided in the passage holds true. 
Specify the correct answer by choosing one of a or b: 
",b,The image that shows the most information from the passage is image 1.,1
9,957,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices for which information provided in the passage holds true. 
Specify the correct answer by choosing one of a or b: 
",a,The image with a black background and a yellow spiral in the center.,0
10,958,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices for which information provided in the passage holds true. 
Specify the correct answer by choosing one of a or b: 
",b,Answer:,0
11,959,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices for which information provided in the passage holds true. 
Specify the correct answer by choosing one of a or b: 
",a,The image that corresponds with the information in the passage is Image 1.,0
12,960,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices for which information provided in the passage holds true. 
Specify the correct answer by choosing one of a or b: 
",b,"The passage mentions that the second image is ""a person in a white robe"". Based on this information, the correct answer is b.",0
13,961,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices for which information provided in the passage holds true. 
Specify the correct answer by choosing one of a or b: 
",b,The image that shows the moon in the sky is image [0].,0
14,962,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices for which information provided in the passage holds true. 
Specify the correct answer by choosing one of a or b: 
",a,The answer is b. Image [1].,0
15,963,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices for which information provided in the passage holds true. 
Specify the correct answer by choosing one of a or b: 
",b,The image that correctly illustrates the information in the passage is Image [1].,1
16,964,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices for which information provided in the passage holds true. 
Specify the correct answer by choosing one of a or b: 
",a,Given: The Moon is about one-fourth the size of Earth,1
17,965,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices for which information provided in the passage holds true. 
Specify the correct answer by choosing one of a or b: 
",a,"The passage states that ""The lotus leaf is one of the most waterproof surfaces found in nature."" Based on this information, image [0] would be the correct answer because it is a picture of a lotus leaf.",1
18,966,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices for which information provided in the passage holds true. 
Specify the correct answer by choosing one of a or b: 
",b,"The image selected should be Image [1], because it is the only image in which the train is actually passing through a tunnel.",1
19,967,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices for which information provided in the passage holds true. 
Specify the correct answer by choosing one of a or b: 
",a,"The passage states that ""The president is the head of state in most countries."" Which of the following images would be more appropriate to represent this statement?",0
20,968,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices for which information provided in the passage holds true. 
Specify the correct answer by choosing one of a or b: 
",a,Answer: Image [0],1
21,969,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices for which information provided in the passage holds true. 
Specify the correct answer by choosing one of a or b: 
",b,The answer is Image [0].,0
22,970,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices for which information provided in the passage holds true. 
Specify the correct answer by choosing one of a or b: 
",a,It was a sunny day.,0
