qid,pred_ans,gt_ans,correctness
0,0,1,0
1,0,1,0
2,0,0,1
3,0,0,1
4,0,0,1
5,0,0,1
6,0,1,0
7,0,0,1
8,0,1,0
9,0,0,1
10,0,0,1
11,0,1,0
12,0,1,0
13,0,1,0
14,0,0,1
15,0,0,1
16,0,0,1
17,0,1,0
18,0,1,0
19,0,0,1
20,0,0,1
21,0,0,1
22,0,0,1
23,0,0,1
24,0,1,0
25,0,0,1
26,0,1,0
27,0,1,0
28,0,1,0
29,0,0,1
30,0,0,1
31,0,0,1
32,0,1,0
33,0,1,0
34,0,0,1
35,0,0,1
36,0,0,1
37,0,1,0
38,0,1,0
39,0,1,0
40,0,0,1
41,0,1,0
42,0,0,1
43,0,1,0
44,0,1,0
45,0,0,1
46,0,1,0
47,0,1,0
48,0,1,0
49,0,1,0
