qid,pred_ans,gt_ans,correctness
0,1,1,1
1,1,2,0
2,1,3,0
3,1,1,1
4,1,3,0
5,1,3,0
6,1,2,0
7,1,3,0
8,1,0,0
9,1,2,0
10,1,0,0
11,1,1,1
12,1,1,1
13,1,3,0
14,1,3,0
15,1,1,1
16,1,2,0
17,1,3,0
18,1,1,1
19,1,0,0
20,1,1,1
21,1,3,0
22,1,0,0
23,1,3,0
24,1,3,0
25,1,0,0
26,1,0,0
27,1,1,1
28,1,3,0
29,1,0,0
30,1,3,0
31,1,0,0
32,1,3,0
33,1,2,0
34,1,2,0
35,1,1,1
36,1,1,1
37,1,1,1
38,1,1,1
39,1,1,1
40,1,2,0
41,1,1,1
42,1,3,0
43,1,3,0
44,1,2,0
45,1,0,0
46,1,1,1
47,1,0,0
48,1,2,0
49,1,2,0
50,1,1,1
51,1,2,0
52,1,2,0
53,1,0,0
54,1,0,0
55,1,1,1
56,1,1,1
57,1,3,0
58,1,1,1
59,1,0,0
60,1,3,0
61,1,3,0
62,1,0,0
63,1,0,0
64,1,2,0
65,1,1,1
66,1,1,1
67,1,1,1
68,1,3,0
69,1,0,0
70,1,0,0
71,1,0,0
72,1,1,1
73,1,1,1
74,1,0,0
75,1,3,0
76,1,3,0
77,1,1,1
78,1,0,0
79,1,0,0
80,1,0,0
81,1,3,0
82,1,0,0
83,1,0,0
84,1,3,0
85,1,1,1
86,1,1,1
87,1,1,1
88,1,2,0
89,1,1,1
90,1,2,0
91,1,3,0
92,1,1,1
93,1,0,0
94,1,0,0
95,1,2,0
96,1,0,0
97,1,1,1
98,1,2,0
99,1,1,1
100,1,1,1
101,1,0,0
102,1,2,0
103,1,2,0
104,1,1,1
105,1,3,0
106,1,3,0
107,1,3,0
108,1,2,0
109,1,0,0
110,1,1,1
111,1,2,0
112,1,1,1
113,1,2,0
114,1,0,0
115,1,1,1
116,1,0,0
117,1,3,0
118,1,0,0
119,1,3,0
120,1,2,0
121,1,3,0
122,1,3,0
123,1,3,0
124,1,1,1
125,1,3,0
126,1,0,0
127,1,1,1
128,1,1,1
129,1,2,0
130,1,3,0
131,1,2,0
132,1,1,1
133,1,2,0
134,1,3,0
135,1,0,0
136,1,3,0
137,1,2,0
138,1,1,1
139,1,2,0
140,1,2,0
141,1,2,0
142,1,0,0
143,1,3,0
144,1,2,0
145,1,2,0
146,1,1,1
147,1,1,1
148,1,0,0
149,1,0,0
150,1,0,0
151,1,2,0
152,1,3,0
153,1,0,0
154,1,1,1
155,1,2,0
156,1,1,1
157,1,1,1
158,1,1,1
159,1,1,1
160,1,0,0
161,1,3,0
162,1,2,0
163,1,1,1
164,1,0,0
165,1,3,0
166,1,3,0
167,1,2,0
168,1,2,0
169,1,1,1
170,1,3,0
171,1,2,0
172,1,2,0
173,1,2,0
174,1,2,0
175,1,0,0
176,1,1,1
177,1,0,0
178,1,1,1
179,1,1,1
180,1,2,0
181,1,2,0
182,1,0,0
183,1,2,0
184,1,3,0
185,1,0,0
186,1,0,0
187,1,3,0
188,1,3,0
189,1,0,0
190,1,0,0
191,1,1,1
192,1,0,0
193,1,2,0
194,1,3,0
195,1,2,0
196,1,3,0
197,1,1,1
198,1,0,0
199,1,2,0
200,1,3,0
201,1,0,0
202,1,3,0
203,1,1,1
204,1,2,0
205,1,0,0
206,1,2,0
207,1,2,0
208,1,3,0
209,1,2,0
210,1,0,0
211,1,3,0
212,1,0,0
213,1,0,0
214,1,0,0
215,1,0,0
216,1,1,1
217,1,3,0
218,1,0,0
219,1,3,0
220,1,1,1
221,1,2,0
222,1,0,0
223,1,1,1
224,1,2,0
225,1,3,0
226,1,2,0
227,1,3,0
228,1,1,1
229,1,3,0
230,1,3,0
231,1,3,0
232,1,1,1
233,1,1,1
234,1,2,0
235,1,3,0
236,1,3,0
237,1,3,0
238,1,0,0
239,1,2,0
240,1,0,0
241,1,2,0
242,1,1,1
243,1,3,0
244,1,1,1
245,1,1,1
246,1,3,0
247,1,0,0
248,1,2,0
249,1,3,0
250,1,2,0
251,1,3,0
