qid,pred_ans,gt_ans,correctness
0,0,1,0
1,1,0,0
2,1,1,1
3,1,1,1
4,0,1,0
5,1,0,0
6,0,1,0
7,0,1,0
8,0,0,1
9,0,0,1
10,0,1,0
11,0,0,1
12,0,1,0
13,1,0,0
14,0,1,0
15,0,0,1
16,0,0,1
17,0,1,0
18,0,0,1
19,1,1,1
20,0,0,1
21,0,0,1
22,1,1,1
23,0,1,0
24,0,0,1
25,0,0,1
26,0,1,0
27,1,1,1
28,0,0,1
29,1,1,1
30,0,0,1
31,0,0,1
32,0,0,1
33,0,1,0
34,1,0,0
35,0,0,1
36,0,1,0
37,1,0,0
38,1,1,1
39,1,0,0
40,1,0,0
41,0,0,1
42,0,0,1
43,0,0,1
44,0,0,1
45,1,1,1
46,1,0,0
47,1,0,0
48,0,1,0
49,0,0,1
50,1,1,1
51,0,1,0
52,0,1,0
53,1,1,1
54,0,0,1
55,0,0,1
56,1,0,0
57,1,1,1
58,0,0,1
59,0,0,1
60,0,1,0
61,0,1,0
62,1,1,1
63,1,0,0
64,0,0,1
65,0,0,1
66,0,1,0
67,0,0,1
68,0,0,1
69,0,0,1
70,0,0,1
