qid,pred_ans,gt_ans,correctness
0,1,0,0
1,0,2,0
2,2,1,0
3,0,2,0
4,1,2,0
5,3,1,0
6,1,0,0
7,3,3,1
8,0,0,1
9,3,2,0
10,2,1,0
11,1,3,0
12,1,3,0
13,3,0,0
14,1,0,0
15,2,3,0
16,0,1,0
17,0,0,1
18,2,1,0
19,1,1,1
20,2,0,0
21,2,3,0
22,1,2,0
23,2,0,0
24,2,1,0
25,2,0,0
26,1,3,0
27,3,3,1
28,0,2,0
29,2,3,0
30,1,1,1
31,0,0,1
32,0,3,0
33,3,3,1
34,0,2,0
35,2,1,0
36,2,1,0
37,2,2,1
38,1,0,0
39,1,3,0
40,1,1,1
41,1,2,0
42,3,2,0
43,0,2,0
44,3,1,0
45,1,2,0
46,1,1,1
47,2,3,0
48,1,2,0
49,1,3,0
50,1,3,0
51,0,3,0
52,2,1,0
53,2,3,0
54,3,1,0
55,3,2,0
56,2,1,0
57,3,3,1
58,0,2,0
59,3,0,0
60,0,1,0
61,0,1,0
62,0,1,0
63,0,2,0
64,0,3,0
65,1,0,0
66,3,1,0
67,2,2,1
68,1,3,0
69,0,3,0
70,1,1,1
71,2,3,0
72,2,0,0
73,1,0,0
74,3,1,0
75,2,1,0
76,3,2,0
77,2,3,0
78,0,0,1
79,0,3,0
80,1,1,1
81,2,3,0
82,2,0,0
83,2,1,0
84,1,2,0
85,2,1,0
86,3,3,1
87,2,2,1
88,0,3,0
89,3,3,1
90,3,2,0
91,0,0,1
92,2,2,1
93,1,2,0
94,0,3,0
95,1,1,1
96,3,3,1
97,3,2,0
98,2,2,1
99,3,1,0
100,2,2,1
101,3,2,0
102,2,0,0
103,0,0,1
104,0,1,0
105,1,0,0
106,1,3,0
107,0,2,0
108,0,1,0
109,2,3,0
110,2,1,0
111,2,1,0
112,2,2,1
113,0,0,1
114,3,0,0
115,2,0,0
116,0,0,1
117,3,1,0
118,1,3,0
119,1,2,0
120,2,2,1
121,0,3,0
122,2,2,1
123,0,2,0
124,1,3,0
125,0,0,1
126,0,3,0
127,2,1,0
128,2,0,0
129,1,0,0
130,3,2,0
131,2,0,0
132,0,3,0
133,2,1,0
134,3,2,0
135,1,0,0
136,3,1,0
137,3,3,1
138,2,2,1
139,3,1,0
140,0,1,0
141,0,2,0
142,1,2,0
143,0,3,0
144,2,1,0
145,2,1,0
146,3,2,0
147,2,0,0
148,2,2,1
149,3,1,0
150,1,0,0
151,2,1,0
152,0,3,0
153,2,1,0
154,2,1,0
155,0,2,0
156,1,2,0
157,3,1,0
158,1,3,0
159,0,1,0
160,2,1,0
161,0,1,0
162,3,1,0
163,2,0,0
164,2,3,0
165,3,0,0
166,0,3,0
167,2,0,0
168,3,0,0
169,0,3,0
170,0,1,0
171,1,3,0
172,0,3,0
173,0,2,0
174,2,3,0
175,1,1,1
176,0,1,0
177,2,3,0
178,3,2,0
179,3,0,0
180,1,3,0
181,1,3,0
182,3,2,0
183,0,1,0
184,1,3,0
185,1,1,1
186,1,2,0
187,2,2,1
188,0,3,0
189,3,3,1
190,1,3,0
191,1,2,0
192,0,1,0
193,3,2,0
194,0,3,0
195,2,1,0
196,0,3,0
197,3,1,0
198,0,2,0
199,2,2,1
200,3,0,0
201,2,0,0
202,2,1,0
203,0,0,1
204,2,1,0
205,3,3,1
206,2,3,0
207,1,3,0
208,1,2,0
209,2,1,0
210,2,0,0
211,0,0,1
212,0,0,1
213,0,2,0
214,1,3,0
215,2,3,0
216,0,1,0
217,3,3,1
218,0,0,1
219,3,3,1
220,0,3,0
221,2,0,0
222,0,2,0
223,2,1,0
224,0,3,0
225,0,0,1
226,0,1,0
227,2,3,0
228,1,1,1
229,0,0,1
230,3,2,0
231,1,3,0
232,3,2,0
233,0,3,0
234,3,1,0
235,0,3,0
236,0,1,0
237,2,3,0
238,3,3,1
239,0,0,1
240,3,0,0
241,1,2,0
242,1,0,0
243,0,2,0
244,1,0,0
245,3,2,0
246,2,0,0
247,3,0,0
248,0,0,1
249,1,3,0
250,3,2,0
251,0,0,1
252,3,2,0
253,1,2,0
254,0,0,1
255,2,3,0
256,1,1,1
257,3,0,0
258,2,2,1
259,2,1,0
260,2,3,0
261,2,2,1
262,0,1,0
263,0,2,0
264,2,0,0
265,1,0,0
266,2,0,0
267,2,3,0
268,0,0,1
269,2,1,0
270,0,0,1
271,1,3,0
272,0,2,0
273,3,1,0
274,2,0,0
275,0,0,1
276,3,2,0
277,0,3,0
278,0,0,1
279,1,1,1
280,1,3,0
281,3,3,1
282,0,2,0
283,2,2,1
284,2,2,1
285,1,2,0
286,0,3,0
287,1,1,1
288,3,2,0
289,2,1,0
290,1,1,1
291,1,1,1
292,2,0,0
293,2,1,0
294,2,0,0
295,0,2,0
296,1,2,0
297,3,3,1
298,3,2,0
299,2,3,0
