qid,question,origanswer,generatedanswer,correctness
0,In how many moves one can convert left image into right image?,0,3,0
1,In how many moves one can convert left image into right image?,3,0,0
2,In how many moves one can convert left image into right image?,0,0,1
3,In how many moves one can convert left image into right image?,0,0,1
4,In how many moves one can convert left image into right image?,0,0,1
5,In how many moves one can convert left image into right image?,0,0,1
6,In how many moves one can convert left image into right image?,0,0,1
7,In how many moves one can convert left image into right image?,2,1,0
8,In how many moves one can convert left image into right image?,3,0,0
9,In how many moves one can convert left image into right image?,3,3,1
10,In how many moves one can convert left image into right image?,0,1,0
11,In how many moves one can convert left image into right image?,2,0,0
12,In how many moves one can convert left image into right image?,3,1,0
13,In how many moves one can convert left image into right image?,1,2,0
14,In how many moves one can convert left image into right image?,1,0,0
15,In how many moves one can convert left image into right image?,1,3,0
16,In how many moves one can convert left image into right image?,2,0,0
17,In how many moves one can convert left image into right image?,0,2,0
18,In how many moves one can convert left image into right image?,2,1,0
19,In how many moves one can convert left image into right image?,3,1,0
20,In how many moves one can convert left image into right image?,1,2,0
21,In how many moves one can convert left image into right image?,0,2,0
22,In how many moves one can convert left image into right image?,0,0,1
23,In how many moves one can convert left image into right image?,3,1,0
24,In how many moves one can convert left image into right image?,2,1,0
25,In how many moves one can convert left image into right image?,2,0,0
26,In how many moves one can convert left image into right image?,1,2,0
27,In how many moves one can convert left image into right image?,3,2,0
28,In how many moves one can convert left image into right image?,3,1,0
29,In how many moves one can convert left image into right image?,2,1,0
30,In how many moves one can convert left image into right image?,0,0,1
31,In how many moves one can convert left image into right image?,3,3,1
32,In how many moves one can convert left image into right image?,2,2,1
33,In how many moves one can convert left image into right image?,0,0,1
34,In how many moves one can convert left image into right image?,1,1,1
35,In how many moves one can convert left image into right image?,0,0,1
36,In how many moves one can convert left image into right image?,2,2,1
37,In how many moves one can convert left image into right image?,0,0,1
38,In how many moves one can convert left image into right image?,3,3,1
39,In how many moves one can convert left image into right image?,1,1,1
40,How many times the Green block should be moved to convert left image into right image?,1,0,0
41,How many times the Purple block should be moved to convert left image into right image?,2,2,1
42,How many times the Orange block should be moved to convert left image into right image?,2,0,0
43,How many times the Purple block should be moved to convert left image into right image?,3,0,0
44,How many times the Yellow block should be moved to convert left image into right image?,0,0,1
45,How many times the Orange block should be moved to convert left image into right image?,2,2,1
46,How many times the Purple block should be moved to convert left image into right image?,2,2,1
47,How many times the Blue block should be moved to convert left image into right image?,1,1,1
48,How many times the Yellow block should be moved to convert left image into right image?,2,2,1
49,How many times the Yellow block should be moved to convert left image into right image?,1,1,1
50,How many times the Yellow block should be moved to convert left image into right image?,2,1,0
51,How many times the Blue block should be moved to convert left image into right image?,3,3,1
52,How many times the Blue block should be moved to convert left image into right image?,1,1,1
53,How many times the Yellow block should be moved to convert left image into right image?,2,2,1
54,How many times the Yellow block should be moved to convert left image into right image?,0,2,0
55,How many times the Purple block should be moved to convert left image into right image?,3,2,0
56,How many times the Purple block should be moved to convert left image into right image?,0,0,1
57,How many times the Yellow block should be moved to convert left image into right image?,3,2,0
58,How many times the Purple block should be moved to convert left image into right image?,0,2,0
59,How many times the Orange block should be moved to convert left image into right image?,2,3,0
60,How many times the Purple block should be moved to convert left image into right image?,2,2,1
61,How many times the Purple block should be moved to convert left image into right image?,0,1,0
62,How many times the Blue block should be moved to convert left image into right image?,3,3,1
63,How many times the Orange block should be moved to convert left image into right image?,0,2,0
64,How many times the Red block should be moved to convert left image into right image?,1,0,0
65,How many times the Blue block should be moved to convert left image into right image?,2,1,0
66,How many times the Green block should be moved to convert left image into right image?,0,0,1
67,How many times the Blue block should be moved to convert left image into right image?,3,3,1
68,How many times the Green block should be moved to convert left image into right image?,0,2,0
69,How many times the Yellow block should be moved to convert left image into right image?,1,0,0
70,How many times the Yellow block should be moved to convert left image into right image?,3,3,1
71,How many times the Red block should be moved to convert left image into right image?,3,0,0
72,How many times the Orange block should be moved to convert left image into right image?,1,0,0
73,How many times the Orange block should be moved to convert left image into right image?,1,1,1
74,How many times the Red block should be moved to convert left image into right image?,1,0,0
75,How many times the Yellow block should be moved to convert left image into right image?,3,0,0
76,How many times the Red block should be moved to convert left image into right image?,2,1,0
77,How many times the Orange block should be moved to convert left image into right image?,3,0,0
78,How many times the Green block should be moved to convert left image into right image?,0,3,0
79,How many times the Yellow block should be moved to convert left image into right image?,3,2,0
80,In how many moves one can convert left image into right image?,3,2,0
81,In how many moves one can convert left image into right image?,0,3,0
82,In how many moves one can convert left image into right image?,3,0,0
83,In how many moves one can convert left image into right image?,2,0,0
84,In how many moves one can convert left image into right image?,0,1,0
85,How many times the Orange block should be moved to convert left image into right image?,2,0,0
86,How many times the Yellow block should be moved to convert left image into right image?,3,1,0
87,How many times the Green block should be moved to convert left image into right image?,3,1,0
88,How many times the Yellow block should be moved to convert left image into right image?,1,3,0
89,How many times the Yellow block should be moved to convert left image into right image?,3,3,1
90,In how many moves one can convert left image into right image?,2,3,0
91,In how many moves one can convert left image into right image?,3,2,0
92,In how many moves one can convert left image into right image?,1,0,0
93,In how many moves one can convert left image into right image?,1,0,0
94,In how many moves one can convert left image into right image?,1,2,0
95,How many times the Green block should be moved to convert left image into right image?,1,3,0
96,How many times the Red block should be moved to convert left image into right image?,2,1,0
97,How many times the Orange block should be moved to convert left image into right image?,0,0,1
98,How many times the Purple block should be moved to convert left image into right image?,3,1,0
99,How many times the Blue block should be moved to convert left image into right image?,2,2,1
100,Choose the correct order of moves I-IV to convert left image into right image.,2,3,0
101,Choose the correct order of moves I-IV to convert left image into right image.,3,3,1
102,Choose the correct order of moves I-IV to convert left image into right image.,0,3,0
103,Choose the correct order of moves I-IV to convert left image into right image.,1,3,0
104,Choose the correct order of moves I-IV to convert left image into right image.,1,3,0
105,Choose the correct order of moves I-IV to convert left image into right image.,0,2,0
106,Choose the correct order of moves I-IV to convert left image into right image.,0,3,0
107,Choose the correct order of moves I-IV to convert left image into right image.,1,3,0
108,Choose the correct order of moves I-IV to convert left image into right image.,2,3,0
109,Choose the correct order of moves I-IV to convert left image into right image.,3,2,0
110,Choose the correct order of moves I-IV to convert left image into right image.,1,3,0
111,Choose the correct order of moves I-IV to convert left image into right image.,2,3,0
