qid,pred_ans,gt_ans,correctness
0,2,0,0
1,2,3,0
2,2,0,0
3,2,0,0
4,2,0,0
5,2,0,0
6,2,0,0
7,2,2,1
8,2,3,0
9,2,3,0
10,2,0,0
11,2,2,1
12,2,3,0
13,2,1,0
14,2,1,0
15,2,1,0
16,2,2,1
17,2,0,0
18,2,2,1
19,2,3,0
20,2,1,0
21,2,0,0
22,2,0,0
23,2,3,0
24,2,2,1
25,2,2,1
26,2,1,0
27,2,3,0
28,2,3,0
29,2,2,1
30,2,0,0
31,2,3,0
32,2,2,1
33,2,0,0
34,2,1,0
35,2,0,0
36,2,2,1
37,2,0,0
38,2,3,0
39,2,1,0
40,2,1,0
41,2,2,1
42,2,2,1
43,2,3,0
44,2,0,0
45,2,2,1
46,2,2,1
47,2,1,0
48,2,2,1
49,2,1,0
50,2,2,1
51,2,3,0
52,2,1,0
53,2,2,1
54,2,0,0
55,2,3,0
56,2,0,0
57,2,3,0
58,2,0,0
59,2,2,1
60,2,2,1
61,2,0,0
62,2,3,0
63,2,0,0
64,2,1,0
65,2,2,1
66,2,0,0
67,2,3,0
68,2,0,0
69,2,1,0
70,2,3,0
71,2,3,0
72,2,1,0
73,2,1,0
74,2,1,0
75,2,3,0
76,2,2,1
77,2,3,0
78,2,0,0
79,2,3,0
80,2,3,0
81,2,0,0
82,2,3,0
83,2,2,1
84,2,0,0
85,2,2,1
86,2,3,0
87,2,3,0
88,2,1,0
89,2,3,0
90,2,2,1
91,2,3,0
92,2,1,0
93,2,1,0
94,2,1,0
95,2,1,0
96,2,2,1
97,2,0,0
98,2,3,0
99,2,2,1
