index,qid,question,origanswer,generatedanswer,correctness
0,1611,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,0,1,0
1,1612,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,1,1,1
2,1613,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,0,1,0
3,1614,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,1,0,0
4,1615,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,1,1,1
5,1616,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,0,1,0
6,1617,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,0,1,0
7,1618,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,1,1,1
8,1619,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,1,1,1
9,1620,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,0,1,0
10,1621,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,1,1,1
11,1622,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,0,1,0
12,1623,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,0,0,1
13,1624,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,1,1,1
14,1625,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,1,1,1
15,1626,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,1,1,1
16,1627,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,0,1,0
17,1628,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,0,1,0
18,1629,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,0,1,0
19,1630,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,0,1,0
20,1631,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,0,1,0
21,1632,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,0,1,0
22,1633,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,0,1,0
23,1634,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,1,1,1
24,1635,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,1,1,1
25,1636,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,1,1,1
26,1637,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,1,1,1
27,1638,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,0,1,0
28,1639,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,1,1,1
29,1640,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,0,1,0
30,1641,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,1,1,1
31,1642,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,1,1,1
32,1643,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,0,1,0
33,1644,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,1,1,1
34,1645,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,1,0,0
35,1646,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,1,1,1
36,1647,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,1,1,1
37,1648,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,0,1,0
38,1649,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,0,0,1
39,1650,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,1,1,1
40,1651,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,1,1,1
41,1652,Select an image from the following choices that can fill-in-the-blank provide in the passage. ,0,0,1
