qid,pred_ans,gt_ans,correctness
0,1,1,1
1,1,0,0
2,1,1,1
3,1,0,0
4,1,1,1
5,1,0,0
6,1,0,0
7,1,1,1
8,1,1,1
9,1,0,0
10,1,0,0
11,1,1,1
12,1,0,0
13,1,1,1
14,1,0,0
15,1,0,0
16,1,1,1
17,1,0,0
18,1,0,0
19,1,0,0
20,1,1,1
21,1,0,0
22,1,0,0
23,1,1,1
24,1,0,0
25,1,0,0
26,1,0,0
27,1,0,0
28,1,1,1
29,1,1,1
30,1,0,0
31,1,1,1
32,1,1,1
33,1,1,1
34,1,0,0
35,1,0,0
36,1,1,1
37,1,0,0
38,1,1,1
39,1,0,0
40,1,1,1
41,1,1,1
42,1,0,0
43,1,0,0
44,1,0,0
45,1,0,0
46,1,1,1
47,1,0,0
48,1,1,1
49,1,1,1
50,1,0,0
51,1,0,0
52,1,0,0
53,1,0,0
54,1,0,0
55,1,1,1
56,1,1,1
57,1,1,1
58,1,0,0
59,1,1,1
60,1,0,0
61,1,1,1
62,1,1,1
63,1,1,1
64,1,0,0
65,1,1,1
66,1,1,1
67,1,0,0
68,1,0,0
69,1,1,1
70,1,1,1
71,1,1,1
72,1,1,1
73,1,1,1
74,1,1,1
75,1,1,1
76,1,0,0
77,1,0,0
78,1,0,0
79,1,0,0
