qid,question,origanswer,generatedanswer,generatedanswers,correctness
0,"Question: 
Answer Choices are: 
a. Image0 matches Caption0 and the image1 matches Caption1
b. Image0 matches Caption1 and the image1 matches Caption0
Specify their correct answer by choosing one of a or b:
",b,b,['b'],1
1,"Question: 
Answer Choices are: 
a. Image0 matches Caption0 and the image1 matches Caption1
b. Image0 matches Caption1 and the image1 matches Caption0
Specify their correct answer by choosing one of a or b:
",b,b,['b'],1
2,"Question: 
Answer Choices are: 
a. Image0 matches Caption0 and the image1 matches Caption1
b. Image0 matches Caption1 and the image1 matches Caption0
Specify their correct answer by choosing one of a or b:
",a,b,['b'],0
3,"Question: 
Answer Choices are: 
a. Image0 matches Caption0 and the image1 matches Caption1
b. Image0 matches Caption1 and the image1 matches Caption0
Specify their correct answer by choosing one of a or b:
",b,b,['b'],1
4,"Question: 
Answer Choices are: 
a. Image0 matches Caption0 and the image1 matches Caption1
b. Image0 matches Caption1 and the image1 matches Caption0
Specify their correct answer by choosing one of a or b:
",a,The correct answer is b.,['The correct answer is b.'],0
5,"Question: 
Answer Choices are: 
a. Image0 matches Caption0 and the image1 matches Caption1
b. Image0 matches Caption1 and the image1 matches Caption0
Specify their correct answer by choosing one of a or b:
",a,b,['b'],0
6,"Question: 
Answer Choices are: 
a. Image0 matches Caption0 and the image1 matches Caption1
b. Image0 matches Caption1 and the image1 matches Caption0
Specify their correct answer by choosing one of a or b:
",b,b. Image0 matches Caption1 and the image1 matches Caption0,['b. Image0 matches Caption1 and the image1 matches Caption0'],1
7,"Question: 
Answer Choices are: 
a. Image0 matches Caption0 and the image1 matches Caption1
b. Image0 matches Caption1 and the image1 matches Caption0
Specify their correct answer by choosing one of a or b:
",a,b. Image0 matches Caption1 and the image1 matches Caption0.,['b. Image0 matches Caption1 and the image1 matches Caption0.'],0
8,"Question: 
Answer Choices are: 
a. Image0 matches Caption0 and the image1 matches Caption1
b. Image0 matches Caption1 and the image1 matches Caption0
Specify their correct answer by choosing one of a or b:
",a,b. Image0 matches Caption1 and the image1 matches Caption0,['b. Image0 matches Caption1 and the image1 matches Caption0'],0
9,"Question: 
Answer Choices are: 
a. Image0 matches Caption0 and the image1 matches Caption1
b. Image0 matches Caption1 and the image1 matches Caption0
Specify their correct answer by choosing one of a or b:
",a,b,['b'],0
10,"Question: 
Answer Choices are: 
a. Image0 matches Caption0 and the image1 matches Caption1
b. Image0 matches Caption1 and the image1 matches Caption0
Specify their correct answer by choosing one of a or b:
",a,b,['b'],0
