qid,gt_ans,pred_ans_blip,correctness_blip
0,Spain,Spain,1
1,West Bromwich Albion,West Bromwich Albion,1
2,20-Mar,20-Dec,0
3,"17 hours, 5 minutes","17 hours, 5 minutes",1
4,bracelets,bracelets,1
5,cap,cap,1
6,yellow,yellow,1
7,one,one,1
8,grey,grey,1
9,Iowa,Iowa,1
10,2009,2009,1
11,two,two,1
12,brigade,brigade,1
13,no,no,1
14,2009,2009,1
15,nine,eight,0
16,Bill Elliott,Bill Elliott,1
17,black,black,1
18,black,black,1
19,no,yes,0
20,2009,2009,1
21,1997,1997,1
22,bridge,bridge,1
23,La Rondine,La Rondine,1
24,Urszula RadwaâÃska,Naomi Osaka,0
25,professional tennis player,professional tennis player,1
26,27-Oct-04,1-Jan-00,0
27,yes,no,0
28,Wolverhampton Wanderers,Norwich City,0
29,"Denver, Colorado","Denver, Colorado",1
30,Sarah Gilman,Dakota Fanning,0
31,Kaitlyn Dever,Karen Devers,0
32,twelve,twelve,1
33,twelve,twelve,1
34,College Navy,College Navy,1
35,New England Patriots,New England Patriots,1
36,New England Patriots,New England Patriots,1
37,baseball,baseball,1
38,baseball,baseball,1
39,Christopher Jason Witten,Christopher Jason Witten,1
40,pitcher,pitcher,1
41,when the catcher already has possession of the ball,when the catcher already has possession of the ball,1
42,Alan Shearer,Alan Shearer,1
43,smile,smile,1
44,smile,smile,1
45,1979,1980,0
46,1-Jul-97,1-Jul-97,1
47,Spain,France,0
48,33,30,0
49,pockets,bag,0
50,1962,1967,0
51,2006,2015,0
52,beard,beard,1
53,Mike Powell,Ronaldinho,0
54,blue,blue,1
55,blue,blue,1
56,blue,blue,1
57,Norwich City,Norwich City,1
58,Nick Faldo,Greg Norman,0
59,yes,yes,1
60,in Lower Manhattan,in Lower Manhattan,1
61,Financial District of Lower Manhattan in New York City,Financial District of Lower Manhattan in New York City,1
62,St. Patrick's Cathedral,The Statue of Liberty,0
63,yes,no,0
64,Southern Europe,Northern Europe,0
65,Lucie ââ afâÂ°âÃ´ovâÂ°,Jelena JankoviÆÃ¡,0
66,39,39,1
67,professional tennis player,professional tennis player,1
68,Philadelphia Eagles,Philadelphia Eagles,1
69,three,two,0
70,2004,2013,0
71,ferris,circus,0
72,ferris,ferris,1
73,nine,nine,1
74,Jeff Gordon,Jeff Gordon,1
75,four,four,1
76,Charles Matthew Hunnam,Charles Matthew Hunnam,1
77,Ryan Douglas Hurst,Bruce Dern,0
78,Washington Redskins,Washington Redskins,1
79,"Augusta, Georgia","Macon, Georgia",0
80,kissing,fighting,0
81,five,five,1
82,1-Aug-07,6-Aug,0
83,Jacob Frey,Jacob Frey,1
84,10 May 1871,9 May 1871,0
85,May-90,Sep-90,0
86,"the black-red-gold colours were the colours of the democratic, centrist, and republican political parties","the black-red-gold colours were the colours of the democratic, centrist, and republican political parties",1
87,two,two,1
88,no,yes,0
89,US$17.4 billion,US$11.4 billion,0
90,two,three,0
91,leaf,leaf,1
92,leaf,leaf,1
93,8-Feb-66,8-Feb-56,0
94,Jeff Jimerson,John Legend,0
95,1967,1967,1
96,zipper,zipper,1
97,zipper,zipper,1
98,zipper,zipper,1
99,swoosh,Nike,0
100,swoosh,Nike,0
101,1957,1957,1
102,XVIII.,1980,0
103,tennis player,tennis player,1
104,black,white,0
105,book,book,1
106,no,yes,0
107,Denver Broncos,Dallas Cowboys,0
108,four,four,1
109,1995,1995,1
110,Jacksonville Jaguars,Baltimore Ravens,0
111,28,28,1
112,nine,twelve,0
113,7,7,1
114,UCLA,UCLA,1
115,palm,palm,1
116,palm,palm,1
117,September (after Labour Day),September (before Labour Day),0
118,"advanced to the Stanley Cup Finals once, losing to the Pittsburgh Penguins in 2016","advanced to the Stanley Cup Finals once, losing to the Pittsburgh Penguins in 2016",1
119,PewDiePie,Voot,0
120,earring,earring,1
121,earring,earring,1
122,Karen Newman,Karen Newman,1
123,white,white,1
124,white,white,1
125,New Orleans Pelicans,New Orleans Pelicans,1
126,1971,2005,0
127,yes,no,0
128,Ottawa,Ottawa,1
129,2.90%,9%,0
130,BBC America,BBC America,1
131,16-Jan-18,16-Jan-18,1
132,scarf,scarf,1
133,31-Mar-49,30-Mar-49,0
134,2.90%,2.90%,1
135,brown,brown,1
136,mask,mask,1
137,mask,mask,1
138,perpendicular to the foul line to the nearest break in the sand caused by any part of the body or uniform,Up to the knee,0
139,one,two,0
140,one,one,1
141,lights,lights,1
142,lights,lights,1
143,Malaysian ringgit,Swiss Franc,0
144,Malaysia,Malaysia,1
145,The Singapore dollar (sign: S$; code: SGD),The Singapore dollar (sign: S$; code: SGD),1
146,appointed by the President of the Republic of Singapore,Appointed by the Prime Minister of Singapore,0
147,2061,2061,1
148,1933,1933,1
149,New England Patriots,Philadelphia Eagles,0
150,three,three,1
151,2004,2004,1
152,New England Patriots,New York Jets,0
153,yes,yes,1
154,yes,yes,1
155,Hong Kong,Hong Kong,1
156,France,France,1
157,yes,no,0
158,1949,1950,0
159,yes,no,0
160,two,two,1
161,two,two,1
162,two,two,1
163,65%,65%,1
164,24.45%,24%,0
165,yes,no,0
166,brick,brick,1
167,Aquaria,Aquaria,1
168,"is a transcontinental country in Eurasia, mainly in Anatolia in Western Asia, with a smaller portion on the Balkan","is a transcontinental country in Eurasia, mainly in Anatolia in Western Asia, with a smaller portion on the Balkan",1
169,yes,no,0
170,Turkey,Turkey,1
171,Jeff Gordon,Jeff Gordon,1
172,Caroline Wozniacki,Victoria Azarenka,0
173,1929,1930,0
174,no,yes,0
175,Robert Arthur Seguso,Robert Alfred Seguso,0
176,tennis,tennis,1
177,green,black,0
178,Sydney Trains T4 Eastern Suburbs & Illawarra Line,Sydney J4 Eastern Suburbs & Illawarra Line,0
179,712,712,1
180,quill,drill,0
181,seven,seven,1
182,seven,eight,0
183,seven,six,0
184,yes,yes,1
185,Andrew (John Dye),Andrew (John Dye),1
186,212,212,1
187,"(John Dye), the angel of death","(John Dye), the angel of death",1
188,"Tulsa, Oklahoma","Tulsa, Oklahoma",1
189,hip,legs,0
190,hip,legs,0
191,Minnesota Timberwolves,New York Knicks,0
192,blonde,blonde,1
193,blonde,blonde,1
194,Geoff Hurst,Geoff Hurst,1
195,early 17th century,mid 17th century,0
196,microphone,microphone,1
197,microphone,microphone,1
198,The Bourne Ultimatum,The Bourne Ultimatum,1
199,"from February to November 2006, with a one-month break in June","from July to December 2006, with a one-month break in October",0
200,no,yes,0
201,2009,2010,0
202,yes,yes,1
203,lights,stage,0
204,Kathleen Turner,Meryl Streep,0
205,no,yes,0
206,2009,2009,1
207,1997,1998,0
208,no,yes,0
209,yes,yes,1
210,Jeff Gordon,Jeff Gordon,1
211,one,one,1
212,one,one,1
213,Christopher Jason Witten,Noah Fant,0
214,Victoria Azarenka,Serena Williams,0
215,11-Jul-18,11-Jul-18,1
216,yes,yes,1
217,sunglasses,sunglasses,1
218,nine,five,0
219,"2016 United Nations estimate puts the total population at 38,000,000","2016 United Nations estimate puts the total population at 38,000,000",1
220,TD Garden,TD Garden,1
221,blue,green,0
222,green,green,1
223,Santos,Santos,1
224,yes,no,0
225,yes,no,0
226,St. Patrick's Cathedral,St. Patrick's Cathedral,1
227,yes,yes,1
228,glove,glove,1
229,Dil Se..,Dil Se..,1
230,Utah Jazz,New Orleans Pelicans,0
231,red,red,1
232,Dil Se..,Dil Se..,1
233,"Chicago, Illinois","Chicago, Illinois",1
234,four,four,1
235,1995,1995,1
236,four,four,1
237,music,music,1
238,bowls,bowls,1
239,Urszula RadwaâÃska,Karoline Wozniacki,0
240,39,39,1
241,professional tennis player,professional tennis player,1
242,Muslim,Roman,0
243,1859,1885,0
244,Saints Row: The Third,GTA V,0
245,cowboy,cowboy,1
246,cowboy,cowboy,1
247,one,one,1
248,Chandler Massey,Chandler Massey,1
249,8-May,7-May,0
250,Vaughan,Vaughan,1
251,2005,2007,0
252,orange,orange,1
253,Nintendogs,Nintendogs,1
254,a waterspout,a pony,0
255,no,yes,0
256,Anaheim Ducks,Anaheim Ducks,1
257,no,no,1
258,1896,1956,0
259,no,yes,0
260,2009,2010,0
261,1997,1997,1
262,tennis,tennis,1
263,tennis,tennis,1
264,tennis,tennis,1
265,"in southeastern Mexico, separates the Caribbean Sea from the Gulf of Mexico, with the northern coastline on the YucatâÂ°n Channel","in southwestern Mexico, separates the Gulf of Mexico from the Pacific Ocean, with the southern coastline on the Gulf of California",0
266,Maximilian,Napoleon,0
267,Ethan Suplee,Lee Suplee,0
268,Eddie Steeples,Eddie Steeples,1
269,Nadine E. Velazquez,Valerie Cruz,0
270,fourth series will not be commissioned,2020,0
271,Emma Gwynedd Mary Chambers,Miley Cyrus,0
272,Clive Mantle,Clive Mantle,1
273,James Edward Fleet,James Edward Fleet,1
274,roughly midway between the cities of Raleigh and Chapel Hill,on the coast,0
275,pearl,pearl,1
276,pearl,pearl,1
277,black,black,1
278,Greg Vaughan,Greg Vaughan,1
279,Crystal Chappell,Crystal Chappell,1
280,yes,yes,1
281,Lionel Messi,Lionel Messi,1
282,Lionel Messi,Lionel Messi,1
283,stripes,stripes,1
284,stripes,stripes,1
285,yes,yes,1
286,Morena Baccarin,Piper Perabo,0
287,Sarah Chalke,Sarah Chalke,1
288,Mercedes,Ferrari,0
289,yes,no,0
290,30-Aug-15,30-Aug-15,1
291,mustache,beard,0
292,black,black,1
293,black,black,1
294,pink,red,0
295,four,four,1
296,Muslim,Christian,0
297,Cardiff City,Cardiff City,1
298,West Bromwich Albion,West Ham United,0
299,Francis Ouimet (a),Walter Hagen (b),0
300,up,up,1
301,bridge,bridge,1
302,bridge,bridge,1
303,six,six,1
304,"over 60,000 people","over 60,000 people",1
305,no,yes,0
306,16-May-18,17-May-18,0
307,22,22,1
308,27-Sep-17,27-Oct-17,0
309,St. Patrick's Cathedral,St. Patrick's Cathedral,1
310,yes,no,0
311,Rafael Nadal,Rafael Nadal,1
312,Retief Goosen,John Patrick Daly,0
313,six,11,0
314,six,six,1
315,six,six,1
316,red,red,1
317,six,seven,0
318,seven,seven,1
319,Glenn Amendment,Glenn Amendment,1
320,1958,1958,1
321,six,six,1
322,six,six,1
323,Less than 4%,Less than 4%,1
324,microphone,microphone,1
325,Slash featuring Myles Kennedy and The Conspirators,The artist with long black hair reaching past his shoulders.,0
326,microphone,microphone,1
327,Oracle Arena in Oakland,San Francisco Bay Bridge in San Francisco,0
328,five,five,1
329,the East End,the West End,0
330,1859,1869,0
331,"Engels, Saratov Oblast","Engels, Saratov Oblast",1
332,pitcher,pitcher,1
333,headband,headband,1
334,headband,headband,1
335,headband,headband,1
336,microphone,microphone,1
337,microphone,microphone,1
338,microphone,microphone,1
339,Real Madrid,Real Madrid,1
340,blue,blue,1
341,blue,blue,1
342,triangle,triangle,1
343,triangle,circle,0
344,Lionel Messi,Lionel Messi,1
345,Manchester United,Manchester United,1
346,Todd Bodine,Todd Bodine,1
347,no,no,1
348,the home stadium of the division winner with the better conference record,the home stadium of the division winner with the better conference record,1
349,Laurence Olivier and Lucie Arnaz,Laurence Olivier and Lucie Arnaz,1
350,Tony Bennett,Tony Bennett,1
351,yes,yes,1
