index,qid,question,origanswer,generatedanswer,correctness
0,1611,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",a,"The______ on the door says ""Do not Disturb.""",0
1,1612,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",b,The tablecloth had a hole in it.,0
2,1613,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",a,The image that would best fill in the blank is Image [0].,1
3,1614,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",b,The _____ in Image [1] is the same as the _____ in Image [0].,0
4,1615,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",b,The correct answer is image 1 because it is a picture of a microphone,1
5,1616,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",a,The image that can fill-in-the-blank is b.,0
6,1617,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",a,"The ____ is composed of three subunits: A, B, and C.",1
7,1618,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",b,The world's ______ population is projected to increase by about 1 billion people in the next 13 years.,1
8,1619,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",b,The correct answer is Image [0].,0
9,1620,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",a,a.,1
10,1621,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",b,The ______ is considered one of the first examples of photography.,0
11,1622,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",a,Image [0] is incorrect because it does not show two people. Image [1] is correct because it does show two people.,1
