qid,pred_ans,gt_ans,correctness
0,1,1,1
1,1,0,0
2,1,1,1
3,1,0,0
4,1,0,0
5,1,1,1
6,1,1,1
7,1,0,0
8,1,0,0
9,1,1,1
10,1,1,1
11,1,0,0
12,1,1,1
13,1,0,0
14,1,1,1
15,1,0,0
16,1,0,0
17,1,1,1
18,1,0,0
19,1,1,1
20,1,0,0
21,1,1,1
22,1,0,0
23,1,1,1
24,1,0,0
25,1,1,1
26,1,0,0
27,1,1,1
28,1,0,0
29,1,1,1
30,1,1,1
31,1,0,0
32,1,1,1
33,1,0,0
34,1,1,1
35,1,0,0
36,1,0,0
37,1,1,1
38,1,0,0
39,1,1,1
40,1,0,0
41,1,1,1
42,1,0,0
43,1,1,1
44,1,1,1
45,1,0,0
46,1,1,1
47,1,0,0
48,1,1,1
49,1,0,0
50,1,1,1
51,1,0,0
52,1,0,0
53,1,1,1
54,1,1,1
55,1,1,1
56,1,0,0
57,1,0,0
58,1,0,0
59,1,1,1
60,1,0,0
61,1,1,1
62,1,1,1
63,1,0,0
64,1,0,0
65,1,1,1
66,1,1,1
67,1,0,0
68,1,0,0
69,1,1,1
70,1,1,1
71,1,0,0
72,1,0,0
73,1,1,1
74,1,1,1
75,1,0,0
76,1,0,0
77,1,1,1
78,1,1,1
79,1,0,0
80,1,1,1
81,1,0,0
82,1,1,1
83,1,0,0
84,1,1,1
85,1,0,0
86,1,0,0
87,1,1,1
88,1,0,0
89,1,1,1
90,1,0,0
91,1,1,1
92,1,0,0
93,1,1,1
94,1,1,1
95,1,0,0
96,1,0,0
97,1,1,1
98,1,0,0
99,1,1,1
100,1,1,1
101,1,0,0
102,1,1,1
103,1,0,0
104,1,0,0
105,1,1,1
106,1,1,1
107,1,0,0
108,1,1,1
109,1,0,0
110,1,0,0
111,1,1,1
112,1,1,1
113,1,0,0
114,1,1,1
115,1,0,0
116,1,1,1
117,1,0,0
118,1,1,1
119,1,0,0
120,1,0,0
121,1,1,1
122,1,0,0
123,1,1,1
124,1,1,1
125,1,0,0
126,1,0,0
127,1,1,1
128,1,0,0
129,1,1,1
130,1,1,1
131,1,0,0
132,1,1,1
