qid,question,correct_answer,model_generated_answer,model_generated_answer_text,model_comparison
0,when did person in the image of south africa go into hospital?,3,2,Tuesday night,0
1,what is the status of person in the image in prison?,0,3,inproduction,0
2,who is the president of south africa who visited woman in the image in hospital?,1,0,Mac Jones,0
3,who did woman in the image go on american idol to help?,0,1,Silal Mission,0
4,where did person in the image go to get cancer treatment?,2,0,Milal Foundation,0
5,when is the inquest into person in the image taking place?,1,2,mid 2013,0
6,why is woman in the left of the image running for president in 2012?,1,1,yet to convince enough voters that he should replace the president.,1
7,states that are likely to vote for person in the left of the image in the presidential election?,3,3,battleground states,1
8,what states are likely to vote for person in the left of the image. obero in 2012?,1,2,Arizona.,0
9,who's running for president in 2012 woman in the left of the image. mccain or woman in the left of the image?,1,1,"Mr. Romney, a former governor of Massachusetts,",1
10,states where voters are likely to choose between woman in the left of the image and challenger?,1,1,battleground states,1
11,where are they campaigning for woman in the left of the image. mitt Romney in 2012?,3,1,Missouri,0
12,when is woman in the right of the image going to address the united nations?,3,1,Friday,0
13,who is the father of person in the image?,1,0,Matthew Hussey,0
14,when did man in the image come to power in russia?,0,0,May,1
15,who is the person that person in the center of the image is accused of killing?,2,3,Russian businessman Neil Heywood,0
16,who is person in the center of the image of in china's political scandal?,0,1,Canadian businessman Neil Heywood,0
17,why did the defendant kill man in the center of the image in texas?,0,2,Gu felt that the man in the center of the image was a threat to her son's safety.,0
18,where is person in the image of state clinton going to visit?,1,2,the North Pacific,0
19,what is the purpose of person in the image to china?,1,0,visiting a friend,0
20,when do person in the image and china meet in china?,0,0,next week,1
21,who is running for president against man in the center of the image?,3,3,Mitt Romney,1
22,countries that did person with the glasses in the image of state condemn at the osce summit in 2014?,3,0,"Tajikistan, Turkmenistan, Uzbekistan and Russia",0
23,who escaped the house arrest of man in the image?,2,0,blind businessperson Chen Guangcheng,0
24,who is person in the image of saudi arabia?,1,1,Prince Salman,1
25,who is person in the image of saudi arabia?,1,2,Prince Abdullah,0
26,who said china has treated person in the top of the image like a doormat?,2,2,Paul Ryan,1
27,who led woman in the left of the image in the greece election?,3,2,Lucas Papademos,0
28,where was person in the left of the image of naxal attack shifted to?,2,2,Safdarjung Hospital in New Delhi,1
29,who is person in the left of the image in india who was rescued from the bus?,2,2,the unnamed victim's family members,1
30,where was man in the left of the image who died in delhi hospital?,2,2,Safdarjung Hospital in New Delhi.,1
31,who did person in the image endorse for president in 2012?,2,2,Mitt Romney,1
32,who is trying to mediate between person in the left of the image and the government of malian?,0,1,Chad,0
33,where does person with the red dress in the image walk to get water in south sudan?,3,2,"Jalalabad, Afghanistan",0
34,where is man in the center of the image located in south sudan?,1,0,Gogrial,0
35,where did man in the image go after she left the uae?,2,1,Laos,0
36,what does woman in the image say about the state of the united states?,0,0,"the United States has all the ingredients to make the 21st century an “American Century,” like the 20th",1
37,what is the story behind person in the left of the image in uganda?,2,0,"Savio Niwagaba holds his newborn baby as his wife Chrisente, behind him, has a contraceptive implant inserted in her arm, Kibale, Uganda.",0
38,where is the man who had a vasectomy and person in the left of the image had a baby?,0,2,"Paul, Uganda",0
39,who is person in the top of the image of the country of ivory coast?,3,3,Alassane Ouattara,1
40,who is the leader of the senate and is woman in the right of the image on the fiscal cliff?,2,1,Chuck Schumer,0
41,who is man in the image of the united states running against?,0,1,Donald Trump,0
42,who is running against person in the image in the 2012 presidential election?,3,2,Darrell Castle,0
43,who is running against person in the image for president in ohio?,1,0,Donald Trump,0
44,who is running for president against person in the image in 2012?,1,3,Newt Gingrich,0
45,who did george man with the sunglasses in the image with in the 80's?,0,0,Bernard Wilson at their Freetown office. (VOA - N. deVries),1
46,who was the gay guy that worked with man with the sunglasses in the image?,3,3,Bernard Wilson,1
47,who person with the red dress in the image play in to rome with love?,2,1,Lulu,0
48,who is person with the black suit in the image on the senate armed forces committee?,0,0,Senator Richard Lugar,1
49,when did man in the image get pulled out of the water?,2,3,late evening Friday,0
50,how many kilometers did maria man in the image in the florida straits?,1,2,more than 120 kilometers,0
51,when did the war crimes charges against woman with the black jacket in the image come out?,3,3,2002,1
52,when did zimbabwe sign a credit line with man in the image?,1,2,Sunday,0
53,who is person in the right of the image of rwanda in the congo?,1,1,Paul Kagame,1
54,who agreed to send peacekeepers to person in the right of the image?,3,3,Great Lakes leaders,1
55,what is the role of man in the right of the image and kabila in eastern congo?,1,1,"any regional force sent into eastern Congo would complement rather than replace the United Nations peacekeepers, MONUSCO, who are already operating in the DRC.",1
56,who is the president of rwanda when person in the right of the image is in kampala?,2,0,Yoweri Museveni,0
57,who is man in the right of the image of rwanda in the congo?,3,2,Yoweri Museveni,0
58,who agreed to send peacekeepers to africa to support man in the right of the image?,2,2,Great Lakes leaders,1
59,who agreed to send peacekeepers to eastern congo when person in the right of the image met in kenya on Wednesday?,3,3,Great Lakes leaders,1
60,who did person in the right of the image write about in her state of the union address?,0,1,U.S. Senator Lindsey Graham,0
61,where did clint person in the right of the image speak at the general assembly?,1,1,"a development forum organized by her husband, former U.S. President Bill Clinton, in conjunction with this week's meeting of the United Nations General Assembly.",1
62,when did person in the left of the image get cancer?,2,0,3 years ago,0
63,who is running for president of venezuela against person with the glasses in the image?,0,3,Henrique Chavez,0
64,who is running for president of venezuela against man in the left of the image?,0,3,Eleazar López Contreras,0
65,who is blamed for the civil war between person with the glasses in the image and alawites?,3,2,The rebels,0
66,what is the location of the latest clash between woman in the left of the image and alawite?,0,0,Bab al-Tebbaneh and from the Alawite district of Jebal Mohsen,1
67,who is fighting between person in the left of the image and alawite in jerusalem?,1,1,the Alawites,1
68,what was the goal of the unification church when person in the image became the leader?,3,2,to establish a heavenly kingdom on the Korean peninsula with Moon as CEO,0
69,when is the election campaign for man in the image of the republic of ghana?,1,3,soon after the late president is ousted in a coup ,0
70,who is man in the image of the republic of ghana?,1,0,Prime Minister Mahama,0
71,what movie was the movie that woman in the center of the image shot up in colorado?,0,2,"midnight screening of the new Batman film, The Dark Knight Returns",0
72,where did george man in the left of the image and his wife go last year?,3,0,"Accra, Ghana",0
73,what does person in the center of the image have nominated for the people's choice awards?,1,2,Favorite TV Show,0
74,who was the leader of iran when man in the image was there?,0,3,Ibrahim Raisi,0
75,when is person in the image speaking at the un?,3,2,Next Thursday,0
76,what language will president france speak to man with the black suit in the image in kinshasa?,1,3,Russian,0
77,what does person in the right of the image do after he gets out of jail?,2,0,ineligible to run for parliament,0
78,where did man in the right of the image take control of in the civil war?,1,2,Khwaja Rawash air base,0
79,where did person with the black jacket in the image take control of in the civil war?,3,1,Khwaja Rawash air base,0
80,who is the author of the new research by person in the right of the image and george stein?,3,3,Tokyo University seismologist Robert Geller,1
81,who wrote the book expect the unexpected by person with the glasses in the image and stein?,0,0,Tokyo University seismologist Robert Geller,1
82,when did woman in the right of the image warn about the tsunami in japan?,0,3,11-Feb,0
83,why did man in the image come to australia to meet with australian officials?,1,2,to establish new trade agreements,0
84,where did british prime minister benjamin man in the image in 2012?,2,1,Los Angeles,0
85,where did man in the image of venezuela have cancer?,1,1,pelvic region,1
86,why are man in the center of the image in kinshasa pulling back?,0,0,to make way for political negotiations in accordance with a deal struck with the Congolese government,1
87,who did person with the black suit in the image choose as the leader of the free world?,1,1,European Union,1
88,how many medals does person in the left of the image have in the olympics?,1,3,2,0
89,who has the most olympic medals for man with the glasses in the image?,1,1,Larisa Latynina,1
90,who is going to beat man in the left of the image in the olympics?,3,2,Nathan Adrian,0
91,when did shannon hope write believe by man in the image?,2,0,one year ago,0
92,when did man in the image write the song believe?,0,1,two years ago,0
93,what does person in the image mean by why i bother?,1,2,condescension and mockery,0
94,who is the student of person in the image in khatra kabar?,0,0,Mohammed Kawam,1
95,who supports man in the image in his boycott of riyadh?,0,0,"ordinary people in Lebanon, Syria, Jordan and the Gulf.",1
96,where is man in the image of the salafist mosque located?,2,3,Omar Mateen mosque in Orlando,0
97,where is the sheikh of man in the left of the image located?,3,1,Omar Mateen mosque in Orlando,0
98,who was martyred in bomb blast in baluchistan including woman in the left of the image?,2,0,more than seven people,0
99,where are most of the somalis refugees coming from according to person in the left of the image?,3,0,neighboring Sudan and Djibouti,0
100,where are most of the somalis refugees going according to person in the left of the image?,3,2,neighboring Djibouti and Eritrea,0
101,where are most of the somali refugees going according to person with the red jacket in the image?,1,2,neighboring Djibouti and Eritrea,0
102,what treaty does person in the center of the image want us to join?,0,0,United Nations Convention on the Law of the Sea,1
103,who did person in the right of the image for the chemical attack in syria?,0,0,Assad government,1
104,when did person in the image die in real life?,1,0,4-Aug,0
105,when did person in the image died in real life?,3,0,3-Aug,0
106,when did person in the image die in real life?,2,0,4-Aug,0
107,when did woman in the image die in real life?,3,2,4-Aug,0
108,who is person in the image of pakistan at present?,1,0,Imran,0
109,who did man in the image choose as us president for africa?,0,3,President Clinton,0
110,who is man in the image of state talking about in africa?,2,3,President Clinton,0
111,who is traveling with person with the black jacket in the image to the united nations general assembly?,0,1,President Barack Obama,0
112,who is talking to man in the right of the image about the war in afghanistan?,0,1,New Zealand Prime Minister John Doe,0
113,when do they nominate mitt ryan to run against man in the image?,0,1,this week,0
114,who won the election in man with the white dress in the image last week?,1,0,Democratic Republic of the Congo (DRC),0
115,who won the election in man with the white dress in the image last week?,1,2,Democratic Republic of the Congo (DRC),0
116,when does person in the left of the image call for a deficit reduction deal?,0,3,December Birthdays,0
117,where did person in the left of the image and rahma go in the viva world cup?,1,2,Kurdish region of northern Syria,0
118,who replaced woman in the image as party leader in burma?,0,2,Lady Speaker Shwe Mann,0
