qid,pred_ans,gt_ans,correctness
0,2,0,0
1,2,3,0
2,2,0,0
3,2,0,0
4,2,0,0
5,2,0,0
6,2,0,0
7,2,2,1
8,2,3,0
9,2,3,0
10,2,0,0
11,2,2,1
12,2,3,0
13,2,1,0
14,2,1,0
15,2,1,0
16,2,2,1
17,2,0,0
18,2,2,1
19,2,3,0
20,2,1,0
21,2,0,0
22,2,0,0
23,2,3,0
24,2,2,1
25,2,2,1
26,2,1,0
27,2,3,0
28,2,3,0
29,2,2,1
30,2,0,0
31,2,3,0
32,2,2,1
33,2,0,0
34,2,1,0
35,2,0,0
36,2,2,1
37,2,0,0
38,2,3,0
39,2,1,0
40,0,1,0
41,0,2,0
42,0,2,0
43,0,3,0
44,0,0,1
45,0,2,0
46,0,2,0
47,0,1,0
48,0,2,0
49,0,1,0
50,0,2,0
51,0,3,0
52,0,1,0
53,0,2,0
54,0,0,1
55,0,3,0
56,0,0,1
57,0,3,0
58,0,0,1
59,0,2,0
60,0,2,0
61,0,0,1
62,0,3,0
63,0,0,1
64,0,1,0
65,0,2,0
66,0,0,1
67,0,3,0
68,0,0,1
69,0,1,0
70,0,3,0
71,0,3,0
72,0,1,0
73,0,1,0
74,0,1,0
75,0,3,0
76,0,2,0
77,0,3,0
78,0,0,1
79,0,3,0
80,2,3,0
81,2,0,0
82,2,3,0
83,2,2,1
84,2,0,0
85,0,2,0
86,0,3,0
87,0,3,0
88,0,1,0
89,0,3,0
90,2,2,1
91,2,3,0
92,2,1,0
93,2,1,0
94,2,1,0
95,0,1,0
96,0,2,0
97,0,0,1
98,0,3,0
99,0,2,0
