qid,gt_ans,pred_ans_blip,correctness_blip
0,True,True,1
1,False,True,0
2,True,True,1
3,False,True,0
4,True,False,0
5,False,False,1
6,True,True,1
7,False,True,0
8,True,False,0
9,False,False,1
10,True,False,0
11,True,False,0
12,True,False,0
13,False,False,1
14,True,False,0
15,False,False,1
16,True,False,0
17,False,False,1
18,True,False,0
19,False,False,1
20,True,True,1
21,False,False,1
22,True,True,1
23,False,True,0
24,True,True,1
25,False,True,0
26,True,True,1
27,False,True,0
28,True,True,1
29,False,False,1
30,True,False,0
31,False,False,1
32,True,True,1
33,False,True,0
34,True,True,1
35,False,True,0
36,True,True,1
37,False,True,0
38,True,False,0
39,False,False,1
40,True,False,0
41,False,False,1
42,True,True,1
43,False,False,1
44,True,True,1
45,False,True,0
46,True,False,0
47,False,False,1
48,True,False,0
49,False,True,0
50,True,False,0
51,False,False,1
52,True,False,0
53,False,False,1
54,True,False,0
55,False,False,1
56,True,False,0
57,False,False,1
58,True,True,1
59,False,False,1
60,True,False,0
61,False,False,1
62,True,False,0
63,False,False,1
64,True,True,1
65,False,True,0
66,True,False,0
67,False,False,1
68,True,True,1
69,False,False,1
70,True,False,0
71,False,False,1
72,True,False,0
73,False,False,1
74,True,True,1
75,False,True,0
76,True,False,0
77,False,False,1
78,True,True,1
79,False,True,0
80,True,False,0
81,False,False,1
82,True,False,0
83,False,False,1
84,True,True,1
85,False,True,0
86,True,False,0
87,False,True,0
88,True,True,1
89,False,False,1
90,True,True,1
91,False,False,1
92,True,False,0
93,False,False,1
94,True,False,0
95,False,True,0
96,True,True,1
97,False,True,0
98,True,True,1
99,False,False,1
100,True,True,1
101,True,True,1
102,True,False,0
103,False,False,1
104,True,True,1
105,False,True,0
106,True,False,0
107,False,False,1
108,True,False,0
109,False,False,1
110,True,True,1
111,False,True,0
112,True,False,0
113,False,False,1
114,True,False,0
115,False,False,1
116,True,True,1
117,False,False,1
118,True,False,0
119,False,False,1
120,True,True,1
121,False,True,0
122,True,False,0
123,False,False,1
124,True,True,1
125,False,True,0
126,True,True,1
127,False,True,0
128,True,True,1
129,False,True,0
130,True,True,1
131,False,False,1
132,True,False,0
133,True,False,0
134,True,True,1
135,False,False,1
136,True,True,1
137,False,True,0
138,True,False,0
139,False,False,1
140,True,True,1
141,False,False,1
142,True,True,1
143,False,True,0
144,True,False,0
145,False,False,1
146,True,False,0
147,False,False,1
148,True,True,1
149,False,False,1
150,True,False,0
151,False,True,0
152,True,True,1
153,False,False,1
154,True,True,1
155,False,True,0
156,True,True,1
157,False,True,0
158,True,False,0
159,False,False,1
160,True,True,1
161,False,True,0
162,True,False,0
163,True,False,0
164,True,True,1
165,False,False,1
166,True,False,0
167,False,False,1
168,True,False,0
169,True,False,0
170,True,True,1
171,False,False,1
172,True,True,1
173,False,True,0
174,True,False,0
175,False,False,1
176,True,False,0
177,False,False,1
178,True,True,1
179,False,True,0
180,True,True,1
181,False,True,0
182,True,True,1
183,False,False,1
184,True,True,1
185,False,True,0
186,True,True,1
187,True,True,1
188,True,True,1
189,True,True,1
190,True,False,0
191,False,False,1
192,True,True,1
193,False,False,1
194,True,False,0
195,False,False,1
196,True,False,0
197,True,False,0
198,True,False,0
199,False,False,1
200,True,False,0
201,False,False,1
202,True,False,0
203,False,False,1
204,True,True,1
205,False,False,1
206,True,False,0
207,False,True,0
208,True,False,0
209,False,False,1
210,True,True,1
211,False,True,0
212,True,False,0
213,False,False,1
214,True,False,0
215,False,True,0
216,True,True,1
217,False,True,0
218,True,True,1
219,False,True,0
220,True,False,0
221,False,True,0
222,True,True,1
223,False,False,1
224,True,True,1
225,False,True,0
226,True,True,1
227,False,True,0
228,True,True,1
229,False,True,0
230,True,True,1
231,False,True,0
232,True,False,0
233,True,False,0
234,True,True,1
235,False,True,0
236,True,True,1
237,False,True,0
238,True,False,0
239,True,False,0
240,True,True,1
241,True,True,1
242,False,False,1
243,False,False,1
244,True,True,1
245,False,True,0
246,True,False,0
247,False,True,0
248,True,True,1
249,False,False,1
250,True,True,1
251,True,True,1
252,True,True,1
253,False,True,0
254,True,False,0
255,True,False,0
256,True,False,0
257,False,False,1
258,True,True,1
259,False,True,0
260,True,True,1
261,True,True,1
262,True,False,0
263,False,False,1
264,True,False,0
265,False,False,1
266,True,False,0
267,False,False,1
268,True,False,0
269,False,False,1
270,True,True,1
271,False,True,0
272,True,True,1
273,True,True,1
274,True,True,1
275,False,True,0
276,True,False,0
277,False,False,1
278,True,False,0
279,False,False,1
280,True,True,1
281,False,False,1
282,True,True,1
283,False,True,0
284,True,True,1
285,False,True,0
286,True,False,0
287,True,False,0
288,True,True,1
289,True,True,1
290,True,False,0
291,False,False,1
