qid,pred_ans,gt_ans,correctness
0,1,0,0
1,1,0,0
2,1,0,0
3,1,2,0
4,1,0,0
5,1,1,1
6,1,1,1
7,1,1,1
8,1,0,0
9,1,2,0
10,1,0,0
11,1,1,1
12,1,3,0
13,1,0,0
14,1,1,1
15,1,3,0
16,1,3,0
17,1,1,1
18,1,3,0
19,1,3,0
20,1,1,1
21,1,0,0
22,1,0,0
23,1,1,1
24,1,0,0
25,1,3,0
26,1,2,0
27,1,0,0
28,1,2,0
29,1,3,0
30,1,0,0
31,1,1,1
32,1,0,0
33,1,1,1
34,1,1,1
35,1,2,0
36,1,2,0
37,1,0,0
38,1,0,0
39,1,3,0
40,1,2,0
41,1,1,1
42,1,1,1
43,1,3,0
44,1,0,0
45,1,2,0
46,1,1,1
47,1,1,1
48,1,2,0
49,1,1,1
50,1,3,0
51,1,2,0
52,1,1,1
53,1,1,1
54,1,2,0
55,1,0,0
56,1,1,1
57,1,0,0
58,1,0,0
59,1,1,1
60,1,2,0
61,1,1,1
62,1,0,0
63,1,0,0
64,1,0,0
65,1,3,0
66,1,3,0
67,1,1,1
68,1,3,0
69,1,3,0
70,1,0,0
71,1,3,0
72,1,0,0
73,1,1,1
74,1,1,1
75,1,0,0
76,1,2,0
77,1,0,0
78,1,0,0
79,1,1,1
80,1,2,0
81,1,2,0
82,1,1,1
83,1,1,1
84,1,1,1
85,1,1,1
86,1,1,1
87,1,1,1
88,1,0,0
89,1,0,0
90,1,1,1
91,1,3,0
92,1,0,0
93,1,1,1
94,1,0,0
95,1,2,0
96,1,3,0
97,1,3,0
98,1,1,1
99,1,1,1
100,1,0,0
101,1,1,1
102,1,2,0
103,1,3,0
104,1,3,0
105,1,3,0
106,1,1,1
107,1,2,0
108,1,3,0
109,1,1,1
110,1,3,0
111,1,1,1
112,1,3,0
113,1,2,0
114,1,1,1
115,1,3,0
116,1,3,0
117,1,1,1
118,1,3,0
119,1,2,0
120,1,0,0
121,1,1,1
122,1,1,1
123,1,1,1
124,1,3,0
125,1,0,0
126,1,1,1
127,1,0,0
128,1,3,0
129,1,2,0
130,1,0,0
131,1,3,0
132,1,0,0
133,1,1,1
134,1,0,0
135,1,2,0
136,1,2,0
137,1,3,0
138,1,2,0
139,1,1,1
140,1,0,0
141,1,0,0
142,1,1,1
143,1,0,0
144,1,1,1
145,1,3,0
146,1,1,1
147,1,1,1
148,1,1,1
149,1,2,0
150,1,0,0
151,1,3,0
152,1,2,0
153,1,0,0
154,1,2,0
155,1,2,0
156,1,1,1
157,1,1,1
158,1,0,0
159,1,2,0
160,1,1,1
161,1,1,1
162,1,0,0
163,1,1,1
164,1,1,1
165,1,0,0
166,1,2,0
167,1,3,0
168,1,0,0
169,1,1,1
170,1,2,0
171,1,2,0
172,1,1,1
173,1,0,0
174,1,2,0
175,1,3,0
176,1,1,1
177,1,0,0
178,1,0,0
179,1,1,1
180,1,3,0
181,1,3,0
182,1,0,0
183,1,1,1
184,1,1,1
185,1,0,0
186,1,1,1
187,1,0,0
188,1,2,0
189,1,0,0
190,1,2,0
191,1,1,1
192,1,1,1
193,1,1,1
194,1,2,0
195,1,1,1
196,1,0,0
197,1,2,0
198,1,0,0
199,1,1,1
200,1,2,0
201,1,3,0
202,1,0,0
203,1,3,0
204,1,3,0
205,1,2,0
206,1,2,0
207,1,1,1
208,1,1,1
209,1,0,0
210,1,1,1
211,1,2,0
212,1,2,0
213,1,3,0
214,1,1,1
215,1,3,0
216,1,2,0
217,1,1,1
218,1,2,0
219,1,2,0
220,1,0,0
221,1,0,0
222,1,2,0
223,1,1,1
224,1,3,0
225,1,2,0
226,1,1,1
227,1,2,0
228,1,0,0
229,1,3,0
230,1,1,1
231,1,3,0
232,1,1,1
233,1,2,0
234,1,2,0
235,1,3,0
236,1,2,0
237,1,3,0
238,1,2,0
239,1,1,1
240,1,0,0
241,1,2,0
242,1,3,0
243,1,1,1
244,1,0,0
245,1,2,0
246,1,3,0
247,1,1,1
248,1,3,0
249,1,2,0
250,1,0,0
