index,qid,question,origanswer,generatedanswer,correctness
0,95d0024e3ca84cc1ee663925a3ab02a7,The city from the 1949-50 La Liga with a poster featuring a tall missile shaped tower with a round cap is the capital of what country?,0,0,1
1,649b7c7701382656a30b8e2fe1adc102,Which team that played Barnsley F.C in the 1999-2000 season finals has a lower pos:  The team with a logo featuring a rose with attached leaves or the team who got relegated from the premier league in 2018?,0,1,0
2,45ce7a7f6d94adfaec92b1952097031a,When will the light rail be completed in the in the city with a large arched bridge listed in the Australia national rugby union team test match of 97?,0,1,0
3,6b07d6ac5f7bb5829775bcedfdda89dd,"What is the duration of the flight from Dallas to the city with a long, arched bridge that competed in the 1997 Australia National Rugby Union team test match?",0,0,1
4,f952c51926f356868b53ef7a6042abec,"What is the singer of Titanic's ""My Heart Will Go On"" wearing on her wrists?",1,0,0
5,3a10097258ddb84b961c37cd7c30d089,The formula 1 abu dhabi grand prix tournament was won by this driver who is wearing what on his head?,0,0,1
6,86a90276c7d6fee4489f1c5920239b44,"In the city where the first internet cafe was started, what color are the flowers on a hill overlooking the bridge?",0,0,1
7,1ea914ec59ea6c628e841b20faf12990,"In the picture showing the same locations where the hall of fame for toys is located, how many statues are in it?",0,1,0
8,f2cbf515f060d7fe944295718c2b3c55,The original artist of just the way you are has what color hair?,1,0,0
9,c2dea48e58cb4f1b81b90727a61de7f1,What common law state with an eagle on the flag has an institution in the North region of Division II of the NCCAA?,1,0,0
10,7c815bb1825468305c7df8071421105a,When was most recent time the African-American player in the third round of the Masters Tournament of 2010 was number 1?,0,0,1
11,84ed3c0a30c94eefd441d487040e152e,"The artist that collaborated with the artist who recorded ""Forgot About Dre"", is wearing how many chains on his neck?",1,1,1
12,4e2ba6236b542086bbdd7882e085adef,What division of the army is usually commanded by an officer of the rank that Iqroop Singh Ghuman achieved which has three stars above crossed swords?,1,0,0
13,1ee26c71d7d2438ebc8c2a818d0d7780,"Among Major-League teams that are affiliated with the International League, does the team with a baseball bat on their logo have a mascot?",0,1,0
14,5a79d69eb49a279b22079afa412a97c1,"Among MLB teams that are currently affiliated with the International League, when did the team with a baseball bat on their logo last win a World Series tournament?",0,0,1
15,345310149db36dc584ccc77dcaa12fde,What is the number of wins at the Phoenix Raceway for the driver wearing a red cap that was in the top 10 at the Pennzoil Freedom 400 in 2001?,1,0,0
16,7cab7f0373581a717d5c704ddfaea47f,"Among the top-ten drivers at 2001's Pennzoil Freedom 400, who scored a higher position: the driver with the most Xfinity-Series victories, or the driver shown in a red hat?",1,0,0
17,60b4d0baefaa10b125a68d3275e36cf8,"What is the color of the suit coat that is worn by the man who sings the lyrics, ""This is ground control to major Tom""?",1,0,0
18,f5f514b5f85db1da4ea9f7a6eacc0b7e,The person who sang heores is wearing jacket of what color?,0,1,0
19,d5180ee79c0c074aa5855233a9805556,Has the African-American player in the Second Round of the 1998 Masters tournament ever managed to win all four of the majors in a single year?,0,0,1
20,f288b55985e2c55651351d52780ea70d,What was the most recent year in which the African-American player who competed in the second round of the 1998 Masters Tournament achieved an overall rank of Number One?,0,0,1
21,a81a665d34b35d44db5cb39b9dc81522,In what year did the African-American player who competed in round two of the 1998 Masters Tournament first win at the Masters?,1,0,0
22,da2c8a4278a3e147507b05ac3eafa9cb,"In this photo of the location of the ohio state fair, what structure is over the body of water?",0,0,1
23,8d42a3bfe6e3bb79106e8f72c5213d1e,"Which theatre production did Adam Bond appear in first: the production whose poster features a bird, or the opera that Luigi Piazza was involved in on the 11th of March, 1851?",0,1,0
24,8829d87e5039f26c9e30468ed88b8b9b,"In the service games won during the 2015 WTA Tour, who did the player of African-American descent beat at the Olympics?",1,0,0
25,6d2676728a85e2f022f4abdd578314ca,"in SERVICE GAMES WON of 2015 WTA tour, what does the player that is of African-descent do for a living?",1,1,1
26,f80725a53de47dbfe14cadc2c75a0319,"In the location that has a green copper statue of a woman holding a torch in the air that was a site of the 1958 NCAA University Division Basketball Tournament, when were the subways built?",1,0,0
27,49afb89473275187357775e57e405844,"In the location of the NCAA University Basketball Division Tournament of 1958 that features a green copper statue of a woman holding a torch up in the air, are there any embassies?",0,0,1
28,1cf74625e16b1bcac3324e7ae026180e,"Among the list of loans-in for Sheffield United's 20019-10. season, which team has an animal in their logo and also was promoted to the Premier League in 2018",0,1,0
29,b2cd50976b1825e21706bfcb0a59461b,Where is the  B. Bennett title depicting up right boots on the poster based out of?,0,0,1
30,a59b1580c59cf5c2513fac7f25f7dd59,who was casted as cami harris on Beck Bennett’s TV series that has a pair of upright boots on its poster?,0,0,1
31,cb8c44f48dfa2cdcabadb6c7350376e2,"In the shows for Beck Bennett, for the title with a poster that has a pair of boots, who plays the daughter born last?",1,1,1
32,c8ef423bc18a1bbe9fd5959a71dc6037,The collage featuring the element mined in both Discovery Mine and Outpost Island Mine has how many images?,1,0,0
33,72dc3a6e37ad7683a66c2c4bfb9933a5,How many individual pictures are shown of the ore that both Thompson-Lundmark Mine and Leckie Mine yielded?,1,1,1
34,ecab01544d2dae415293d4d7974aca6e,The team that was in the NFL Draft of the 2016 American Athletic Conference football season with an animal on its logo uses which colors?,1,0,0
35,30a9d3b9976387ce79b90cefa25250be,"The NFL team, that were involved in the 2016 American Athletic Conference football season draft and which have an animal logo, played against whom in the Super Bowl?",1,0,0
36,2d4bb306f5b9a3ca50d1ede53762b403,"The team that took part in the NFL draft during the American Athletic Conference's 2016 football season, and whose logo features a bird, faced off against whom in Super Bowl competition?",0,0,1
37,f692b79420dd680022e711eacb604bdd,"In this collage of the city in Pennsylvania in which a company produces HP sauce, what sport is being played in one of the photos?",0,0,1
38,ec7795894d6696acea9e93dd85488bdd,"In this collage of the city where Rebecca and Jack from this is us live, what sport is being played in one of the photos?",1,1,1
39,0e34d8e79a31c029e7ae4a241f53b63c,What player had the positon situated at the end of a horizontal row of players for the dallas cowboys and also played offense on the All-Pro Team of 2013?,1,1,1
40,5abdfe3f9ae61a6030f730ccc1b6414f,"In the starting lineup at the 1960 Los Angeles Dodgers season, the player in which position stands on an elevated mound and throws the ball toward a teammate who is located at the narrowest point of the field?",1,1,1
