qid,pred_ans,gt_ans,correctness
0,0,0,1
1,0,1,0
2,0,1,0
3,0,0,1
4,0,0,1
5,0,0,1
6,0,1,0
7,0,1,0
8,0,0,1
9,0,0,1
10,0,0,1
11,0,1,0
12,0,1,0
13,0,1,0
14,0,0,1
15,0,0,1
16,0,1,0
17,0,1,0
18,0,1,0
19,0,1,0
20,0,0,1
21,0,0,1
22,0,0,1
23,0,0,1
24,0,1,0
25,0,1,0
26,0,1,0
27,0,1,0
28,0,1,0
29,0,1,0
30,0,1,0
31,0,0,1
32,0,1,0
33,0,0,1
34,0,0,1
35,0,1,0
36,0,1,0
37,0,1,0
38,0,0,1
39,0,1,0
40,0,1,0
41,0,0,1
42,0,0,1
43,0,0,1
44,0,1,0
45,0,0,1
46,0,1,0
47,0,0,1
48,0,1,0
49,0,0,1
50,0,1,0
51,0,1,0
52,0,1,0
53,0,1,0
54,0,1,0
55,0,1,0
56,0,0,1
57,0,0,1
58,0,0,1
59,0,1,0
60,0,0,1
61,0,0,1
62,0,1,0
63,0,0,1
64,0,1,0
65,0,1,0
66,0,1,0
67,0,0,1
68,0,0,1
69,0,0,1
70,0,0,1
71,0,0,1
72,0,1,0
73,0,1,0
74,0,0,1
75,0,0,1
76,0,0,1
77,0,0,1
78,0,0,1
79,0,0,1
80,0,0,1
81,0,0,1
82,0,0,1
83,0,1,0
84,0,0,1
85,0,0,1
86,0,1,0
87,0,0,1
88,0,0,1
89,0,1,0
90,0,1,0
91,0,0,1
92,0,0,1
93,0,0,1
94,0,1,0
95,0,1,0
96,0,0,1
97,0,1,0
98,0,0,1
99,0,1,0
100,0,1,0
101,0,1,0
102,0,0,1
103,0,0,1
104,0,1,0
105,0,0,1
106,0,0,1
107,0,1,0
108,0,0,1
109,0,0,1
110,0,0,1
111,0,0,1
112,0,1,0
113,0,1,0
114,0,0,1
115,0,1,0
116,0,0,1
117,0,1,0
118,0,1,0
119,0,0,1
120,0,1,0
121,0,1,0
122,0,0,1
123,0,0,1
124,0,0,1
125,0,0,1
126,0,1,0
127,0,0,1
128,0,1,0
129,0,0,1
130,0,0,1
131,0,1,0
132,0,1,0
133,0,1,0
134,0,0,1
135,0,0,1
136,0,1,0
137,0,0,1
138,0,0,1
139,0,1,0
140,0,1,0
141,0,1,0
142,0,0,1
143,0,1,0
144,0,1,0
145,0,1,0
146,0,1,0
147,0,1,0
148,0,0,1
149,0,0,1
150,0,0,1
151,0,0,1
152,0,1,0
153,0,0,1
154,0,1,0
155,0,0,1
156,0,0,1
157,0,1,0
158,0,0,1
159,0,1,0
160,0,1,0
