qid,pred_ans,gt_ans,correctness
100,0,2,0
101,0,3,0
102,0,0,1
103,0,1,0
104,0,1,0
105,0,0,1
106,0,0,1
107,0,1,0
108,0,2,0
109,0,3,0
110,0,1,0
111,0,2,0
112,0,1,0
113,0,1,0
114,0,0,1
115,0,3,0
116,0,2,0
117,0,3,0
118,0,0,1
119,0,1,0
120,0,0,1
121,0,2,0
122,0,0,1
123,0,3,0
124,0,3,0
125,0,3,0
126,0,3,0
127,0,2,0
128,0,0,1
129,0,0,1
130,0,1,0
131,0,2,0
132,0,0,1
133,0,0,1
134,0,0,1
135,0,2,0
136,0,1,0
137,0,0,1
138,0,3,0
139,0,0,1
140,0,2,0
141,0,3,0
142,0,1,0
143,0,1,0
144,0,2,0
145,0,1,0
146,0,2,0
147,0,0,1
148,0,1,0
149,0,3,0
