qid,pred_ans,gt_ans,correctness
0,0,1,0
1,0,0,1
2,0,1,0
3,0,1,0
4,0,1,0
5,0,0,1
6,0,1,0
7,0,1,0
8,0,0,1
9,0,0,1
10,0,1,0
11,0,0,1
12,0,1,0
13,0,0,1
14,0,1,0
15,0,0,1
16,0,0,1
17,0,1,0
18,0,0,1
19,0,1,0
20,0,0,1
21,0,0,1
22,0,1,0
23,0,1,0
24,0,0,1
25,0,0,1
26,0,1,0
27,0,1,0
28,0,0,1
29,0,1,0
30,0,0,1
31,0,0,1
32,0,0,1
33,0,1,0
34,0,0,1
35,0,0,1
36,0,1,0
37,0,0,1
38,0,1,0
39,0,0,1
40,0,0,1
41,0,0,1
42,0,0,1
43,0,0,1
44,0,0,1
45,0,1,0
46,0,0,1
47,0,0,1
48,0,1,0
49,0,0,1
50,0,1,0
51,0,1,0
52,0,1,0
53,0,1,0
54,0,0,1
55,0,0,1
56,0,0,1
57,0,1,0
58,0,0,1
59,0,0,1
60,0,1,0
61,0,1,0
62,0,1,0
63,0,0,1
64,0,0,1
65,0,0,1
66,0,1,0
67,0,0,1
68,0,0,1
69,0,0,1
70,0,0,1
