index,filenumber,qid,question,origanswer,generatedanswer,correctness
20000,11,216656,"Question: 
Answer Choices are: 
a. [0, 1, 3, 5, 4, 2]
b. [5, 0, 1, 3, 4, 2]
c. [4, 5, 1, 0, 2, 3]
d. [2, 4, 3, 0, 1, 5]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,"c. [4, 5, 1, 0, 2, 3]",0
20001,11,2166593,"Question: 
Answer Choices are: 
a. [4, 2, 3, 0, 1]
b. [3, 2, 4, 1, 0]
c. [4, 3, 0, 1, 2]
d. [1, 0, 4, 3, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,The answer is c.,0
20002,11,216659,"Question: 
Answer Choices are: 
a. [0, 4, 2, 1, 3]
b. [3, 4, 1, 2, 0]
c. [0, 3, 4, 2, 1]
d. [1, 3, 2, 0, 4]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,The correct answer is c.,0
20003,11,2166945,"Question: 
Answer Choices are: 
a. [1, 3, 5, 2, 0, 4]
b. [1, 5, 2, 3, 4, 0]
c. [1, 3, 0, 2, 5, 4]
d. [0, 4, 3, 2, 1, 5]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,The correct order of events is c.,0
20004,11,2167133,"Question: 
Answer Choices are: 
a. [4, 1, 2, 7, 5, 3, 6, 0]
b. [2, 0, 6, 5, 3, 7, 1, 4]
c. [6, 7, 3, 4, 0, 2, 5, 1]
d. [5, 2, 7, 1, 3, 0, 6, 4]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,"The correct order of events is a. [4, 1, 2, 7, 5, 3, 6, 0]",0
20005,11,2167309,"Question: 
Answer Choices are: 
a. [2, 4, 1, 5, 0, 3]
b. [0, 1, 2, 4, 5, 3]
c. [2, 3, 0, 5, 4, 1]
d. [5, 3, 1, 0, 4, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"c. [2, 3, 0, 5, 4, 1]",1
20006,11,2167326,"Question: 
Answer Choices are: 
a. [6, 2, 1, 0, 3, 5, 4]
b. [6, 1, 0, 5, 4, 3, 2]
c. [1, 2, 3, 4, 6, 5, 0]
d. [6, 0, 3, 4, 5, 2, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,"d. [6, 0, 3, 4, 5, 2, 1]",0
20007,11,2167499,"Question: 
Answer Choices are: 
a. [0, 1, 2, 3]
b. [3, 2, 0, 1]
c. [0, 2, 1, 3]
d. [0, 1, 2, 3]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"d. [0, 1, 2, 3]",1
20008,11,2167524,"Question: 
Answer Choices are: 
a. [0, 1]
b. [1, 0]
c. [0, 1]
d. [1, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,The answer is c.,1
20009,11,2167527,"Question: 
Answer Choices are: 
a. [1, 2, 0, 3, 4]
b. [3, 1, 2, 4, 0]
c. [1, 2, 3, 0, 4]
d. [4, 1, 2, 3, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,The answer is c.,0
