qid,question,origanswer,generatedanswer,correctness
0,Specify the correct matching by choosing one of the 0 or 1,1,0,0
1,Specify the correct matching by choosing one of the 0 or 1,1,1,1
2,Specify the correct matching by choosing one of the 0 or 1,0,0,1
3,Specify the correct matching by choosing one of the 0 or 1,1,0,0
4,Specify the correct matching by choosing one of the 0 or 1,0,0,1
5,Specify the correct matching by choosing one of the 0 or 1,0,0,1
6,Specify the correct matching by choosing one of the 0 or 1,1,1,1
7,Specify the correct matching by choosing one of the 0 or 1,0,0,1
8,Specify the correct matching by choosing one of the 0 or 1,0,1,0
9,Specify the correct matching by choosing one of the 0 or 1,0,0,1
10,Specify the correct matching by choosing one of the 0 or 1,0,0,1
11,Specify the correct matching by choosing one of the 0 or 1,1,1,1
12,Specify the correct matching by choosing one of the 0 or 1,1,1,1
13,Specify the correct matching by choosing one of the 0 or 1,0,1,0
14,Specify the correct matching by choosing one of the 0 or 1,1,0,0
15,Specify the correct matching by choosing one of the 0 or 1,1,0,0
16,Specify the correct matching by choosing one of the 0 or 1,0,0,1
17,Specify the correct matching by choosing one of the 0 or 1,1,0,0
18,Specify the correct matching by choosing one of the 0 or 1,0,0,1
19,Specify the correct matching by choosing one of the 0 or 1,0,0,1
20,Specify the correct matching by choosing one of the 0 or 1,1,0,0
21,Specify the correct matching by choosing one of the 0 or 1,0,0,1
22,Specify the correct matching by choosing one of the 0 or 1,1,1,1
23,Specify the correct matching by choosing one of the 0 or 1,1,0,0
24,Specify the correct matching by choosing one of the 0 or 1,0,0,1
25,Specify the correct matching by choosing one of the 0 or 1,0,0,1
26,Specify the correct matching by choosing one of the 0 or 1,1,0,0
27,Specify the correct matching by choosing one of the 0 or 1,1,0,0
28,Specify the correct matching by choosing one of the 0 or 1,0,0,1
29,Specify the correct matching by choosing one of the 0 or 1,1,0,0
30,Specify the correct matching by choosing one of the 0 or 1,1,0,0
31,Specify the correct matching by choosing one of the 0 or 1,0,0,1
32,Specify the correct matching by choosing one of the 0 or 1,0,0,1
33,Specify the correct matching by choosing one of the 0 or 1,1,0,0
34,Specify the correct matching by choosing one of the 0 or 1,1,0,0
35,Specify the correct matching by choosing one of the 0 or 1,1,0,0
36,Specify the correct matching by choosing one of the 0 or 1,0,0,1
37,Specify the correct matching by choosing one of the 0 or 1,1,0,0
38,Specify the correct matching by choosing one of the 0 or 1,1,1,1
39,Specify the correct matching by choosing one of the 0 or 1,1,0,0
40,Specify the correct matching by choosing one of the 0 or 1,0,1,0
41,Specify the correct matching by choosing one of the 0 or 1,1,0,0
42,Specify the correct matching by choosing one of the 0 or 1,1,0,0
43,Specify the correct matching by choosing one of the 0 or 1,1,0,0
44,Specify the correct matching by choosing one of the 0 or 1,0,0,1
45,Specify the correct matching by choosing one of the 0 or 1,1,0,0
46,Specify the correct matching by choosing one of the 0 or 1,1,0,0
47,Specify the correct matching by choosing one of the 0 or 1,0,0,1
48,Specify the correct matching by choosing one of the 0 or 1,1,1,1
49,Specify the correct matching by choosing one of the 0 or 1,1,1,1
50,Specify the correct matching by choosing one of the 0 or 1,1,1,1
51,Specify the correct matching by choosing one of the 0 or 1,0,0,1
52,Specify the correct matching by choosing one of the 0 or 1,0,0,1
53,Specify the correct matching by choosing one of the 0 or 1,1,1,1
54,Specify the correct matching by choosing one of the 0 or 1,0,0,1
55,Specify the correct matching by choosing one of the 0 or 1,0,1,0
56,Specify the correct matching by choosing one of the 0 or 1,0,0,1
57,Specify the correct matching by choosing one of the 0 or 1,0,0,1
58,Specify the correct matching by choosing one of the 0 or 1,1,0,0
59,Specify the correct matching by choosing one of the 0 or 1,0,0,1
60,Specify the correct matching by choosing one of the 0 or 1,0,0,1
61,Specify the correct matching by choosing one of the 0 or 1,0,0,1
62,Specify the correct matching by choosing one of the 0 or 1,0,0,1
63,Specify the correct matching by choosing one of the 0 or 1,1,0,0
64,Specify the correct matching by choosing one of the 0 or 1,1,1,1
65,Specify the correct matching by choosing one of the 0 or 1,1,0,0
66,Specify the correct matching by choosing one of the 0 or 1,0,0,1
67,Specify the correct matching by choosing one of the 0 or 1,0,0,1
68,Specify the correct matching by choosing one of the 0 or 1,0,1,0
69,Specify the correct matching by choosing one of the 0 or 1,0,0,1
70,Specify the correct matching by choosing one of the 0 or 1,0,1,0
71,Specify the correct matching by choosing one of the 0 or 1,1,0,0
72,Specify the correct matching by choosing one of the 0 or 1,0,1,0
73,Specify the correct matching by choosing one of the 0 or 1,0,1,0
74,Specify the correct matching by choosing one of the 0 or 1,0,1,0
75,Specify the correct matching by choosing one of the 0 or 1,0,1,0
76,Specify the correct matching by choosing one of the 0 or 1,0,1,0
77,Specify the correct matching by choosing one of the 0 or 1,0,0,1
78,Specify the correct matching by choosing one of the 0 or 1,1,0,0
79,Specify the correct matching by choosing one of the 0 or 1,1,0,0
80,Specify the correct matching by choosing one of the 0 or 1,0,0,1
81,Specify the correct matching by choosing one of the 0 or 1,0,0,1
82,Specify the correct matching by choosing one of the 0 or 1,1,0,0
83,Specify the correct matching by choosing one of the 0 or 1,0,1,0
84,Specify the correct matching by choosing one of the 0 or 1,0,1,0
85,Specify the correct matching by choosing one of the 0 or 1,1,0,0
86,Specify the correct matching by choosing one of the 0 or 1,0,0,1
87,Specify the correct matching by choosing one of the 0 or 1,0,1,0
88,Specify the correct matching by choosing one of the 0 or 1,0,0,1
89,Specify the correct matching by choosing one of the 0 or 1,1,1,1
90,Specify the correct matching by choosing one of the 0 or 1,0,0,1
91,Specify the correct matching by choosing one of the 0 or 1,1,1,1
92,Specify the correct matching by choosing one of the 0 or 1,0,0,1
93,Specify the correct matching by choosing one of the 0 or 1,0,1,0
94,Specify the correct matching by choosing one of the 0 or 1,0,0,1
95,Specify the correct matching by choosing one of the 0 or 1,0,0,1
96,Specify the correct matching by choosing one of the 0 or 1,0,1,0
97,Specify the correct matching by choosing one of the 0 or 1,1,0,0
98,Specify the correct matching by choosing one of the 0 or 1,0,1,0
99,Specify the correct matching by choosing one of the 0 or 1,0,1,0
100,Specify the correct matching by choosing one of the 0 or 1,0,0,1
101,Specify the correct matching by choosing one of the 0 or 1,1,0,0
102,Specify the correct matching by choosing one of the 0 or 1,0,1,0
103,Specify the correct matching by choosing one of the 0 or 1,0,1,0
104,Specify the correct matching by choosing one of the 0 or 1,1,0,0
105,Specify the correct matching by choosing one of the 0 or 1,0,0,1
106,Specify the correct matching by choosing one of the 0 or 1,0,0,1
107,Specify the correct matching by choosing one of the 0 or 1,0,0,1
108,Specify the correct matching by choosing one of the 0 or 1,0,1,0
109,Specify the correct matching by choosing one of the 0 or 1,0,0,1
110,Specify the correct matching by choosing one of the 0 or 1,1,0,0
111,Specify the correct matching by choosing one of the 0 or 1,1,0,0
112,Specify the correct matching by choosing one of the 0 or 1,1,0,0
113,Specify the correct matching by choosing one of the 0 or 1,1,0,0
114,Specify the correct matching by choosing one of the 0 or 1,1,1,1
115,Specify the correct matching by choosing one of the 0 or 1,1,0,0
116,Specify the correct matching by choosing one of the 0 or 1,0,0,1
117,Specify the correct matching by choosing one of the 0 or 1,0,0,1
118,Specify the correct matching by choosing one of the 0 or 1,0,0,1
119,Specify the correct matching by choosing one of the 0 or 1,0,0,1
120,Specify the correct matching by choosing one of the 0 or 1,1,0,0
121,Specify the correct matching by choosing one of the 0 or 1,0,0,1
122,Specify the correct matching by choosing one of the 0 or 1,1,0,0
123,Specify the correct matching by choosing one of the 0 or 1,1,0,0
124,Specify the correct matching by choosing one of the 0 or 1,1,0,0
125,Specify the correct matching by choosing one of the 0 or 1,1,1,1
126,Specify the correct matching by choosing one of the 0 or 1,0,0,1
127,Specify the correct matching by choosing one of the 0 or 1,1,0,0
128,Specify the correct matching by choosing one of the 0 or 1,0,0,1
129,Specify the correct matching by choosing one of the 0 or 1,0,1,0
130,Specify the correct matching by choosing one of the 0 or 1,1,0,0
131,Specify the correct matching by choosing one of the 0 or 1,0,1,0
132,Specify the correct matching by choosing one of the 0 or 1,1,0,0
133,Specify the correct matching by choosing one of the 0 or 1,1,0,0
134,Specify the correct matching by choosing one of the 0 or 1,1,0,0
135,Specify the correct matching by choosing one of the 0 or 1,1,0,0
136,Specify the correct matching by choosing one of the 0 or 1,0,0,1
137,Specify the correct matching by choosing one of the 0 or 1,1,0,0
138,Specify the correct matching by choosing one of the 0 or 1,1,0,0
139,Specify the correct matching by choosing one of the 0 or 1,1,0,0
140,Specify the correct matching by choosing one of the 0 or 1,0,1,0
141,Specify the correct matching by choosing one of the 0 or 1,1,0,0
142,Specify the correct matching by choosing one of the 0 or 1,1,1,1
143,Specify the correct matching by choosing one of the 0 or 1,1,0,0
144,Specify the correct matching by choosing one of the 0 or 1,0,0,1
145,Specify the correct matching by choosing one of the 0 or 1,0,0,1
146,Specify the correct matching by choosing one of the 0 or 1,0,0,1
147,Specify the correct matching by choosing one of the 0 or 1,1,0,0
148,Specify the correct matching by choosing one of the 0 or 1,0,1,0
149,Specify the correct matching by choosing one of the 0 or 1,1,1,1
150,Specify the correct matching by choosing one of the 0 or 1,0,1,0
151,Specify the correct matching by choosing one of the 0 or 1,1,1,1
