qid,question,origanswer,generatedanswer,correctness
d5bbc91c0dba11ecb1e81171463288e9,"""What color are both domes on the Imam Husayn Shrine and the  Imam Ali Shrine?""",1,1,1
d5bbcc5a0dba11ecb1e81171463288e9,"""Which has a wider selection of cardio equipment; Planet Fitness in Cincinnati, or ACPE-Campus Gym?""",1,0,0
d5bbcfa20dba11ecb1e81171463288e9,"""Does the Big Ferris Wheel at Palette Town in Tokyo light up at night?""",0,1,0
d5bbd04c0dba11ecb1e81171463288e9,"""What grows both near the ""Lion Pavilion"" in the Chinese University of Hong Kong and in the Iran Pavilion?""",0,1,0
d5bbda240dba11ecb1e81171463288e9,"""What is the primary color of the majority of buildings at both Olympic Park Rio and Olympic Park London?""",0,0,1
d5bbdb6e0dba11ecb1e81171463288e9,"""Which has a larger area for sound to escape: Clarinet Bell or Native American flute?""",1,0,0
d5bbe0820dba11ecb1e81171463288e9,"""Does the brain cactus or the Crassula tecta appear to be softer to the touch?""",0,1,0
d5bbe5320dba11ecb1e81171463288e9,"""How many more columns are there at Dana Chemistry Hall, Campus of Bates College than Hathorn Hall?""",0,1,0
d5bbea8c0dba11ecb1e81171463288e9,"""What two colors do the 2000 Sydney Olympic torch and the 1980 Moscow torch have in common?""",1,1,1
d5bbf2340dba11ecb1e81171463288e9,"""How do you access the 1996 Atlanta olympic cauldron?""",0,0,1
d5bbf2840dba11ecb1e81171463288e9,"""What grows near both the Garden of Cultivation and a stone pavilion?""",0,1,0
d5bbf5220dba11ecb1e81171463288e9,"""Where do ski athletes wear their numbers during competitions?""",0,0,1
d5bbf5720dba11ecb1e81171463288e9,"""Between Sarajevo Bobbahn Olympia and Gro Bosna Sarajevo do either or both have graffiti on the walls?""",1,1,1
d5bbf7fc0dba11ecb1e81171463288e9,"""What is sometimes hung from Credit Suisse Paradeplatz and sometimes not?""",0,0,1
d5bbfa360dba11ecb1e81171463288e9,"""Which has wider pedals, the Old Pump Organ in Fayette Music Hall or the 1929 Broadwood Baby Grand Piano?""",1,1,1
