qid,question,origanswer,generatedanswer,correctness
0,How many spheres are there ?,4,22,0
1,How many metal objects are there ?,10,22,0
2,How many large objects are there ?,8,18,0
3,How many rubber objects are there ?,6,22,0
4,How many gray objects are there ?,5,23,0
5,How many large objects are there ?,7,17,0
6,How many spheres are there ?,4,22,0
7,How many metal objects are there ?,3,20,0
8,How many small metal objects are there ?,6,18,0
9,How many blue objects are there ?,5,22,0
10,How many cubes are there ?,7,18,0
11,How many gray spheres are there ?,4,22,0
12,How many small cubes are there ?,3,24,0
13,How many small metal spheres are there ?,3,22,0
14,How many rubber objects are there ?,6,24,0
15,How many red objects are there ?,5,17,0
16,How many purple objects are there ?,3,24,0
17,How many large objects are there ?,7,20,0
18,How many cubes are there ?,4,28,0
19,How many small objects are there ?,4,22,0
20,How many purple objects are there ?,4,20,0
21,How many metal objects are there ?,7,15,0
22,How many cubes are there ?,5,23,0
23,How many metal objects are there ?,7,27,0
24,How many small spheres are there ?,3,22,0
25,How many blue objects are there ?,3,15,0
26,How many red objects are there ?,5,24,0
27,How many yellow objects are there ?,3,18,0
28,How many yellow objects are there ?,4,18,0
29,How many green rubber objects are there ?,3,18,0
30,How many large cyan objects are there ?,5,22,0
31,How many small metal objects are there ?,3,22,0
32,How many rubber objects are there ?,6,22,0
33,How many small objects are there ?,9,22,0
34,How many cubes are there ?,4,24,0
35,How many brown cubes are there ?,3,20,0
36,How many small yellow objects are there ?,4,14,0
37,How many large objects are there ?,3,23,0
38,How many rubber objects are there ?,3,22,0
39,How many metal objects are there ?,6,22,0
40,How many green rubber objects are there ?,4,23,0
41,How many large objects are there ?,9,23,0
42,How many cylinders are there ?,5,19,0
43,How many small metal objects are there ?,3,23,0
44,How many cyan objects are there ?,4,22,0
45,How many brown metal objects are there ?,3,18,0
46,How many large gray objects are there ?,3,18,0
47,How many red rubber objects are there ?,3,20,0
48,How many cyan objects are there ?,3,14,0
49,How many brown objects are there ?,4,28,0
50,How many cylinders are there ?,5,23,0
51,How many spheres are there ?,4,24,0
52,How many large cubes are there ?,3,24,0
53,How many rubber objects are there ?,8,22,0
54,How many blue objects are there ?,3,17,0
55,How many spheres are there ?,4,22,0
56,How many small metal objects are there ?,4,22,0
57,How many green metal objects are there ?,3,18,0
58,How many metal objects are there ?,4,18,0
59,How many yellow objects are there ?,3,22,0
60,How many cyan spheres are there ?,3,18,0
61,How many red metal objects are there ?,4,15,0
62,How many yellow metal cylinders are there ?,3,20,0
63,How many purple metal objects are there ?,3,17,0
64,How many cyan rubber objects are there ?,3,18,0
65,How many cubes are there ?,4,23,0
66,How many red rubber spheres are there ?,3,22,0
67,How many cylinders are there ?,6,22,0
68,How many large objects are there ?,6,22,0
69,How many metal objects are there ?,4,15,0
70,How many small objects are there ?,5,22,0
71,How many small objects are there ?,10,22,0
72,How many cylinders are there ?,9,18,0
73,How many rubber objects are there ?,8,23,0
74,How many blue rubber objects are there ?,3,22,0
75,How many red objects are there ?,4,22,0
76,How many green cylinders are there ?,3,22,0
77,How many large yellow metal objects are there ?,3,20,0
78,How many cylinders are there ?,8,22,0
79,How many red objects are there ?,4,23,0
80,How many blue cylinders are there ?,3,22,0
81,How many large cubes are there ?,3,24,0
82,How many cyan objects are there ?,3,17,0
83,How many large objects are there ?,4,22,0
84,How many metal objects are there ?,7,18,0
85,How many small gray objects are there ?,3,22,0
86,How many metal objects are there ?,6,22,0
87,How many small cubes are there ?,3,18,0
88,How many small objects are there ?,3,24,0
89,How many large rubber cylinders are there ?,3,22,0
90,How many large objects are there ?,3,19,0
91,How many cyan objects are there ?,4,28,0
92,How many rubber objects are there ?,10,22,0
93,How many large objects are there ?,5,22,0
94,How many metal objects are there ?,5,18,0
95,How many blue objects are there ?,4,17,0
96,How many large objects are there ?,5,22,0
97,How many large objects are there ?,8,24,0
98,How many small cylinders are there ?,3,16,0
99,How many large brown objects are there ?,3,22,0
