qid,gt_ans,pred_ans_blip,correctness_blip
0,"""Yes, both the National Museum of the American Indian in Washington, D.C. and the Xanadu House in Kissimmee, Florida are beige.""","""Yes, both the National Museum of the American Indian in Washington, D.C. and the Xanadu House in Kissimmee, Florida are beige.""",1
1,"""The satellites on the Soviet space control/monitoring ship Kosmonavt Yuriy Gagarin aren\'t always oriented in the same direction.""","""The satellites on the Soviet space control/monitoring ship Kosmonavt Yuriy Gagarin are always oriented in the same direction.""",0
2,"""There is one ground floor entrance to the Neumayer station in Antarctica.""","""There are two ground floor entrances to the Neumayer station in Antarctica.""",0
3,"""Gold is the color used in both domes of the Imam Husayn Shrine and the Imam Ali Shrine.""","""The Imam Husayn Shrine and the Imam Ali Shrine do not have any domes.""",0
4,"""Little Champlain Street, Quebec City, 1916 was a street paved with boards.""","""Little Champlain Street, Quebec City, 1916 was a street paved with boards.""",1
5,"""Both the Jameh Mosque of Amol and the Mausoleum of Il-khan Öljeitü both have domes on top.""","""Both the Jameh Mosque of Amol and the Mausoleum of Il-khan Öljeitü both have domes on top.""",1
6,"""An Estonian 6-stringed kannel and an Irish Bouzouki do not have the same number of strings.""","""An Estonian 6-stringed kannel and an Irish Bouzouki do have the same number of strings.""",0
7,"""Planet Fitness has a wider selection of cardio equipment compared to the ACPE-Campus gym.""",The ACPE-Campus Gym has a wider selection of cardio equipment compared to Planet Fitness.,0
8,"""Yes, the Big Ferris Wheel at Palette Town in Tokyo lights up at night.""","""Yes, the Big Ferris Wheel at Palette Town in Tokyo lights up at night.""",1
9,"""Bushes grow both near the ""Lion Pavilion"" in the Chinese University of Hong Kong and in the Iran Pavilion.""","""Trees grow both near the ""Lion Pavilion"" in the Chinese University of Hong Kong and in the Iran Pavilion.""",0
10,"""The words ""In God We Trust"" are not on the 1860 1C Indian Head Cent but are on 1908G $10 Indian Head.""","""The words ""In God We Trust"" are not on the 1860 1C Indian Head Cent but are on 1908G $10 Indian Head.""",1
11,"""Yes, both The Boat, Queen\'s Square, Belfast, Northern Ireland and the Modern highrise skyscraper in Lima have colored borders surrounding some of their windows.""","""No, neither The Boat, Queen's Square, Belfast, Northern Ireland nor the Modern highrise skyscraper in Lima have colored borders around any of their windows.""",0
