index,qid,question,origanswer,generatedanswer,correctness
0,1966,Choose the correct order of steps I-IV in order to make perfect snickerdoodles. Left image is denoted by [0] and right image is denoted by [1].,1,0,0
1,1967,Choose the correct order of steps I-IV  in order to make drill powered meat grinder. Left image is denoted by [0] and right image is denoted by [1].,2,0,0
2,1968,Choose the correct order of steps I-IV  in order to make boozy pecan fudge. Left image is denoted by [0] and right image is denoted by [1].,3,0,0
3,1969,Choose the correct order of steps I-IV  in order to make garlic spaghetti. Left image is denoted by [0] and right image is denoted by [1].,1,0,0
4,1970,Choose the correct order of steps I-IV  in order to make basbousa. Left image is denoted by [0] and right image is denoted by [1].,3,0,0
5,1971,Choose the correct order of steps I-IV  in order to make spicy tuna courgetti. Left image is denoted by [0] and right image is denoted by [1].,3,0,0
6,1972,Choose the correct order of steps I-IV  in order to make wintersummer crisp. Left image is denoted by [0] and right image is denoted by [1].,2,0,0
7,1973,Choose the correct order of steps I-IV  in order to make knorr spinach dip for soft pretzels. Left image is denoted by [0] and right image is denoted by [1].,3,0,0
8,1974,Choose the correct order of steps I-IV  in order to make easy dip. Left image is denoted by [0] and right image is denoted by [1].,0,0,1
9,1975,Choose the correct order of steps I-IV  in order to make vegetarian bean enchiladas. Left image is denoted by [0] and right image is denoted by [1].,2,0,0
10,1976,Choose the correct order of steps I-IV  in order to make iced coffee frappe. Left image is denoted by [0] and right image is denoted by [1].,0,3,0
11,1977,Choose the correct order of steps I-IV  in order to make ranch chicken. Left image is denoted by [0] and right image is denoted by [1].,1,0,0
12,1978,Choose the correct order of steps I-IV  in order to make homemade olive oil spread. Left image is denoted by [0] and right image is denoted by [1].,1,0,0
13,1979,Choose the correct order of steps I-IV  in order to make nacho. Left image is denoted by [0] and right image is denoted by [1].,3,3,1
14,1980,Choose the correct order of steps I-IV  in order to make sweet sours. Left image is denoted by [0] and right image is denoted by [1].,3,0,0
15,1981,Choose the correct order of steps I-IV  in order to make fried ice cream. Left image is denoted by [0] and right image is denoted by [1].,1,2,0
16,1982,Choose the correct order of steps I-IV  in order to make droplets. Left image is denoted by [0] and right image is denoted by [1].,2,0,0
17,1983,Choose the correct order of steps I-IV  in order to make caramelized sweet potato. Left image is denoted by [0] and right image is denoted by [1].,3,0,0
18,1984,Choose the correct order of steps I-IV  in order to make thai chillies pickled. Left image is denoted by [0] and right image is denoted by [1].,1,2,0
19,1985,Choose the correct order of steps I-IV  in order to make onigiri. Left image is denoted by [0] and right image is denoted by [1].,0,0,1
20,1986,Choose the correct order of steps I-IV  in order to make easy chocolate pudding. Left image is denoted by [0] and right image is denoted by [1].,1,0,0
21,1987,Choose the correct order of steps I-IV  in order to make baked mashed potato witch fingers. Left image is denoted by [0] and right image is denoted by [1].,3,0,0
22,1988,Choose the correct order of steps I-IV  in order to make chewy chocolate chip cookies. Left image is denoted by [0] and right image is denoted by [1].,0,0,1
23,1989,Choose the correct order of steps I-IV  in order to make salsa verde green salsa. Left image is denoted by [0] and right image is denoted by [1].,3,0,0
24,1990,Choose the correct order of steps I-IV  in order to make chilaquiles soup. Left image is denoted by [0] and right image is denoted by [1].,3,2,0
25,1991,Choose the correct order of steps I-IV  in order to make cheese curds. Left image is denoted by [0] and right image is denoted by [1].,0,0,1
26,1992,Choose the correct order of steps I-IV  in order to make baked potatoes and carots. Left image is denoted by [0] and right image is denoted by [1].,0,3,0
27,1993,Choose the correct order of steps I-IV  in order to make charcuterie board. Left image is denoted by [0] and right image is denoted by [1].,1,0,0
28,1994,Choose the correct order of steps I-IV  in order to make hashbrown casserole. Left image is denoted by [0] and right image is denoted by [1].,3,0,0
29,1995,Choose the correct order of steps I-IV  in order to make a blt. Left image is denoted by [0] and right image is denoted by [1].,0,3,0
30,1996,Choose the correct order of steps I-IV  in order to make simple spicy rosemary thins. Left image is denoted by [0] and right image is denoted by [1].,3,2,0
31,1997,Choose the correct order of steps I-IV  in order to make cheddar beer soup. Left image is denoted by [0] and right image is denoted by [1].,0,0,1
32,1998,Choose the correct order of steps I-IV  in order to make bacon ham mac cheese dairy free. Left image is denoted by [0] and right image is denoted by [1].,3,3,1
33,1999,Choose the correct order of steps I-IV  in order to make fried ice cream. Left image is denoted by [0] and right image is denoted by [1].,2,0,0
34,2000,Choose the correct order of steps I-IV  in order to make homemade macncheese. Left image is denoted by [0] and right image is denoted by [1].,2,0,0
35,2001,Choose the correct order of steps I-IV  in order to make turkey blt. Left image is denoted by [0] and right image is denoted by [1].,1,0,0
36,2002,Choose the correct order of steps I-IV  in order to make sweet onion bread. Left image is denoted by [0] and right image is denoted by [1].,1,0,0
37,2003,Choose the correct order of steps I-IV  in order to make bacon egg burger. Left image is denoted by [0] and right image is denoted by [1].,1,2,0
38,2004,Choose the correct order of steps I-IV  in order to make banana bites. Left image is denoted by [0] and right image is denoted by [1].,1,0,0
39,2005,Choose the correct order of steps I-IV  in order to make freeze dry at home. Left image is denoted by [0] and right image is denoted by [1].,1,0,0
40,2006,Choose the correct order of steps I-IV  in order to make the cookie. Left image is denoted by [0] and right image is denoted by [1].,2,0,0
41,2007,Choose the correct order of steps I-IV  in order to make lemon sugar cookies. Left image is denoted by [0] and right image is denoted by [1].,1,0,0
42,2008,Choose the correct order of steps I-IV  in order to make frozen basil bullets. Left image is denoted by [0] and right image is denoted by [1].,3,0,0
43,2009,Choose the correct order of steps I-IV  in order to make jalapeno infused salt. Left image is denoted by [0] and right image is denoted by [1].,3,0,0
44,2010,Choose the correct order of steps I-IV  in order to make laser engraved coconuts pina colada. Left image is denoted by [0] and right image is denoted by [1].,2,1,0
45,2011,Choose the correct order of steps I-IV  in order to make bleeding gum rolls. Left image is denoted by [0] and right image is denoted by [1].,0,3,0
46,2012,Choose the correct order of steps I-IV  in order to make garden cucumber salad. Left image is denoted by [0] and right image is denoted by [1].,1,0,0
47,2013,Choose the correct order of steps I-IV  in order to make grilled cheese roll ups. Left image is denoted by [0] and right image is denoted by [1].,0,1,0
48,2014,Choose the correct order of steps I-IV  in order to make peach lemon popsicles. Left image is denoted by [0] and right image is denoted by [1].,2,0,0
49,2015,Choose the correct order of steps I-IV  in order to make amazing chocolate pie. Left image is denoted by [0] and right image is denoted by [1].,2,0,0
50,2016,Choose the correct order of steps I-IV  in order to make deep sea diver pg. Left image is denoted by [0] and right image is denoted by [1].,1,0,0
51,2017,Choose the correct order of steps I-IV  in order to make pumpkin beer beverage cooler. Left image is denoted by [0] and right image is denoted by [1].,2,3,0
52,2018,Choose the correct order of steps I-IV  in order to make green tea syrupvodka. Left image is denoted by [0] and right image is denoted by [1].,2,0,0
53,2019,Choose the correct order of steps I-IV  in order to make chocolate cookies dessert. Left image is denoted by [0] and right image is denoted by [1].,0,3,0
54,2020,Choose the correct order of steps I-IV  in order to make indian pudding. Left image is denoted by [0] and right image is denoted by [1].,0,0,1
55,2021,Choose the correct order of steps I-IV  in order to make onigiri. Left image is denoted by [0] and right image is denoted by [1].,1,0,0
56,2022,Choose the correct order of steps I-IV  in order to make peanut butter cup frappuccino recipe. Left image is denoted by [0] and right image is denoted by [1].,1,0,0
57,2023,Choose the correct order of steps I-IV  in order to make fresh mango chocolate chia parfait gluten free. Left image is denoted by [0] and right image is denoted by [1].,3,3,1
58,2024,Choose the correct order of steps I-IV  in order to make turkish pizza pide lahmcun. Left image is denoted by [0] and right image is denoted by [1].,1,3,0
59,2025,Choose the correct order of steps I-IV  in order to make the dip. Left image is denoted by [0] and right image is denoted by [1].,0,3,0
60,2026,Choose the correct order of steps I-IV  in order to make kefir. Left image is denoted by [0] and right image is denoted by [1].,3,1,0
61,2027,Choose the correct order of steps I-IV  in order to make tomato sauce. Left image is denoted by [0] and right image is denoted by [1].,3,3,1
