index,qid,question,origanswer,generatedanswer,correctness
0,0,How many spheres are there ?,4,15,0
1,1,How many metal objects are there ?,10,0,0
2,2,How many large objects are there ?,8,0,0
3,3,How many rubber objects are there ?,6,14,0
4,4,How many gray objects are there ?,5,1,0
5,5,How many large objects are there ?,7,1,0
6,6,How many spheres are there ?,4,24,0
7,7,How many metal objects are there ?,3,14,0
8,8,How many small metal objects are there ?,6,8,0
9,9,How many blue objects are there ?,5,11,0
10,10,How many cubes are there ?,7,22,0
11,11,How many gray spheres are there ?,4,0,0
12,12,How many small cubes are there ?,3,0,0
13,13,How many small metal spheres are there ?,3,14,0
14,14,How many rubber objects are there ?,6,27,0
15,15,How many red objects are there ?,5,0,0
16,16,How many purple objects are there ?,3,4,0
17,17,How many large objects are there ?,7,15,0
18,18,How many cubes are there ?,4,1,0
19,19,How many small objects are there ?,4,24,0
20,20,How many purple objects are there ?,4,14,0
21,21,How many metal objects are there ?,7,14,0
22,22,How many cubes are there ?,5,24,0
23,23,How many metal objects are there ?,7,14,0
24,24,How many small spheres are there ?,3,1,0
25,25,How many blue objects are there ?,3,14,0
26,26,How many red objects are there ?,5,14,0
27,27,How many yellow objects are there ?,3,4,0
28,28,How many yellow objects are there ?,4,4,1
29,29,How many green rubber objects are there ?,3,14,0
30,30,How many large cyan objects are there ?,5,14,0
31,31,How many small metal objects are there ?,3,4,0
32,32,How many rubber objects are there ?,6,3,0
33,33,How many small objects are there ?,9,1,0
34,34,How many cubes are there ?,4,0,0
35,35,How many brown cubes are there ?,3,28,0
36,36,How many small yellow objects are there ?,4,23,0
37,37,How many large objects are there ?,3,27,0
38,38,How many rubber objects are there ?,3,25,0
39,39,How many metal objects are there ?,6,24,0
40,40,How many green rubber objects are there ?,4,11,0
41,41,How many large objects are there ?,9,0,0
42,42,How many cylinders are there ?,5,0,0
43,43,How many small metal objects are there ?,3,16,0
44,44,How many cyan objects are there ?,4,0,0
45,45,How many brown metal objects are there ?,3,24,0
46,46,How many large gray objects are there ?,3,14,0
47,47,How many red rubber objects are there ?,3,24,0
48,48,How many cyan objects are there ?,3,19,0
49,49,How many brown objects are there ?,4,0,0
50,50,How many cylinders are there ?,5,0,0
51,51,How many spheres are there ?,4,24,0
52,52,How many large cubes are there ?,3,0,0
53,53,How many rubber objects are there ?,8,11,0
54,54,How many blue objects are there ?,3,27,0
55,55,How many spheres are there ?,4,23,0
56,56,How many small metal objects are there ?,4,8,0
57,57,How many green metal objects are there ?,3,24,0
