qid,pred_ans,gt_ans,correctness
0,1,1,1
1,1,0,0
2,1,1,1
3,1,0,0
4,1,1,1
5,1,0,0
6,1,0,0
7,1,1,1
8,1,1,1
9,0,0,1
10,1,0,0
11,1,1,1
12,1,0,0
13,0,1,0
14,1,0,0
15,0,0,1
16,0,1,0
17,1,0,0
18,1,0,0
19,1,0,0
20,1,1,1
21,1,0,0
22,0,0,1
23,1,1,1
24,1,0,0
25,1,0,0
26,0,0,1
27,1,0,0
28,1,1,1
29,1,1,1
30,0,0,1
31,1,1,1
32,1,1,1
33,0,1,0
34,0,0,1
35,1,0,0
36,1,1,1
37,0,0,1
38,0,1,0
39,1,0,0
40,0,1,0
41,1,1,1
42,0,0,1
43,1,0,0
44,1,0,0
45,1,0,0
46,0,1,0
47,1,0,0
48,0,1,0
49,1,1,1
50,0,0,1
51,1,0,0
52,1,0,0
53,1,0,0
54,0,0,1
55,1,1,1
56,1,1,1
57,1,1,1
58,1,0,0
59,0,1,0
60,1,0,0
61,1,1,1
62,1,1,1
63,1,1,1
64,1,0,0
65,1,1,1
66,1,1,1
67,1,0,0
68,1,0,0
69,1,1,1
70,0,1,0
71,1,1,1
72,0,1,0
73,1,1,1
74,1,1,1
75,1,1,1
76,1,0,0
77,1,0,0
78,0,0,1
79,1,0,0
