qid,gt_ans,pred_ans_blip,correctness_blip
0,4,22,0
1,10,18,0
2,8,22,0
3,6,22,0
4,5,23,0
5,7,22,0
6,4,22,0
7,3,20,0
8,6,18,0
9,5,22,0
10,7,18,0
11,4,24,0
12,3,24,0
13,3,22,0
14,6,22,0
15,5,17,0
16,3,24,0
17,7,20,0
18,4,18,0
19,4,22,0
20,4,20,0
21,7,15,0
22,5,23,0
23,7,22,0
24,3,22,0
25,3,24,0
26,5,20,0
27,3,18,0
28,4,18,0
29,3,18,0
30,5,22,0
31,3,22,0
32,6,22,0
33,9,22,0
34,4,15,0
35,3,20,0
36,4,20,0
37,3,23,0
38,3,28,0
39,6,22,0
40,4,22,0
41,9,23,0
42,5,22,0
43,3,17,0
44,4,17,0
45,3,18,0
46,3,18,0
47,3,20,0
48,3,14,0
49,4,22,0
50,5,23,0
51,4,24,0
52,3,24,0
53,8,22,0
54,3,17,0
55,4,22,0
56,4,22,0
57,3,18,0
58,4,18,0
59,3,22,0
60,3,18,0
61,4,15,0
62,3,20,0
63,3,17,0
64,3,18,0
65,4,23,0
66,3,22,0
67,6,22,0
68,6,22,0
69,4,15,0
70,5,18,0
71,10,22,0
72,9,18,0
73,8,23,0
74,3,22,0
75,4,22,0
76,3,20,0
77,3,20,0
78,8,22,0
79,4,15,0
80,3,22,0
81,3,18,0
82,3,22,0
83,4,22,0
84,7,18,0
85,3,18,0
86,6,22,0
87,3,18,0
88,3,22,0
89,3,22,0
90,3,23,0
91,4,22,0
92,10,22,0
93,5,22,0
94,5,22,0
95,4,23,0
96,5,22,0
97,8,18,0
98,3,20,0
99,3,22,0
100,4,23,0
101,4,22,0
102,3,17,0
103,3,24,0
104,9,20,0
105,3,23,0
106,5,15,0
107,5,22,0
108,5,18,0
109,6,22,0
110,5,22,0
111,6,22,0
112,3,22,0
113,4,20,0
114,8,22,0
115,3,14,0
116,7,22,0
117,4,20,0
118,3,20,0
119,3,18,0
120,3,18,0
121,6,18,0
122,3,15,0
123,3,20,0
124,5,24,0
125,6,22,0
126,6,22,0
127,4,22,0
128,4,22,0
129,4,22,0
130,4,22,0
131,7,18,0
132,5,15,0
133,3,23,0
134,3,17,0
135,4,22,0
136,3,22,0
137,6,28,0
138,6,22,0
139,3,18,0
140,6,22,0
141,6,22,0
142,3,20,0
143,4,18,0
144,5,22,0
145,5,15,0
146,3,22,0
147,3,18,0
148,3,23,0
149,9,22,0
150,3,22,0
151,5,22,0
152,10,28,0
153,3,24,0
154,4,18,0
155,7,18,0
156,5,24,0
157,11,22,0
158,5,18,0
159,5,28,0
160,5,24,0
161,3,15,0
162,4,22,0
163,3,23,0
164,3,24,0
165,7,28,0
166,3,24,0
167,4,24,0
168,3,22,0
169,9,22,0
170,3,24,0
171,5,22,0
172,6,22,0
173,4,28,0
174,7,22,0
175,3,22,0
176,3,28,0
177,3,28,0
178,7,22,0
179,4,22,0
180,4,15,0
181,8,22,0
182,4,22,0
183,4,22,0
184,5,22,0
185,6,22,0
186,3,20,0
187,4,15,0
188,7,24,0
189,7,24,0
190,4,23,0
191,3,18,0
192,7,18,0
193,6,22,0
194,3,17,0
195,7,22,0
196,9,22,0
197,6,24,0
198,3,20,0
199,7,17,0
200,5,22,0
201,6,22,0
202,3,18,0
203,4,15,0
204,7,23,0
205,3,22,0
206,4,20,0
207,4,22,0
208,3,18,0
209,5,15,0
210,3,20,0
211,7,23,0
212,6,22,0
213,5,18,0
214,4,24,0
215,7,22,0
216,6,24,0
217,3,22,0
218,6,15,0
219,4,22,0
220,5,24,0
221,8,15,0
222,3,16,0
223,5,23,0
224,4,22,0
225,5,22,0
226,3,24,0
227,4,22,0
228,7,22,0
229,3,17,0
230,9,20,0
231,3,24,0
232,5,18,0
233,3,15,0
234,4,22,0
235,4,20,0
236,8,22,0
237,5,22,0
238,4,24,0
239,3,24,0
240,5,22,0
241,5,18,0
242,5,22,0
243,6,23,0
244,4,22,0
245,3,22,0
246,5,20,0
247,3,22,0
248,3,22,0
249,4,23,0
250,5,18,0
251,3,20,0
252,11,22,0
253,7,22,0
254,5,22,0
255,6,22,0
