index,qid,question,origanswer,generatedanswer,correctness
0,8d074ad059e688e64daf4839a8c08c3c,"Question: 
Between the Queens Park Rangers or the team whose logo has a rose with leaves, which has higher points in the 1999-2000 Barnsley F.C. Season final league table?
Answer Choices are: 
a. The team whose logo has a rose with leaves.
b. Queens Park Rangers
Specify their correct answer by choosing one of a or b: 
",b,a. The team whose logo has a rose with leaves.,0
1,d8a45b0634b38bb7e574c2ea0620b217,"Question: 
Seth Gillam's Aaron Dexter TV title has what color inside text?
Answer Choices are: 
a. Orange
b. white
Specify their correct answer by choosing one of a or b: 
",b,b. white,1
2,09cf590288a0f23fa3e9d4ecb1cebcfb,"Question: 
In the title of the 1990-91 Seth Gilliam T.V. show, what is the inside color on the letters?
Answer Choices are: 
a. white
b. The inside color on the letters is black.
Specify their correct answer by choosing one of a or b: 
",a,a. white,1
3,d92cd97194a6e278981f7fdcad48d5d7,"Question: 
Did Adam Kennedy or the player with a red stripe on his pants, red logo on his shirt, and a blue helmet have a lower RBI in the Anaheim Angels' 2004 season?
Answer Choices are: 
a. Adam Kennedy
b. The player with a red stripe on his pants, red logo on his shirt, and a blue helmet had a lower RBI in the Anaheim Angels' 2004 season.
Specify their correct answer by choosing one of a or b: 
",a,"The player with a red stripe on his pants, red logo on his shirt, and a blue helmet had a lower RBI in the Anaheim Angels' 2004 season.",0
4,c91e6bfe4afa98250c56141b10c2d715,"Question: 
What batting average did the player with red stripe on uniform pants and red logo on shirt and blue helmet have in 2004 Anaheim Angels season?
Answer Choices are: 
a. 401
b. 0.301
Specify their correct answer by choosing one of a or b: 
",b,b. 0.301,1
5,1d1e7c5c0748b2449c64f01d224c364d,"Question: 
Which Drama featuring songs all about men has a lower number:  The drama with a poster featuring exactly one person or Lethal Weapons of Love and Passion?
Answer Choices are: 
a. The Herbalist's Manual
b. The dramas with a poster featuring exactly one person or Lethal Weapons of Love and Passion have a higher number.
Specify their correct answer by choosing one of a or b: 
",a,The drama with a poster featuring exactly one person has a lower number.,0
6,f7086e132a9959dc4393fd0624abb092,"Question: 
What is the D. Fox artist of the song My Love wearing around her wrists?
Answer Choices are: 
a. bracelets
b. watches
Specify their correct answer by choosing one of a or b: 
",a,a. bracelets,1
7,94566ff1602cdb63bff455ed9700e375,"Question: 
In the academic years when San Sebastian College-Recoletos hosted the Fourth Expansion of NCAA General Championship which academic year had a logo with a basketball on it?
Answer Choices are: 
a. 2010âÃÃ¬11
b. 010âÃÃ¬12
Specify their correct answer by choosing one of a or b: 
",a,b. 2010âÃÃ¬12,0
8,28c939666b2450c7887d3fbc06f66bba,"Question: 
What player from a team with a bird on the logo played in the Rising Star Challenge in 2005?
Answer Choices are: 
a. Brandon Wright
b. Josh Smith
Specify their correct answer by choosing one of a or b: 
",b,b. Josh Smith.,1
9,d77a4a6e678f2c55ebabb634b6c8fcbc,"Question: 
The player who transferred to the Warrington Wolves in the 2018 season was signed from which team that features big horizontal stripes on the jersey?
Answer Choices are: 
a. Hull FC
b. Leigh Centurions
Specify their correct answer by choosing one of a or b: 
",b,a. Hull FC,0
10,ee309a646a1661b94e768bda4e901cf4,"Question: 
What player was transferred from the team that has crossed swords on its logo to the Warrington Wolves in the 2018 season?
Answer Choices are: 
a. Tyrone Roberts
b. Tyrone Jones
Specify their correct answer by choosing one of a or b: 
",a,Tyrone Roberts,1
11,e090b8d1cca0a7cbeceb4f18cfe43ef8,"Question: 
When did the Warrington Wolves announce the transfer who was signed from the team with crossed swords on its logo for the 2018 season?
Answer Choices are: 
a. 17-Oct
b. 17-Nov
Specify their correct answer by choosing one of a or b: 
",a,a,1
12,529d4345a1c5519e0aed79c5de6809e7,"Question: 
What was the date of the FIRST Power Up when a ferris wheel was present?
Answer Choices are: 
a. March 14âÃÃ¬18
b. March 14âÃÃ¬17
Specify their correct answer by choosing one of a or b: 
",b,b. March 14âÃÃ¬17,1
