index,qid,question,origanswer,generatedanswer,correctness
0,250,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
1,251,State whether or not the information provided in the passage is true for the given image [0].,1,0,0
2,252,State whether or not the information provided in the passage is true for the given image [0].,0,0,1
3,253,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
4,254,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
5,255,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
6,256,State whether or not the information provided in the passage is true for the given image [0].,0,0,1
7,257,State whether or not the information provided in the passage is true for the given image [0].,1,0,0
8,258,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
9,259,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
10,260,State whether or not the information provided in the passage is true for the given image [0].,0,0,1
11,261,State whether or not the information provided in the passage is true for the given image [0].,0,0,1
12,262,State whether or not the information provided in the passage is true for the given image [0].,0,0,1
13,263,State whether or not the information provided in the passage is true for the given image [0].,1,0,0
14,264,State whether or not the information provided in the passage is true for the given image [0].,0,0,1
15,265,State whether or not the information provided in the passage is true for the given image [0].,1,0,0
16,266,State whether or not the information provided in the passage is true for the given image [0].,0,0,1
17,267,State whether or not the information provided in the passage is true for the given image [0].,1,0,0
18,268,State whether or not the information provided in the passage is true for the given image [0].,0,0,1
19,269,State whether or not the information provided in the passage is true for the given image [0].,1,0,0
20,270,State whether or not the information provided in the passage is true for the given image [0].,0,0,1
21,271,State whether or not the information provided in the passage is true for the given image [0].,1,0,0
22,272,State whether or not the information provided in the passage is true for the given image [0].,0,0,1
23,273,State whether or not the information provided in the passage is true for the given image [0].,1,0,0
24,274,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
25,275,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
26,276,State whether or not the information provided in the passage is true for the given image [0].,0,0,1
27,277,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
28,278,State whether or not the information provided in the passage is true for the given image [0].,0,0,1
29,279,State whether or not the information provided in the passage is true for the given image [0].,1,0,0
30,280,State whether or not the information provided in the passage is true for the given image [0].,0,0,1
31,281,State whether or not the information provided in the passage is true for the given image [0].,1,0,0
32,282,State whether or not the information provided in the passage is true for the given image [0].,0,0,1
33,283,State whether or not the information provided in the passage is true for the given image [0].,1,0,0
34,284,State whether or not the information provided in the passage is true for the given image [0].,0,0,1
35,285,State whether or not the information provided in the passage is true for the given image [0].,1,0,0
36,286,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
37,287,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
38,288,State whether or not the information provided in the passage is true for the given image [0].,0,0,1
39,289,State whether or not the information provided in the passage is true for the given image [0].,1,0,0
40,290,State whether or not the information provided in the passage is true for the given image [0].,0,0,1
41,291,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
42,292,State whether or not the information provided in the passage is true for the given image [0].,0,0,1
43,293,State whether or not the information provided in the passage is true for the given image [0].,1,0,0
44,294,State whether or not the information provided in the passage is true for the given image [0].,0,0,1
45,295,State whether or not the information provided in the passage is true for the given image [0].,1,0,0
46,296,State whether or not the information provided in the passage is true for the given image [0].,0,0,1
47,297,State whether or not the information provided in the passage is true for the given image [0].,1,0,0
