index,qid,question,origanswer,generatedanswer,correctness
0,0,when did person in the image of south africa go into hospital,3,3,1
1,1,what is the status of person in the image in prison,0,0,1
2,2,who is the president of south africa who visited woman in the image in hospital,1,1,1
3,3,who did woman in the image go on american idol to help,0,2,0
4,4,where did person in the image go to get cancer treatment,2,1,0
5,5,when is the inquest into person in the image taking place,1,1,1
6,6,why is woman in the left of the image running for president in 2012,1,1,1
7,7,states that are likely to vote for person in the left of the image in the presidential election,3,3,1
8,8,what states are likely to vote for person in the left of the image. obero in 2012,1,0,0
9,9,who's running for president in 2012 woman in the left of the image. mccain or woman in the left of the image,1,1,1
10,10,states where voters are likely to choose between woman in the left of the image and challenger,1,3,0
11,11,where are they campaigning for woman in the left of the image. mitt Romney in 2012,3,3,1
12,12,when is woman in the right of the image going to address the united nations,3,3,1
13,13,who is the father of person in the image,1,1,1
14,14,when did man in the image come to power in russia,0,0,1
15,15,who is the person that person in the center of the image is accused of killing,2,0,0
16,16,who is person in the center of the image of in china's political scandal,0,0,1
17,17,why did the defendant kill man in the center of the image in texas,0,2,0
18,18,where is person in the image of state clinton going to visit,1,1,1
19,19,what is the purpose of person in the image to china,1,1,1
20,20,when do person in the image and china meet in china,0,0,1
21,21,who is running for president against man in the center of the image,3,1,0
22,22,countries that did person with the glasses in the image of state condemn at the osce summit in 2014,3,0,0
23,23,who escaped the house arrest of man in the image,2,2,1
24,24,who is person in the image of saudi arabia,1,1,1
25,25,who is person in the image of saudi arabia,1,2,0
26,26,who said china has treated person in the top of the image like a doormat,2,2,1
27,27,who led woman in the left of the image in the greece election,3,0,0
28,28,where was person in the left of the image of naxal attack shifted to,2,2,1
29,29,who is person in the left of the image in india who was rescued from the bus,2,0,0
30,30,where was man in the left of the image who died in delhi hospital,2,3,0
31,31,who did person in the image endorse for president in 2012,2,2,1
32,32,who is trying to mediate between person in the left of the image and the government of malian,0,1,0
33,33,where does person with the red dress in the image walk to get water in south sudan,3,3,1
34,34,where is man in the center of the image located in south sudan,1,3,0
35,35,where did man in the image go after she left the uae,2,2,1
