qid,question,origanswer,generatedanswer,correctness
1611,Select an image to fill in the blank in the passage.,0,0,1
1612,Select an image to fill in the blank in the passage.,1,1,1
1613,Select an image to fill in the blank in the passage.,0,1,0
1614,Select an image to fill in the blank in the passage.,1,0,0
1615,Select an image to fill in the blank in the passage.,1,0,0
1616,Select an image to fill in the blank in the passage.,0,1,0
1617,Select an image to fill in the blank in the passage.,0,0,1
1618,Select an image to fill in the blank in the passage.,1,1,1
1619,Select an image to fill in the blank in the passage.,1,1,1
1620,Select an image to fill in the blank in the passage.,0,0,1
1621,Select an image to fill in the blank in the passage.,1,1,1
1622,Select an image to fill in the blank in the passage.,0,0,1
1623,Select an image to fill in the blank in the passage.,0,1,0
1624,Select an image to fill in the blank in the passage.,1,1,1
1625,Select an image to fill in the blank in the passage.,1,1,1
1626,Select an image to fill in the blank in the passage.,1,1,1
1627,Select an image to fill in the blank in the passage.,0,1,0
1628,Select an image to fill in the blank in the passage.,0,0,1
1629,Select an image to fill in the blank in the passage.,0,1,0
1630,Select an image to fill in the blank in the passage.,0,1,0
1631,Select an image to fill in the blank in the passage.,0,1,0
1632,Select an image to fill in the blank in the passage.,0,1,0
1633,Select an image to fill in the blank in the passage.,0,0,1
1634,Select an image to fill in the blank in the passage.,1,0,0
1635,Select an image to fill in the blank in the passage.,1,0,0
1636,Select an image to fill in the blank in the passage.,1,1,1
1637,Select an image to fill in the blank in the passage.,1,1,1
1638,Select an image to fill in the blank in the passage.,0,1,0
1639,Select an image to fill in the blank in the passage.,1,0,0
1640,Select an image to fill in the blank in the passage.,0,1,0
1641,Select an image to fill in the blank in the passage.,1,1,1
1642,Select an image to fill in the blank in the passage.,1,1,1
1643,Select an image to fill in the blank in the passage.,0,1,0
1644,Select an image to fill in the blank in the passage.,1,0,0
1645,Select an image to fill in the blank in the passage.,1,1,1
1646,Select an image to fill in the blank in the passage.,1,0,0
1647,Select an image to fill in the blank in the passage.,1,0,0
1648,Select an image to fill in the blank in the passage.,0,0,1
