index,qid,question,origanswer,generatedanswer,generatedanswers
0,95d0024e3ca84cc1ee663925a3ab02a7,"Question: 
The city from the 1949-50 La Liga with a poster featuring a tall missile shaped tower with a round cap is the capital of what country?
Answer Choices are: 
a. Spain
b. Mexico
Specify their correct answer by choosing one of a or b: 
",a,b. Mexico,['b. Mexico']
1,649b7c7701382656a30b8e2fe1adc102,"Question: 
Which team that played Barnsley F.C in the 1999-2000 season finals has a lower pos:  The team with a logo featuring a rose with attached leaves or the team who got relegated from the premier league in 2018?
Answer Choices are: 
a. West Bromwich Albion
b. The team with a logo featuring a rose with attached leaves.
Specify their correct answer by choosing one of a or b: 
",a,b. The team with a logo featuring a rose with attached leaves.,['b. The team with a logo featuring a rose with attached leaves.']
2,45ce7a7f6d94adfaec92b1952097031a,"Question: 
When will the light rail be completed in the in the city with a large arched bridge listed in the Australia national rugby union team test match of 97?
Answer Choices are: 
a. 20-Mar
b. 20-Dec
Specify their correct answer by choosing one of a or b: 
",a,b. 20-Dec,['b. 20-Dec']
3,6b07d6ac5f7bb5829775bcedfdda89dd,"Question: 
What is the duration of the flight from Dallas to the city with a long, arched bridge that competed in the 1997 Australia National Rugby Union team test match?
Answer Choices are: 
a. 17 hours, 5 minutes
b. 23 hours, 15 minutes
Specify their correct answer by choosing one of a or b: 
",a,"b. 23 hours, 15 minutes","['b. 23 hours, 15 minutes']"
4,f952c51926f356868b53ef7a6042abec,"Question: 
What is the singer of Titanic's ""My Heart Will Go On"" wearing on her wrists?
Answer Choices are: 
a. anklets
b. bracelets
Specify their correct answer by choosing one of a or b: 
",b,b. bracelets,['b. bracelets']
5,3a10097258ddb84b961c37cd7c30d089,"Question: 
The formula 1 abu dhabi grand prix tournament was won by this driver who is wearing what on his head?
Answer Choices are: 
a. cap
b.  'woolly hat'
Specify their correct answer by choosing one of a or b: 
",a,a,['a']
6,95c60c5bd74c14d31d3e82f4235c15a5,"Question: 
The collage of the setting of shadow of the dragon is made up of how many photos?
Answer Choices are: 
a. six
b. nine
Specify their correct answer by choosing one of a or b: 
",b,a. six,['a. six']
7,86a90276c7d6fee4489f1c5920239b44,"Question: 
In the city where the first internet cafe was started, what color are the flowers on a hill overlooking the bridge?
Answer Choices are: 
a. yellow
b. orange
Specify their correct answer by choosing one of a or b: 
",a,a,['a']
8,1ea914ec59ea6c628e841b20faf12990,"Question: 
In the picture showing the same locations where the hall of fame for toys is located, how many statues are in it?
Answer Choices are: 
a. one
b. two
Specify their correct answer by choosing one of a or b: 
",a,There are two statues in the toy hall of fame.,['There are two statues in the toy hall of fame.']
9,562b7f10fa66e2a7fe0f5b276c97542d,"Question: 
Among Football-League teams that Burnley F.C. played in the 1890-91 season, which teams have one or more birds on their logo and advanced into the premiership during the most recent season?
Answer Choices are: 
a. West Bromwich Albion (B)
b. West Bromwich Albion (A)
Specify their correct answer by choosing one of a or b: 
",b,a,['a']
10,1e8864a1422a0e14b1bd6549ca44e38e,"Question: 
What team has at least one bird on its logo, was relegated from the Premier League in 2018, and was an opponent in the Football League match results of the Burnley F.C. season in 1890-91?
Answer Choices are: 
a. West Bromwich Albion (B)
b. West Bromwich Albion (A)
Specify their correct answer by choosing one of a or b: 
",b,b,['b']
11,f2cbf515f060d7fe944295718c2b3c55,"Question: 
The original artist of just the way you are has what color hair?
Answer Choices are: 
a. black
b. grey
Specify their correct answer by choosing one of a or b: 
",b,a,['a']
12,c2dea48e58cb4f1b81b90727a61de7f1,"Question: 
What common law state with an eagle on the flag has an institution in the North region of Division II of the NCCAA?
Answer Choices are: 
a. New York
b. Iowa
Specify their correct answer by choosing one of a or b: 
",b,b. Iowa,['b. Iowa']
13,7c815bb1825468305c7df8071421105a,"Question: 
When was most recent time the African-American player in the third round of the Masters Tournament of 2010 was number 1?
Answer Choices are: 
a. 2009
b. 2008
Specify their correct answer by choosing one of a or b: 
",a,b. 2008,['b. 2008']
14,ec6e83024103deed7c48538f56538257,"Question: 
In the city that was the center of imperial life in the roman empire in the early fifth century, the building in the top right has what at its top?
Answer Choices are: 
a. tower
b. dome
Specify their correct answer by choosing one of a or b: 
",b,b. dome,['b. dome']
