index,fileid,qid,question,origanswer,generatedanswer,correctness
0,1,10000798,Choose the correct order of the events?,0,3,0
1,1,10000832,Choose the correct order of the events?,1,0,0
2,1,10002000,Choose the correct order of the events?,3,2,0
3,1,100021,Choose the correct order of the events?,3,2,0
4,1,1000266,Choose the correct order of the events?,2,0,0
5,1,10004257,Choose the correct order of the events?,1,1,1
6,1,1000430,Choose the correct order of the events?,0,0,1
7,1,10004451,Choose the correct order of the events?,3,3,1
8,1,10004709,Choose the correct order of the events?,1,1,1
9,1,10004867,Choose the correct order of the events?,0,0,1
10,1,100049,Choose the correct order of the events?,0,1,0
11,1,10005020,Choose the correct order of the events?,2,3,0
12,1,10005292,Choose the correct order of the events?,3,3,1
13,1,10006187,Choose the correct order of the events?,1,3,0
14,1,1000640,Choose the correct order of the events?,3,3,1
15,1,1000644,Choose the correct order of the events?,3,3,1
16,1,1000676,Choose the correct order of the events?,2,3,0
17,1,100069,Choose the correct order of the events?,2,2,1
18,1,10007812,Choose the correct order of the events?,3,2,0
19,1,10007877,Choose the correct order of the events?,0,0,1
20,1,10007926,Choose the correct order of the events?,2,3,0
21,1,10008370,Choose the correct order of the events?,3,2,0
22,1,10008470,Choose the correct order of the events?,3,1,0
23,1,10008621,Choose the correct order of the events?,3,0,0
24,1,1000914,Choose the correct order of the events?,0,3,0
25,1,10009240,Choose the correct order of the events?,0,1,0
26,1,10009557,Choose the correct order of the events?,1,3,0
27,1,10009789,Choose the correct order of the events?,2,0,0
28,1,10009910,Choose the correct order of the events?,3,2,0
29,1,10010791,Choose the correct order of the events?,2,2,1
30,1,10011164,Choose the correct order of the events?,1,0,0
31,1,100116,Choose the correct order of the events?,3,2,0
32,1,10011864,Choose the correct order of the events?,0,1,0
33,1,10012401,Choose the correct order of the events?,3,2,0
34,1,10012730,Choose the correct order of the events?,3,3,1
35,1,10012735,Choose the correct order of the events?,3,1,0
36,1,10012967,Choose the correct order of the events?,1,0,0
37,1,1001326,Choose the correct order of the events?,2,0,0
38,1,10013274,Choose the correct order of the events?,2,1,0
39,1,10015160,Choose the correct order of the events?,3,2,0
40,1,10015420,Choose the correct order of the events?,3,2,0
41,1,10015565,Choose the correct order of the events?,3,3,1
42,1,10015602,Choose the correct order of the events?,1,0,0
43,1,10015761,Choose the correct order of the events?,3,0,0
44,1,10016113,Choose the correct order of the events?,2,1,0
45,1,10016136,Choose the correct order of the events?,0,3,0
46,1,10016145,Choose the correct order of the events?,0,0,1
47,1,10016343,Choose the correct order of the events?,0,3,0
48,1,10016456,Choose the correct order of the events?,3,2,0
49,1,10017635,Choose the correct order of the events?,0,3,0
50,1,10017724,Choose the correct order of the events?,2,0,0
51,1,10019,Choose the correct order of the events?,2,2,1
52,1,10020358,Choose the correct order of the events?,3,3,1
53,1,10021060,Choose the correct order of the events?,2,3,0
54,1,10021329,Choose the correct order of the events?,2,0,0
55,1,10021368,Choose the correct order of the events?,3,2,0
56,1,10021476,Choose the correct order of the events?,0,1,0
57,1,10022772,Choose the correct order of the events?,2,2,1
58,1,10022816,Choose the correct order of the events?,2,2,1
59,1,10022835,Choose the correct order of the events?,3,0,0
60,1,10023848,Choose the correct order of the events?,1,2,0
61,1,10023941,Choose the correct order of the events?,3,0,0
62,1,10024314,Choose the correct order of the events?,1,1,1
63,1,10024547,Choose the correct order of the events?,1,0,0
64,1,100245,Choose the correct order of the events?,3,2,0
65,1,10024772,Choose the correct order of the events?,3,1,0
66,1,10025040,Choose the correct order of the events?,0,2,0
67,1,10025057,Choose the correct order of the events?,0,0,1
68,1,100250,Choose the correct order of the events?,1,0,0
69,1,10025431,Choose the correct order of the events?,3,2,0
70,1,10025950,Choose the correct order of the events?,3,3,1
71,1,100263,Choose the correct order of the events?,3,1,0
72,1,10029102,Choose the correct order of the events?,3,2,0
73,1,10029103,Choose the correct order of the events?,2,0,0
74,1,10030066,Choose the correct order of the events?,1,2,0
75,1,10030078,Choose the correct order of the events?,3,3,1
76,1,10030143,Choose the correct order of the events?,2,0,0
77,1,1003021,Choose the correct order of the events?,0,2,0
78,1,10030332,Choose the correct order of the events?,3,1,0
79,1,1003043,Choose the correct order of the events?,3,0,0
80,1,100306,Choose the correct order of the events?,1,0,0
81,1,10030790,Choose the correct order of the events?,0,2,0
82,1,100307,Choose the correct order of the events?,1,2,0
83,1,10030802,Choose the correct order of the events?,3,1,0
84,1,10030966,Choose the correct order of the events?,0,1,0
85,1,1003157,Choose the correct order of the events?,3,2,0
86,1,1003185,Choose the correct order of the events?,1,1,1
87,1,1003195,Choose the correct order of the events?,3,1,0
88,1,1003301,Choose the correct order of the events?,1,1,1
89,1,1003309,Choose the correct order of the events?,2,3,0
90,1,1003329,Choose the correct order of the events?,0,2,0
91,1,1003358,Choose the correct order of the events?,3,0,0
92,1,1003383,Choose the correct order of the events?,2,2,1
93,1,100340,Choose the correct order of the events?,0,1,0
94,1,1003552,Choose the correct order of the events?,3,0,0
95,1,1003596,Choose the correct order of the events?,1,1,1
96,1,1003723,Choose the correct order of the events?,0,1,0
97,1,1003798,Choose the correct order of the events?,3,0,0
98,1,1003817,Choose the correct order of the events?,3,0,0
99,1,1003883,Choose the correct order of the events?,2,3,0
100,1,10038,Choose the correct order of the events?,3,3,1
101,1,100392,Choose the correct order of the events?,3,2,0
102,1,10039884,Choose the correct order of the events?,0,2,0
103,1,1004056,Choose the correct order of the events?,3,3,1
104,1,10041412,Choose the correct order of the events?,2,2,1
105,1,1004141,Choose the correct order of the events?,2,2,1
106,1,100420,Choose the correct order of the events?,2,2,1
107,1,10042362,Choose the correct order of the events?,0,3,0
108,1,1004244,Choose the correct order of the events?,0,0,1
109,1,10042662,Choose the correct order of the events?,3,0,0
110,1,10042751,Choose the correct order of the events?,1,0,0
111,1,1004286,Choose the correct order of the events?,2,3,0
112,1,10042911,Choose the correct order of the events?,0,1,0
113,1,10042957,Choose the correct order of the events?,0,1,0
114,1,10042985,Choose the correct order of the events?,2,1,0
115,1,10043273,Choose the correct order of the events?,0,0,1
116,1,10043834,Choose the correct order of the events?,1,0,0
117,1,1004418,Choose the correct order of the events?,0,0,1
118,1,100447,Choose the correct order of the events?,2,0,0
119,1,10044817,Choose the correct order of the events?,0,2,0
120,1,10044827,Choose the correct order of the events?,2,2,1
121,1,10045887,Choose the correct order of the events?,3,0,0
122,1,10045,Choose the correct order of the events?,2,3,0
123,1,10046013,Choose the correct order of the events?,2,1,0
124,1,1004679,Choose the correct order of the events?,1,0,0
125,1,10047594,Choose the correct order of the events?,3,0,0
126,1,100482,Choose the correct order of the events?,1,3,0
127,1,1004833,Choose the correct order of the events?,1,2,0
128,1,10048370,Choose the correct order of the events?,1,3,0
129,1,10048518,Choose the correct order of the events?,1,2,0
130,1,10048584,Choose the correct order of the events?,3,0,0
131,1,10048717,Choose the correct order of the events?,0,0,1
132,1,10048820,Choose the correct order of the events?,1,3,0
133,1,10048889,Choose the correct order of the events?,1,2,0
134,1,10048897,Choose the correct order of the events?,3,1,0
135,1,10049132,Choose the correct order of the events?,2,2,1
136,1,10049166,Choose the correct order of the events?,3,1,0
137,1,10049169,Choose the correct order of the events?,3,0,0
138,1,10049247,Choose the correct order of the events?,0,1,0
139,1,100497,Choose the correct order of the events?,0,3,0
140,1,10049804,Choose the correct order of the events?,3,0,0
141,1,10051494,Choose the correct order of the events?,0,1,0
142,1,10051931,Choose the correct order of the events?,3,3,1
143,1,1005217,Choose the correct order of the events?,1,3,0
144,1,1005225,Choose the correct order of the events?,1,1,1
145,1,10052375,Choose the correct order of the events?,3,2,0
146,1,10052545,Choose the correct order of the events?,1,1,1
147,1,10052561,Choose the correct order of the events?,0,3,0
148,1,10052682,Choose the correct order of the events?,3,3,1
149,1,10052746,Choose the correct order of the events?,0,1,0
150,1,1005358,Choose the correct order of the events?,1,3,0
151,1,1005362,Choose the correct order of the events?,2,1,0
152,1,10053,Choose the correct order of the events?,0,3,0
153,1,1005466,Choose the correct order of the events?,3,3,1
