index,pid,question,origanswer,generatedanswer,generatedanswers
0,1611,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",a,"The______ on the door says ""Do not Disturb.""","['The______ on the door says ""Do not Disturb.""', 'The sign on the door says ""Do not Disturb.""']"
1,1612,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",b,The tablecloth had a hole in it.,"['The tablecloth had a hole in it.', 'The hole in the tablecloth was big enough to accommodate a quarter.', 'a. Image [0]']"
2,1613,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",a,The image that would best fill in the blank is Image [0].,['The image that would best fill in the blank is Image [0].']
3,1614,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",b,The _____ in Image [1] is the same as the _____ in Image [0].,"['The _____ in Image [1] is the same as the _____ in Image [0].', 'The image in Image [1] is the same as the image in Image [0].']"
4,1615,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",b,The correct answer is image 1 because it is a picture of a microphone,['The correct answer is image 1 because it is a picture of a microphone']
5,1616,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",a,The image that can fill-in-the-blank is b.,['The image that can fill-in-the-blank is b.']
6,1617,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",a,"The ____ is composed of three subunits: A, B, and C.","['The ____ is composed of three subunits: A, B, and C.', 'a. Image [0]', 'b. Image [1]']"
7,1618,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",b,The world's ______ population is projected to increase by about 1 billion people in the next 13 years.,"[""The world's ______ population is projected to increase by about 1 billion people in the next 13 years."", 'a. Image [0]', 'b. Image [1]']"
8,1619,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",b,The correct answer is Image [0].,['The correct answer is Image [0].']
9,1620,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",a,a.,['a.']
10,1621,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",b,The ______ is considered one of the first examples of photography.,"['The ______ is considered one of the first examples of photography.', 'The image on the left (Image [0]) is considered one of the first examples of photography.']"
11,1622,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",a,Image [0] is incorrect because it does not show two people. Image [1] is correct because it does show two people.,['Image [0] is incorrect because it does not show two people. Image [1] is correct because it does show two people.']
12,1623,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",a,"Image [0] depicts a scene of a man bowing down to a seated figure, most likely a king or a ruler. Image [1] is a painting of a lady with a fur scarf, sitting in what appears to be an empty room.","['Image [0] depicts a scene of a man bowing down to a seated figure, most likely a king or a ruler. Image [1] is a painting of a lady with a fur scarf, sitting in what appears to be an empty room.', 'The answer is b.']"
13,1624,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",b,The ____ on the lower left-hand side of the photograph represents the country of Chile.,"['The ____ on the lower left-hand side of the photograph represents the country of Chile.', 'a. Image [0]', 'b. Image [1]']"
14,1625,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",b,"The passage states, ""The female pelvis is broader and the sacrum is shorter and blunter."" The image that best fits this description is Image [1].","['The passage states, ""The female pelvis is broader and the sacrum is shorter and blunter."" The image that best fits this description is Image [1].']"
15,1626,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",b,The image of a________ is shown.,"['The image of a________ is shown.', 'a.']"
16,1627,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",a,Image [0] is of a road that leads to a mountain in the distance.,"['Image [0] is of a road that leads to a mountain in the distance.', 'Image [1] is of a ocean with waves crashing on the shore.', 'The answer is b.']"
17,1628,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",a,The moon is a ______ object.,"['The moon is a ______ object.', 'a. Image [0]', 'b. Image [1]']"
18,1629,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",a,The figure below shows the _____ of a computer system.,"['The figure below shows the _____ of a computer system.', 'b. Image [1]']"
19,1630,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",a,The _____ is five miles away from the nearest town.,"['The _____ is five miles away from the nearest town.', 'The answer is b. Image [1]']"
20,1631,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",a,"Which of the following image choices can best fill in the blank for the following sentence? ""The___________________ has given many famous talks.""","['Which of the following image choices can best fill in the blank for the following sentence? ""The___________________ has given many famous talks.""', 'b. Image [1]']"
21,1632,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",a,The way he looks at her is _____,"['The way he looks at her is _____', 'a. Image [0]', 'b. Image[1]', 'b. Image [1]']"
22,1633,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",a,The United States is not ranked within the top _____ for happiest countries.,"['The United States is not ranked within the top _____ for happiest countries.', 'a. Image [0]', 'b. Image [1]', 'b. Image [1]']"
23,1634,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",b,"Based on the passage, the image that can fill-in-the-blank is image [0].","['Based on the passage, the image that can fill-in-the-blank is image [0].']"
24,1635,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",b,a. Image [0],"['a. Image [0]', 'b. Image [1]']"
25,1636,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",b,"While most _____ only have four legs, some have as many as twelve.","['While most _____ only have four legs, some have as many as twelve.', 'a. Image [0]', 'b. Image [1]', 'a. Image [0]']"
26,1637,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",b,The _______ on the cake is made of chocolate.,"['The _______ on the cake is made of chocolate.', 'Image [0] shows a chocolate cake with a chocolate frosting. Image [1] shows a vanilla cake with a chocolate frosting.', 'The frosting on the cake is made of chocolate.']"
27,1638,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",a,Image [0] is the correct answer.,['Image [0] is the correct answer.']
28,1639,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",b,"Based on the given information, the answer is Image [1].","['Based on the given information, the answer is Image [1].']"
29,1640,"Question: 
Answer Choices are: 
a. Image [0]
b. Image [1]
Select an image from the following choices that can fill-in-the-blank provide in the passage. 
Specify the correct answer by choosing one of a or b: 
",a,The image of a _____ taken by the Hubble Space Telescope can be found below.,"['The image of a _____ taken by the Hubble Space Telescope can be found below.', 'The image of a galaxy taken by the Hubble Space Telescope can be found below.']"
