index,sub_index,filenumber,qid,question,origanswer,generatedanswer,correctness
15,14,1,1000640,Choose the correct order of the events?,3,0,0
109,108,1,1004244,Choose the correct order of the events?,0,2,0
144,143,1,1005217,Choose the correct order of the events?,1,2,0
359,358,1,1009378,Choose the correct order of the events?,0,3,0
399,398,1,101036,Choose the correct order of the events?,1,2,0
1586,1585,1,1038199,Choose the correct order of the events?,1,2,0
1843,1842,1,104726,Choose the correct order of the events?,2,0,0
1849,1848,1,10474248,Choose the correct order of the events?,0,2,0
1997,1996,1,10523570,Choose the correct order of the events?,3,0,0
2293,292,2,1059571,Choose the correct order of the events?,1,2,0
2674,673,2,1075970,Choose the correct order of the events?,3,0,0
2694,693,2,1076384,Choose the correct order of the events?,2,3,0
2947,946,2,1082266,Choose the correct order of the events?,3,1,0
4050,49,3,110794,Choose the correct order of the events?,3,0,0
4409,408,3,11185844,Choose the correct order of the events?,0,1,0
4699,698,3,1124387,Choose the correct order of the events?,2,3,0
4899,898,3,1127331,Choose the correct order of the events?,1,1,1
5285,1284,3,1134889,Choose the correct order of the events?,3,2,0
5491,1490,3,1138990,Choose the correct order of the events?,2,2,1
6047,46,4,1152001,Choose the correct order of the events?,1,2,0
6821,820,4,1167472,Choose the correct order of the events?,3,1,0
7543,1542,4,118764,Choose the correct order of the events?,3,2,0
7602,1601,4,1192448,Choose the correct order of the events?,1,0,0
7656,1655,4,1195054,Choose the correct order of the events?,3,2,0
7707,1706,4,1199446,Choose the correct order of the events?,3,0,0
7858,1857,4,1211333,Choose the correct order of the events?,1,2,0
7926,1925,4,1216400,Choose the correct order of the events?,0,2,0
7944,1943,4,1217649,Choose the correct order of the events?,3,1,0
7962,1961,4,1218497,Choose the correct order of the events?,3,1,0
8271,270,5,1241042,Choose the correct order of the events?,3,0,0
8667,666,5,1275541,Choose the correct order of the events?,3,0,0
8688,687,5,1277209,Choose the correct order of the events?,3,0,0
8695,694,5,1277698,Choose the correct order of the events?,3,2,0
8699,698,5,1278230,Choose the correct order of the events?,3,2,0
8713,712,5,1279267,Choose the correct order of the events?,2,2,1
8803,802,5,1288651,Choose the correct order of the events?,1,0,0
8890,889,5,1293540,Choose the correct order of the events?,3,0,0
8943,942,5,12962,Choose the correct order of the events?,1,1,1
8992,991,5,1298262,Choose the correct order of the events?,3,1,0
9001,1000,5,1298561,Choose the correct order of the events?,2,0,0
9143,1142,5,1305086,Choose the correct order of the events?,3,0,0
9291,1290,5,1312273,Choose the correct order of the events?,3,2,0
9316,1315,5,1313645,Choose the correct order of the events?,1,1,1
9330,1329,5,1314228,Choose the correct order of the events?,2,2,1
9339,1338,5,1315113,Choose the correct order of the events?,3,1,0
9365,1364,5,1316207,Choose the correct order of the events?,1,2,0
9539,1538,5,1323595,Choose the correct order of the events?,3,0,0
9731,1730,5,1331303,Choose the correct order of the events?,3,0,0
10118,117,6,1344663,Choose the correct order of the events?,3,0,0
10302,301,6,135169,Choose the correct order of the events?,3,1,0
10545,544,6,1359614,Choose the correct order of the events?,2,1,0
10554,553,6,1360148,Choose the correct order of the events?,3,1,0
10746,745,6,1367463,Choose the correct order of the events?,3,0,0
10789,788,6,1368841,Choose the correct order of the events?,3,1,0
10958,957,6,1373088,Choose the correct order of the events?,0,3,0
11079,1078,6,1376368,Choose the correct order of the events?,2,0,0
11164,1163,6,1378579,Choose the correct order of the events?,0,1,0
11165,1164,6,1378583,Choose the correct order of the events?,3,0,0
11235,1234,6,1381581,Choose the correct order of the events?,3,0,0
11438,1437,6,1387383,Choose the correct order of the events?,2,0,0
11570,1569,6,1390342,Choose the correct order of the events?,1,3,0
11658,1657,6,1392743,Choose the correct order of the events?,1,1,1
