index,qid,question,origanswer,generatedanswer,correctness
0,d5bbc6d80dba11ecb1e81171463288e9,"""Are both the National Museum of the American Indian in Washington, D.C. and the Xanadu House in Kissimmee, Florida the same color?""",1,1,1
1,d5bbc7640dba11ecb1e81171463288e9,"""Are the satellites on the Soviet space control/monitoring ship Kosmonavt Yuriy Gagarin always oriented in the same direction?""",0,1,0
2,d5bbc8cc0dba11ecb1e81171463288e9,"""How many ground floor entrances are there to the Neumayer station in Antarctica?""",0,1,0
3,d5bbc91c0dba11ecb1e81171463288e9,"""What color are both domes on the Imam Husayn Shrine and the  Imam Ali Shrine?""",1,0,0
4,d5bbc9760dba11ecb1e81171463288e9,"""Which street was paved with boards; Little Champlain Street, Quebec City, 1916 or Quebec City Rue Saint-Louis winter 2010?""",0,1,0
5,d5bbc9bc0dba11ecb1e81171463288e9,"""What architectural feature do both the Jameh Mosque of Amol and the Mausoleum of Il-khan Öljeitü both have on top?""",1,1,1
6,d5bbca840dba11ecb1e81171463288e9,"""Does a Estonian 6-stringed kannel and an Irish Bouzouki have the same number of strings?""",0,1,0
7,d5bbcc5a0dba11ecb1e81171463288e9,"""Which has a wider selection of cardio equipment; Planet Fitness in Cincinnati, or ACPE-Campus Gym?""",1,1,1
8,d5bbcfa20dba11ecb1e81171463288e9,"""Does the Big Ferris Wheel at Palette Town in Tokyo light up at night?""",0,0,1
9,d5bbd04c0dba11ecb1e81171463288e9,"""What grows both near the ""Lion Pavilion"" in the Chinese University of Hong Kong and in the Iran Pavilion?""",0,0,1
10,d5bbd22c0dba11ecb1e81171463288e9,"""What words are not on the 1860 1C Indian Head Cent but are on 1908G $10 Indian Head?""",1,0,0
11,d5bbd2cc0dba11ecb1e81171463288e9,"""Do the The Boat, Queen's Square, Belfast, Northern Ireland and the Modern highrise skyscraper in Lima both have colored borders around some of the windows?""",1,1,1
12,d5bbd4160dba11ecb1e81171463288e9,"""Does the Denver Museum of Nature & Science sometimes change the promotional banners displayed on the front of the building?""",0,0,1
13,d5bbd4700dba11ecb1e81171463288e9,"""Are the ads on SamTrans on one or both sides of the bus?""",1,0,0
14,d5bbd7a40dba11ecb1e81171463288e9,"""Is the amanita bisporigera mushroom larger or smaller than funnel chanterelles mushrooms?""",0,0,1
15,d5bbd7f40dba11ecb1e81171463288e9,"""Does the Historic Creek St, Ketchikan experience different intensities of flow?""",0,1,0
16,d5bbd8e40dba11ecb1e81171463288e9,"""Do both the William R. Rust Mansion and the Blaine Mansion have more than one chimney?""",1,1,1
17,d5bbd9340dba11ecb1e81171463288e9,"""Which two colors did the Chinese team wear during the USA vs. China Mens Basketball game at the Beijing 2008 Olympic Games?""",1,1,1
18,d5bbd98e0dba11ecb1e81171463288e9,"""Which group would be better equipped if a tree were felled in the middle of the parade;  Brigade de sapeurs-pompiers de Paris or Indian Air Force contingent""",1,1,1
19,d5bbda240dba11ecb1e81171463288e9,"""What is the primary color of the majority of buildings at both Olympic Park Rio and Olympic Park London?""",0,1,0
20,d5bbdb6e0dba11ecb1e81171463288e9,"""Which has a larger area for sound to escape: Clarinet Bell or Native American flute?""",1,1,1
21,d5bbdc5e0dba11ecb1e81171463288e9,"""Is the tip of the golden cross on the Cathedral of Saint Paul in Minnesota thicker than the golden ball on top of the dome of the Minnesota State Capitol?""",1,0,0
22,d5bbde520dba11ecb1e81171463288e9,"""Which has a greater number of tuning mechanisms; swedish 3-row chromatic nyckelharpa or Suzuki Violin?""",1,0,0
23,d5bbdefc0dba11ecb1e81171463288e9,"""On which organ, are more round visible stop knobs installed; Western Cottage pump organ or Wurlitzer Model 44 Electrostatic Reed Organ?""",0,0,1
24,d5bbe0280dba11ecb1e81171463288e9,"""Do the Northern Royal Flycatcher and the Blue-crowned Mot Mot have the same head shape?""",0,0,1
25,d5bbe0820dba11ecb1e81171463288e9,"""Does the brain cactus or the Crassula tecta appear to be softer to the touch?""",0,1,0
26,d5bbe3de0dba11ecb1e81171463288e9,"""Does only one room in Graceland have light fixtures that hang from the ceiling?""",0,0,1
27,d5bbe4d80dba11ecb1e81171463288e9,"""Is the statue of Dante Alghieri in Paris generally lighter or darker in color than the statue of Hans Sloane in Chelsea?""",0,0,1
28,d5bbe5320dba11ecb1e81171463288e9,"""How many more columns are there at Dana Chemistry Hall, Campus of Bates College than Hathorn Hall?""",0,0,1
29,d5bbe5820dba11ecb1e81171463288e9,"""Which statue is holding something larger: the Statue of Saint Leopold in Namest nad Oslavou or the Statue of Saint Jude in Aachen, Germany?""",1,0,0
